lenacs,dataset,classifier,experiment,result
3,15SCENES,evmC,1,0.927576601671
3,15SCENES,evmC,2,0.846753246753
3,15SCENES,evmC,3,0.9618644067799998
3,15SCENES,evmC,4,0.9371069182389999
3,15SCENES,evmC,5,0.980861244019
3,15SCENES,evmC,6,0.929411764706
3,15SCENES,evmC,7,0.9318181818179999
3,15SCENES,evmC,8,0.8329238329240001
3,15SCENES,evmC,9,0.8095238095239999
3,15SCENES,evmC,10,0.7929292929289999
6,15SCENES,evmC,1,0.889576883385
6,15SCENES,evmC,2,0.876321353066
6,15SCENES,evmC,3,0.791523482245
6,15SCENES,evmC,4,0.875995449374
6,15SCENES,evmC,5,0.870203160271
6,15SCENES,evmC,6,0.7807606263979999
6,15SCENES,evmC,7,0.8213925327949999
6,15SCENES,evmC,8,0.814035087719
6,15SCENES,evmC,9,0.840490797546
6,15SCENES,evmC,10,0.7331002331
9,15SCENES,evmC,1,0.771428571429
9,15SCENES,evmC,2,0.7486122125300001
9,15SCENES,evmC,3,0.766896551724
9,15SCENES,evmC,4,0.719879518072
9,15SCENES,evmC,5,0.763580719204
9,15SCENES,evmC,6,0.7650957290129999
9,15SCENES,evmC,7,0.7238525206919999
9,15SCENES,evmC,8,0.7905255366399999
9,15SCENES,evmC,9,0.7597684515199999
9,15SCENES,evmC,10,0.686231884058
12,15SCENES,evmC,1,0.741426238432
12,15SCENES,evmC,2,0.7027793533750001
12,15SCENES,evmC,3,0.694848824188
12,15SCENES,evmC,4,0.710640608035
12,15SCENES,evmC,5,0.70022246941
12,15SCENES,evmC,6,0.70692615913
12,15SCENES,evmC,7,0.664769493455
12,15SCENES,evmC,8,0.737657864524
12,15SCENES,evmC,9,0.637106184364
12,15SCENES,evmC,10,0.656801365965
3,ALOI,evmC,1,0.981481481481
3,ALOI,evmC,2,0.901234567901
3,ALOI,evmC,3,1.0
3,ALOI,evmC,4,0.962962962963
3,ALOI,evmC,5,0.987654320988
3,ALOI,evmC,6,0.975308641975
3,ALOI,evmC,7,0.975308641975
3,ALOI,evmC,8,0.962962962963
3,ALOI,evmC,9,0.956790123457
3,ALOI,evmC,10,0.993827160494
6,ALOI,evmC,1,0.981481481481
6,ALOI,evmC,2,0.975308641975
6,ALOI,evmC,3,0.996913580247
6,ALOI,evmC,4,1.0
6,ALOI,evmC,5,0.987654320988
6,ALOI,evmC,6,0.990740740741
6,ALOI,evmC,7,0.972222222222
6,ALOI,evmC,8,0.987654320988
6,ALOI,evmC,9,0.990740740741
6,ALOI,evmC,10,1.0
9,ALOI,evmC,1,0.975308641975
9,ALOI,evmC,2,0.997942386831
9,ALOI,evmC,3,0.9711934156380001
9,ALOI,evmC,4,0.9732510288070001
9,ALOI,evmC,5,0.981481481481
9,ALOI,evmC,6,0.952674897119
9,ALOI,evmC,7,0.9773662551440001
9,ALOI,evmC,8,0.987654320988
9,ALOI,evmC,9,0.985596707819
9,ALOI,evmC,10,0.989711934156
12,ALOI,evmC,1,0.992283950617
12,ALOI,evmC,2,0.996913580247
12,ALOI,evmC,3,0.993827160494
12,ALOI,evmC,4,0.9537037037039999
12,ALOI,evmC,5,0.987654320988
12,ALOI,evmC,6,0.979938271605
12,ALOI,evmC,7,0.989197530864
12,ALOI,evmC,8,0.9783950617280001
12,ALOI,evmC,9,0.986111111111
12,ALOI,evmC,10,0.986111111111
3,AUSLAN,evmC,1,0.9863713798980001
3,AUSLAN,evmC,2,0.989782886335
3,AUSLAN,evmC,3,0.986582809224
3,AUSLAN,evmC,4,0.990183525395
3,AUSLAN,evmC,5,0.990476190476
3,AUSLAN,evmC,6,0.989020641195
3,AUSLAN,evmC,7,0.992847563701
3,AUSLAN,evmC,8,0.9922267946960001
3,AUSLAN,evmC,9,0.979077711358
3,AUSLAN,evmC,10,0.9891398783670001
