lenacs,dataset,classifier,experiment,result
3,15SCENES,evmC,1,0.164362013632
3,15SCENES,evmC,2,0.21486170784000003
3,15SCENES,evmC,3,0.301368676133
3,15SCENES,evmC,4,0.28425759411400003
3,15SCENES,evmC,5,0.199720215694
3,15SCENES,evmC,6,0.18591313560199998
3,15SCENES,evmC,7,0.19904469019499998
3,15SCENES,evmC,8,0.285274441298
3,15SCENES,evmC,9,0.16346262037999998
3,15SCENES,evmC,10,0.16985109083799999
6,15SCENES,evmC,1,0.45473973575599996
6,15SCENES,evmC,2,0.403059747905
6,15SCENES,evmC,3,0.337258495493
6,15SCENES,evmC,4,0.372934301467
6,15SCENES,evmC,5,0.431614204321
6,15SCENES,evmC,6,0.42198468003899997
6,15SCENES,evmC,7,0.464101683679
6,15SCENES,evmC,8,0.333573709841
6,15SCENES,evmC,9,0.439710591891
6,15SCENES,evmC,10,0.35847356399999997
9,15SCENES,evmC,1,0.552897453935
9,15SCENES,evmC,2,0.441017825564
9,15SCENES,evmC,3,0.564792789454
9,15SCENES,evmC,4,0.510626040899
9,15SCENES,evmC,5,0.476572443552
9,15SCENES,evmC,6,0.51651089679
9,15SCENES,evmC,7,0.50585654835
9,15SCENES,evmC,8,0.499113139912
9,15SCENES,evmC,9,0.498682342345
9,15SCENES,evmC,10,0.506227678319
12,15SCENES,evmC,1,0.633188040315
12,15SCENES,evmC,2,0.6072220321790001
12,15SCENES,evmC,3,0.5469244827090001
12,15SCENES,evmC,4,0.61078334157
12,15SCENES,evmC,5,0.590749625822
12,15SCENES,evmC,6,0.5698451861330001
12,15SCENES,evmC,7,0.55368145373
12,15SCENES,evmC,8,0.58556982499
12,15SCENES,evmC,9,0.535313333292
12,15SCENES,evmC,10,0.5355787779519999
3,ALOI,evmC,1,0.00629769005896
3,ALOI,evmC,2,0.13967885894
3,ALOI,evmC,3,0.0688425770736
3,ALOI,evmC,4,0.038742058393300007
3,ALOI,evmC,5,0.00375695442002
3,ALOI,evmC,6,0.0065755557887500005
3,ALOI,evmC,7,0.120294417266
3,ALOI,evmC,8,0.005208292347180001
3,ALOI,evmC,9,0.00800680027079
3,ALOI,evmC,10,0.013345124020200001
6,ALOI,evmC,1,0.0141835425386
6,ALOI,evmC,2,0.011668860767399999
6,ALOI,evmC,3,0.0217564525004
6,ALOI,evmC,4,0.0322011047612
6,ALOI,evmC,5,0.016670975576
6,ALOI,evmC,6,0.0334054675605
6,ALOI,evmC,7,0.127118324258
6,ALOI,evmC,8,0.0723879400207
6,ALOI,evmC,9,0.012651670312
6,ALOI,evmC,10,0.08078412906139999
9,ALOI,evmC,1,0.0373645003604
9,ALOI,evmC,2,0.0218349947216
9,ALOI,evmC,3,0.179306129491
9,ALOI,evmC,4,0.0701721307172
9,ALOI,evmC,5,0.019472790216
9,ALOI,evmC,6,0.044353999408099996
9,ALOI,evmC,7,0.0326326576064
9,ALOI,evmC,8,0.029600230735900002
9,ALOI,evmC,9,0.016751441561499998
9,ALOI,evmC,10,0.0295005350275
12,ALOI,evmC,1,0.0325229305009
12,ALOI,evmC,2,0.025330510918400002
12,ALOI,evmC,3,0.12518740822799998
12,ALOI,evmC,4,0.0219014960248
12,ALOI,evmC,5,0.102560235636
12,ALOI,evmC,6,0.0631246372535
12,ALOI,evmC,7,0.0621518438769
12,ALOI,evmC,8,0.176736694593
12,ALOI,evmC,9,0.09288068637939999
12,ALOI,evmC,10,0.023538259924400003
3,AUSLAN,evmC,1,0.0347670027357
3,AUSLAN,evmC,2,0.032241203934
3,AUSLAN,evmC,3,0.0322382902868
3,AUSLAN,evmC,4,0.034324134298299995
3,AUSLAN,evmC,5,0.0343571122871
3,AUSLAN,evmC,6,0.0329998313931
3,AUSLAN,evmC,7,0.030496589750900003
3,AUSLAN,evmC,8,0.030739880687799998
3,AUSLAN,evmC,9,0.0357314659806
3,AUSLAN,evmC,10,0.0337328985022
6,AUSLAN,evmC,1,0.0652554769056
6,AUSLAN,evmC,2,0.0693766374745
6,AUSLAN,evmC,3,0.0658420476297
6,AUSLAN,evmC,4,0.061764683515900004
6,AUSLAN,evmC,5,0.073218874814
6,AUSLAN,evmC,6,0.0631705391411
6,AUSLAN,evmC,7,0.063314984995
6,AUSLAN,evmC,8,0.06486996449030001
6,AUSLAN,evmC,9,0.0687727028945
6,AUSLAN,evmC,10,0.0670700706214
9,AUSLAN,evmC,1,0.09446008166539999
9,AUSLAN,evmC,2,0.10081788559699999
9,AUSLAN,evmC,3,0.10269788909399999
9,AUSLAN,evmC,4,0.0992292073181
9,AUSLAN,evmC,5,0.0953117624618
9,AUSLAN,evmC,6,0.103877152557
9,AUSLAN,evmC,7,0.09501487855869999
9,AUSLAN,evmC,8,0.0944285560922
9,AUSLAN,evmC,9,0.0914044517126
9,AUSLAN,evmC,10,0.0958826372606
12,AUSLAN,evmC,1,0.126230431343
12,AUSLAN,evmC,2,0.126158696572
12,AUSLAN,evmC,3,0.136547187964
12,AUSLAN,evmC,4,0.125280485682
12,AUSLAN,evmC,5,0.12743470350199998
12,AUSLAN,evmC,6,0.126094368383
12,AUSLAN,evmC,7,0.127392816108
12,AUSLAN,evmC,8,0.12190325680700001
12,AUSLAN,evmC,9,0.121311590691
12,AUSLAN,evmC,10,0.12371506098200001
3,CALTECH256,evmC,1,0.0109476022351
3,CALTECH256,evmC,2,0.00786623752507
