lenacs,dataset,classifier,experiment,result
3,15SCENES,evmC,1,0.14846188140900002
3,15SCENES,evmC,2,0.14530866949000001
3,15SCENES,evmC,3,0.202452619844
3,15SCENES,evmC,4,0.199286669639
3,15SCENES,evmC,5,0.18279090503800002
3,15SCENES,evmC,6,0.176142697882
3,15SCENES,evmC,7,0.164475150435
3,15SCENES,evmC,8,0.151103186985
3,15SCENES,evmC,9,0.15158270173900001
3,15SCENES,evmC,10,0.13999108337000002
6,15SCENES,evmC,1,0.384221083129
6,15SCENES,evmC,2,0.369511923334
6,15SCENES,evmC,3,0.30806954971
6,15SCENES,evmC,4,0.343213728549
6,15SCENES,evmC,5,0.343659460664
6,15SCENES,evmC,6,0.31112101626899996
6,15SCENES,evmC,7,0.36282594160899995
6,15SCENES,evmC,8,0.31029870708900004
6,15SCENES,evmC,9,0.366391798529
6,15SCENES,evmC,10,0.280365500334
9,15SCENES,evmC,1,0.48117620851000004
9,15SCENES,evmC,2,0.42058364892
9,15SCENES,evmC,3,0.49554367201399996
9,15SCENES,evmC,4,0.425930051236
9,15SCENES,evmC,5,0.44474153297700003
9,15SCENES,evmC,6,0.462909333927
9,15SCENES,evmC,7,0.428603252395
9,15SCENES,evmC,8,0.476041898819
9,15SCENES,evmC,9,0.467914438503
9,15SCENES,evmC,10,0.42201426025
12,15SCENES,evmC,1,0.606951871658
12,15SCENES,evmC,2,0.552016039207
12,15SCENES,evmC,3,0.5529071062600001
12,15SCENES,evmC,4,0.583203386055
12,15SCENES,evmC,5,0.560801781737
12,15SCENES,evmC,6,0.550233905101
12,15SCENES,evmC,7,0.520267260579
12,15SCENES,evmC,8,0.572510581421
12,15SCENES,evmC,9,0.48641425389799997
12,15SCENES,evmC,10,0.514145689463
3,ALOI,evmC,1,0.00294444444444
3,ALOI,evmC,2,0.0027037037036999998
3,ALOI,evmC,3,0.003
3,ALOI,evmC,4,0.00288888888889
3,ALOI,evmC,5,0.0029629629629600003
3,ALOI,evmC,6,0.00292592592593
3,ALOI,evmC,7,0.00292592592593
3,ALOI,evmC,8,0.00288888888889
3,ALOI,evmC,9,0.00287037037037
3,ALOI,evmC,10,0.00298148148148
6,ALOI,evmC,1,0.005888888888890001
6,ALOI,evmC,2,0.005851851851850001
6,ALOI,evmC,3,0.00598148148148
6,ALOI,evmC,4,0.006
6,ALOI,evmC,5,0.0059259259259300005
6,ALOI,evmC,6,0.005944444444439999
6,ALOI,evmC,7,0.0058333333333299995
6,ALOI,evmC,8,0.0059259259259300005
6,ALOI,evmC,9,0.005944444444439999
6,ALOI,evmC,10,0.006
9,ALOI,evmC,1,0.00877777777778
9,ALOI,evmC,2,0.00898148148148
9,ALOI,evmC,3,0.008740740740740001
9,ALOI,evmC,4,0.00875925925926
9,ALOI,evmC,5,0.00883333333333
9,ALOI,evmC,6,0.00857407407407
9,ALOI,evmC,7,0.0087962962963
9,ALOI,evmC,8,0.008888888888889999
9,ALOI,evmC,9,0.008870370370370001
9,ALOI,evmC,10,0.008907407407409999
12,ALOI,evmC,1,0.011907407407400001
12,ALOI,evmC,2,0.011962962963
12,ALOI,evmC,3,0.0119259259259
12,ALOI,evmC,4,0.0114444444444
12,ALOI,evmC,5,0.011851851851899999
12,ALOI,evmC,6,0.0117592592593
12,ALOI,evmC,7,0.011870370370399999
12,ALOI,evmC,8,0.0117407407407
12,ALOI,evmC,9,0.011833333333299998
12,ALOI,evmC,10,0.011833333333299998
3,AUSLAN,evmC,1,0.0315204964886
3,AUSLAN,evmC,2,0.031642985464599996
3,AUSLAN,evmC,3,0.0320242802022
3,AUSLAN,evmC,4,0.0315751509006
3,AUSLAN,evmC,5,0.0325550693769
3,AUSLAN,evmC,6,0.0306498809119
3,AUSLAN,evmC,7,0.030228174400599998
3,AUSLAN,evmC,8,0.029533855052700002
3,AUSLAN,evmC,9,0.031207681472099996
3,AUSLAN,evmC,10,0.0309901326982
6,AUSLAN,evmC,1,0.0608498012957
6,AUSLAN,evmC,2,0.0630537447092
6,AUSLAN,evmC,3,0.0636402610394
6,AUSLAN,evmC,4,0.0612712908209
6,AUSLAN,evmC,5,0.06184248132069999
6,AUSLAN,evmC,6,0.0602377663303
6,AUSLAN,evmC,7,0.062087455938599996
6,AUSLAN,evmC,8,0.06349098332769999
6,AUSLAN,evmC,9,0.06309586188590001
6,AUSLAN,evmC,10,0.0622239763734
9,AUSLAN,evmC,1,0.09160752077189999
9,AUSLAN,evmC,2,0.0924513279756
9,AUSLAN,evmC,3,0.0921927418971
9,AUSLAN,evmC,4,0.09330811002080001
9,AUSLAN,evmC,5,0.08918437061939999
9,AUSLAN,evmC,6,0.0924092409241
9,AUSLAN,evmC,7,0.09117324822560001
9,AUSLAN,evmC,8,0.091129937736
9,AUSLAN,evmC,9,0.091021060869
9,AUSLAN,evmC,10,0.0917151508965
12,AUSLAN,evmC,1,0.121139124222
12,AUSLAN,evmC,2,0.12123439148
12,AUSLAN,evmC,3,0.123832984022
12,AUSLAN,evmC,4,0.122038188821
12,AUSLAN,evmC,5,0.124174066891
12,AUSLAN,evmC,6,0.118360347854
12,AUSLAN,evmC,7,0.12214457290200001
12,AUSLAN,evmC,8,0.119167352827
12,AUSLAN,evmC,9,0.11844522775800001
12,AUSLAN,evmC,10,0.11914013324000002
3,CALTECH256,evmC,1,0.0112148277483
3,CALTECH256,evmC,2,0.00651422047614
3,CALTECH256,evmC,3,0.00543970988214
3,CALTECH256,evmC,4,0.0100735368188
3,CALTECH256,evmC,5,0.00577549444277
3,CALTECH256,evmC,6,0.0074544172459
3,CALTECH256,evmC,7,0.0193405412665
3,CALTECH256,evmC,8,0.0330412007656
3,CALTECH256,evmC,9,0.00819286817541
3,CALTECH256,evmC,10,0.00873069173942
6,CALTECH256,evmC,1,0.0073867642614899994
6,CALTECH256,evmC,2,0.009267342690219999
6,CALTECH256,evmC,3,0.010744384380399999
6,CALTECH256,evmC,4,0.009603115976090001
6,CALTECH256,evmC,5,0.009871734604790001
6,CALTECH256,evmC,6,0.012557920891799999
6,CALTECH256,evmC,7,0.00866295077564
6,CALTECH256,evmC,8,0.011214074671
6,CALTECH256,evmC,9,0.010677590490899998
6,CALTECH256,evmC,10,0.0110797743755
9,CALTECH256,evmC,1,0.017996239591700002
9,CALTECH256,evmC,2,0.017459624618099998
9,CALTECH256,evmC,3,0.0147053886184
9,CALTECH256,evmC,4,0.0180627832802
9,CALTECH256,evmC,5,0.021555197421400003
9,CALTECH256,evmC,6,0.016921837228
9,CALTECH256,evmC,7,0.0167198254155
9,CALTECH256,evmC,8,0.030014100584200003
9,CALTECH256,evmC,9,0.011953930358299999
9,CALTECH256,evmC,10,0.021421616358300002
12,CALTECH256,evmC,1,0.014772040556000001
12,CALTECH256,evmC,2,0.0218208674634
12,CALTECH256,evmC,3,0.0228974315931
12,CALTECH256,evmC,4,0.021755917408099998
12,CALTECH256,evmC,5,0.020345128583900002
12,CALTECH256,evmC,6,0.019337944000500002
12,CALTECH256,evmC,7,0.028804512035500003
12,CALTECH256,evmC,8,0.0211530067488
12,CALTECH256,evmC,9,0.0130262539448
12,CALTECH256,evmC,10,0.0308188135764
3,CIFAR10,evmC,1,0.44830769230800005
3,CIFAR10,evmC,2,0.418923076923
3,CIFAR10,evmC,3,0.43200000000000005
3,CIFAR10,evmC,4,0.436615384615
3,CIFAR10,evmC,5,0.43092307692299997
3,CIFAR10,evmC,6,0.41738461538500005
3,CIFAR10,evmC,7,0.44
3,CIFAR10,evmC,8,0.437846153846
3,CIFAR10,evmC,9,0.44507692307700003
3,CIFAR10,evmC,10,0.44753846153800003
6,CIFAR10,evmC,1,0.675
6,CIFAR10,evmC,2,0.6575
6,CIFAR10,evmC,3,0.67875
6,CIFAR10,evmC,4,0.693375
6,CIFAR10,evmC,5,0.644125
6,CIFAR10,evmC,6,0.653625
6,CIFAR10,evmC,7,0.68825
6,CIFAR10,evmC,8,0.70075
6,CIFAR10,evmC,9,0.651875
6,CIFAR10,evmC,10,0.695125
9,CIFAR10,evmC,1,0.8096842105259999
9,CIFAR10,evmC,2,0.8143157894740001
9,CIFAR10,evmC,3,0.8151578947370001
9,CIFAR10,evmC,4,0.816
9,CIFAR10,evmC,5,0.830736842105
9,CIFAR10,evmC,6,0.8156842105259999
9,CIFAR10,evmC,7,0.839894736842
9,CIFAR10,evmC,8,0.8272631578949999
9,CIFAR10,evmC,9,0.8106315789470001
9,CIFAR10,evmC,10,0.8148421052629999
3,FACTORS,evmC,1,0.285
3,FACTORS,evmC,2,0.293
3,FACTORS,evmC,3,0.29
3,FACTORS,evmC,4,0.278
3,FACTORS,evmC,5,0.298
3,FACTORS,evmC,6,0.298
3,FACTORS,evmC,7,0.204
3,FACTORS,evmC,8,0.299
3,FACTORS,evmC,9,0.255
3,FACTORS,evmC,10,0.174
6,FACTORS,evmC,1,0.5820000000000001
6,FACTORS,evmC,2,0.57
6,FACTORS,evmC,3,0.578
6,FACTORS,evmC,4,0.57
6,FACTORS,evmC,5,0.5770000000000001
6,FACTORS,evmC,6,0.5760000000000001
6,FACTORS,evmC,7,0.59
6,FACTORS,evmC,8,0.569
6,FACTORS,evmC,9,0.5760000000000001
6,FACTORS,evmC,10,0.555
9,FACTORS,evmC,1,0.855
9,FACTORS,evmC,2,0.862
9,FACTORS,evmC,3,0.848
9,FACTORS,evmC,4,0.855
9,FACTORS,evmC,5,0.86
9,FACTORS,evmC,6,0.862
9,FACTORS,evmC,7,0.863
9,FACTORS,evmC,8,0.855
9,FACTORS,evmC,9,0.863
9,FACTORS,evmC,10,0.866
3,FOURIER,evmC,1,0.271
3,FOURIER,evmC,2,0.275
3,FOURIER,evmC,3,0.298
3,FOURIER,evmC,4,0.28800000000000003
3,FOURIER,evmC,5,0.29
3,FOURIER,evmC,6,0.27899999999999997
3,FOURIER,evmC,7,0.287
3,FOURIER,evmC,8,0.28300000000000003
3,FOURIER,evmC,9,0.28300000000000003
3,FOURIER,evmC,10,0.285
6,FOURIER,evmC,1,0.56
6,FOURIER,evmC,2,0.565
6,FOURIER,evmC,3,0.5579999999999999
6,FOURIER,evmC,4,0.462
6,FOURIER,evmC,5,0.545
6,FOURIER,evmC,6,0.54
6,FOURIER,evmC,7,0.532
6,FOURIER,evmC,8,0.456
6,FOURIER,evmC,9,0.563
6,FOURIER,evmC,10,0.45
9,FOURIER,evmC,1,0.79
9,FOURIER,evmC,2,0.71
9,FOURIER,evmC,3,0.6920000000000001
9,FOURIER,evmC,4,0.794
9,FOURIER,evmC,5,0.7190000000000001
9,FOURIER,evmC,6,0.745
9,FOURIER,evmC,7,0.72
9,FOURIER,evmC,8,0.7070000000000001
9,FOURIER,evmC,9,0.736
9,FOURIER,evmC,10,0.6920000000000001
3,IMAGENET,evmC,1,0.00833420693993
3,IMAGENET,evmC,2,0.00833420693993
3,IMAGENET,evmC,3,0.00833420693993
3,IMAGENET,evmC,4,0.00833420693993
3,IMAGENET,evmC,5,0.00833420693993
3,IMAGENET,evmC,6,0.00833420693993
3,IMAGENET,evmC,7,0.00833420693993
3,IMAGENET,evmC,8,0.00833420693993
3,IMAGENET,evmC,9,0.00833420693993
3,IMAGENET,evmC,10,0.00833420693993
6,IMAGENET,evmC,1,0.0166684138799
6,IMAGENET,evmC,2,0.0166684138799
6,IMAGENET,evmC,3,0.0166684138799
6,IMAGENET,evmC,4,0.0166684138799
6,IMAGENET,evmC,5,0.0166684138799
6,IMAGENET,evmC,6,0.0166684138799
6,IMAGENET,evmC,7,0.0166684138799
6,IMAGENET,evmC,8,0.0166684138799
6,IMAGENET,evmC,9,0.0166684138799
6,IMAGENET,evmC,10,0.0166684138799
9,IMAGENET,evmC,1,0.0250026208198
9,IMAGENET,evmC,2,0.0250026208198
9,IMAGENET,evmC,3,0.0250026208198
9,IMAGENET,evmC,4,0.0250026208198
9,IMAGENET,evmC,5,0.0250026208198
9,IMAGENET,evmC,6,0.0250026208198
9,IMAGENET,evmC,7,0.0250026208198
