lenacs,dataset,classifier,experiment,result
3,15SCENES,evmC,1,0.463788300836
3,15SCENES,evmC,2,0.423376623377
3,15SCENES,evmC,3,0.4809322033899999
3,15SCENES,evmC,4,0.468553459119
3,15SCENES,evmC,5,0.49043062201000004
3,15SCENES,evmC,6,0.464705882353
3,15SCENES,evmC,7,0.46590909090899996
3,15SCENES,evmC,8,0.41646191646200004
3,15SCENES,evmC,9,0.40476190476199997
3,15SCENES,evmC,10,0.396464646465
6,15SCENES,evmC,1,0.44478844169200005
6,15SCENES,evmC,2,0.438160676533
6,15SCENES,evmC,3,0.395761741123
6,15SCENES,evmC,4,0.437997724687
6,15SCENES,evmC,5,0.435101580135
6,15SCENES,evmC,6,0.39038031319899996
6,15SCENES,evmC,7,0.410696266398
6,15SCENES,evmC,8,0.40701754386
6,15SCENES,evmC,9,0.420245398773
6,15SCENES,evmC,10,0.36655011655
9,15SCENES,evmC,1,0.385714285714
9,15SCENES,evmC,2,0.37430610626500005
9,15SCENES,evmC,3,0.383448275862
9,15SCENES,evmC,4,0.359939759036
9,15SCENES,evmC,5,0.381790359602
9,15SCENES,evmC,6,0.382547864507
9,15SCENES,evmC,7,0.36192626034599995
9,15SCENES,evmC,8,0.39526276831999996
9,15SCENES,evmC,9,0.37988422575999997
9,15SCENES,evmC,10,0.343115942029
12,15SCENES,evmC,1,0.370713119216
12,15SCENES,evmC,2,0.351389676687
12,15SCENES,evmC,3,0.347424412094
12,15SCENES,evmC,4,0.355320304017
12,15SCENES,evmC,5,0.350111234705
12,15SCENES,evmC,6,0.353463079565
12,15SCENES,evmC,7,0.33238474672699997
12,15SCENES,evmC,8,0.368828932262
12,15SCENES,evmC,9,0.318553092182
12,15SCENES,evmC,10,0.328400682982
3,ALOI,evmC,1,0.49074074074100005
3,ALOI,evmC,2,0.450617283951
3,ALOI,evmC,3,0.5
3,ALOI,evmC,4,0.48148148148100006
3,ALOI,evmC,5,0.493827160494
3,ALOI,evmC,6,0.48765432098800005
3,ALOI,evmC,7,0.48765432098800005
3,ALOI,evmC,8,0.48148148148100006
3,ALOI,evmC,9,0.47839506172799995
3,ALOI,evmC,10,0.496913580247
6,ALOI,evmC,1,0.49074074074100005
6,ALOI,evmC,2,0.48765432098800005
6,ALOI,evmC,3,0.498456790123
6,ALOI,evmC,4,0.5
6,ALOI,evmC,5,0.493827160494
6,ALOI,evmC,6,0.49537037037
6,ALOI,evmC,7,0.486111111111
6,ALOI,evmC,8,0.493827160494
6,ALOI,evmC,9,0.49537037037
6,ALOI,evmC,10,0.5
9,ALOI,evmC,1,0.48765432098800005
9,ALOI,evmC,2,0.498971193416
9,ALOI,evmC,3,0.48559670781900005
9,ALOI,evmC,4,0.486625514403
9,ALOI,evmC,5,0.49074074074100005
9,ALOI,evmC,6,0.47633744856000004
9,ALOI,evmC,7,0.48868312757200005
9,ALOI,evmC,8,0.493827160494
9,ALOI,evmC,9,0.492798353909
9,ALOI,evmC,10,0.494855967078
12,ALOI,evmC,1,0.496141975309
12,ALOI,evmC,2,0.498456790123
12,ALOI,evmC,3,0.496913580247
12,ALOI,evmC,4,0.47685185185199996
12,ALOI,evmC,5,0.493827160494
12,ALOI,evmC,6,0.489969135802
12,ALOI,evmC,7,0.494598765432
12,ALOI,evmC,8,0.48919753086400003
12,ALOI,evmC,9,0.493055555556
12,ALOI,evmC,10,0.493055555556
3,AUSLAN,evmC,1,0.49318568994900003
3,AUSLAN,evmC,2,0.49489144316699996
3,AUSLAN,evmC,3,0.493291404612
3,AUSLAN,evmC,4,0.495091762697
3,AUSLAN,evmC,5,0.495238095238
3,AUSLAN,evmC,6,0.49451032059699995
3,AUSLAN,evmC,7,0.49642378185099995
3,AUSLAN,evmC,8,0.49611339734800003
3,AUSLAN,evmC,9,0.489538855679
3,AUSLAN,evmC,10,0.494569939183
6,AUSLAN,evmC,1,0.489918912996
6,AUSLAN,evmC,2,0.488301011804
6,AUSLAN,evmC,3,0.49127968060500005
6,AUSLAN,evmC,4,0.487863025574
6,AUSLAN,evmC,5,0.49241439098399997
6,AUSLAN,evmC,6,0.485626508668
6,AUSLAN,evmC,7,0.48833226289899995
6,AUSLAN,evmC,8,0.49136296608400004
6,AUSLAN,evmC,9,0.484734420744
6,AUSLAN,evmC,10,0.48971722365000003
9,AUSLAN,evmC,1,0.480717040423
9,AUSLAN,evmC,2,0.488002873563
9,AUSLAN,evmC,3,0.48775921658999993
9,AUSLAN,evmC,4,0.48568999716600003
9,AUSLAN,evmC,5,0.483473513354
9,AUSLAN,evmC,6,0.485624374195
9,AUSLAN,evmC,7,0.486280487805
9,AUSLAN,evmC,8,0.486415807061
9,AUSLAN,evmC,9,0.483796296296
9,AUSLAN,evmC,10,0.48419313119699997
12,AUSLAN,evmC,1,0.482648302787
12,AUSLAN,evmC,2,0.484446378073
12,AUSLAN,evmC,3,0.483629212289
12,AUSLAN,evmC,4,0.482096774194
12,AUSLAN,evmC,5,0.48264917477799996
12,AUSLAN,evmC,6,0.47890969163
12,AUSLAN,evmC,7,0.48455890292599996
12,AUSLAN,evmC,8,0.483543185332
12,AUSLAN,evmC,9,0.480139026812
12,AUSLAN,evmC,10,0.480355575066
3,CALTECH256,evmC,1,0.40144230769199996
3,CALTECH256,evmC,2,0.314935064935
3,CALTECH256,evmC,3,0.266447368421
3,CALTECH256,evmC,4,0.40983606557400004
3,CALTECH256,evmC,5,0.288590604027
3,CALTECH256,evmC,6,0.36038961039000006
3,CALTECH256,evmC,7,0.45
3,CALTECH256,evmC,8,0.442446043165
3,CALTECH256,evmC,9,0.300492610837
3,CALTECH256,evmC,10,0.349462365591
6,CALTECH256,evmC,1,0.185185185185
6,CALTECH256,evmC,2,0.225490196078
6,CALTECH256,evmC,3,0.26936026936
6,CALTECH256,evmC,4,0.24155405405400002
6,CALTECH256,evmC,5,0.23407643312100002
6,CALTECH256,evmC,6,0.321305841924
6,CALTECH256,evmC,7,0.218644067797
6,CALTECH256,evmC,8,0.272875816993
6,CALTECH256,evmC,9,0.25895765472300003
6,CALTECH256,evmC,10,0.247005988024
9,CALTECH256,evmC,1,0.271805273834
9,CALTECH256,evmC,2,0.232974910394
9,CALTECH256,evmC,3,0.23599137930999997
9,CALTECH256,evmC,4,0.26528599605500003
9,CALTECH256,evmC,5,0.27111486486499997
9,CALTECH256,evmC,6,0.263048016701
9,CALTECH256,evmC,7,0.254081632653
9,CALTECH256,evmC,8,0.317471590909
9,CALTECH256,evmC,9,0.20649651972199998
9,CALTECH256,evmC,10,0.271258503401
12,CALTECH256,evmC,1,0.186440677966
12,CALTECH256,evmC,2,0.20036991368700002
12,CALTECH256,evmC,3,0.250367107195
12,CALTECH256,evmC,4,0.224687933426
12,CALTECH256,evmC,5,0.226796407186
12,CALTECH256,evmC,6,0.21460506706399998
12,CALTECH256,evmC,7,0.280026109661
12,CALTECH256,evmC,8,0.23026315789500001
12,CALTECH256,evmC,9,0.159802306425
12,CALTECH256,evmC,10,0.268421052632
3,CIFAR10,evmC,1,0.485666666667
3,CIFAR10,evmC,2,0.453833333333
3,CIFAR10,evmC,3,0.46799999999999997
3,CIFAR10,evmC,4,0.473
3,CIFAR10,evmC,5,0.46683333333300003
3,CIFAR10,evmC,6,0.452166666667
3,CIFAR10,evmC,7,0.47666666666699997
3,CIFAR10,evmC,8,0.47433333333300004
3,CIFAR10,evmC,9,0.482166666667
3,CIFAR10,evmC,10,0.484833333333
6,CIFAR10,evmC,1,0.45
6,CIFAR10,evmC,2,0.438333333333
6,CIFAR10,evmC,3,0.4525
6,CIFAR10,evmC,4,0.46225
6,CIFAR10,evmC,5,0.42941666666699996
6,CIFAR10,evmC,6,0.43575
6,CIFAR10,evmC,7,0.458833333333
6,CIFAR10,evmC,8,0.46716666666699996
6,CIFAR10,evmC,9,0.43458333333300003
6,CIFAR10,evmC,10,0.463416666667
9,CIFAR10,evmC,1,0.427333333333
9,CIFAR10,evmC,2,0.429777777778
9,CIFAR10,evmC,3,0.43022222222199996
9,CIFAR10,evmC,4,0.430666666667
9,CIFAR10,evmC,5,0.438444444444
9,CIFAR10,evmC,6,0.4305
9,CIFAR10,evmC,7,0.44327777777800004
9,CIFAR10,evmC,8,0.43661111111100004
9,CIFAR10,evmC,9,0.427833333333
9,CIFAR10,evmC,10,0.430055555556
3,FACTORS,evmC,1,0.475
3,FACTORS,evmC,2,0.488333333333
3,FACTORS,evmC,3,0.483333333333
3,FACTORS,evmC,4,0.46333333333300003
3,FACTORS,evmC,5,0.496666666667
3,FACTORS,evmC,6,0.496666666667
3,FACTORS,evmC,7,0.34
3,FACTORS,evmC,8,0.498333333333
3,FACTORS,evmC,9,0.425
3,FACTORS,evmC,10,0.29
6,FACTORS,evmC,1,0.485
6,FACTORS,evmC,2,0.475
6,FACTORS,evmC,3,0.481666666667
6,FACTORS,evmC,4,0.475
6,FACTORS,evmC,5,0.48083333333300005
6,FACTORS,evmC,6,0.48
6,FACTORS,evmC,7,0.491666666667
6,FACTORS,evmC,8,0.47416666666699997
6,FACTORS,evmC,9,0.48
6,FACTORS,evmC,10,0.4625
9,FACTORS,evmC,1,0.475
9,FACTORS,evmC,2,0.47888888888899994
9,FACTORS,evmC,3,0.471111111111
9,FACTORS,evmC,4,0.475
9,FACTORS,evmC,5,0.477777777778
9,FACTORS,evmC,6,0.47888888888899994
9,FACTORS,evmC,7,0.479444444444
9,FACTORS,evmC,8,0.475
9,FACTORS,evmC,9,0.479444444444
9,FACTORS,evmC,10,0.481111111111
3,FOURIER,evmC,1,0.451666666667
3,FOURIER,evmC,2,0.458333333333
3,FOURIER,evmC,3,0.496666666667
3,FOURIER,evmC,4,0.48
3,FOURIER,evmC,5,0.483333333333
3,FOURIER,evmC,6,0.465
3,FOURIER,evmC,7,0.47833333333300004
3,FOURIER,evmC,8,0.47166666666699997
3,FOURIER,evmC,9,0.47166666666699997
3,FOURIER,evmC,10,0.475
6,FOURIER,evmC,1,0.46666666666699996
6,FOURIER,evmC,2,0.47083333333300004
6,FOURIER,evmC,3,0.465
6,FOURIER,evmC,4,0.385
6,FOURIER,evmC,5,0.454166666667
6,FOURIER,evmC,6,0.45
6,FOURIER,evmC,7,0.443333333333
6,FOURIER,evmC,8,0.38
6,FOURIER,evmC,9,0.46916666666699997
6,FOURIER,evmC,10,0.375
9,FOURIER,evmC,1,0.43888888888899996
9,FOURIER,evmC,2,0.39444444444399995
9,FOURIER,evmC,3,0.384444444444
