lenacs,dataset,classifier,experiment,result
3,15SCENES,evmC,1,0.12327151022399999
3,15SCENES,evmC,2,0.16114628088
3,15SCENES,evmC,3,0.226026507099
3,15SCENES,evmC,4,0.213193195586
3,15SCENES,evmC,5,0.14979016177100002
3,15SCENES,evmC,6,0.139434851701
3,15SCENES,evmC,7,0.149283517646
3,15SCENES,evmC,8,0.21395583097399998
3,15SCENES,evmC,9,0.122596965285
3,15SCENES,evmC,10,0.127388318129
6,15SCENES,evmC,1,0.389776916362
6,15SCENES,evmC,2,0.345479783918
6,15SCENES,evmC,3,0.289078710422
6,15SCENES,evmC,4,0.319657972686
6,15SCENES,evmC,5,0.369955032275
6,15SCENES,evmC,6,0.361701154319
6,15SCENES,evmC,7,0.39780144315300003
6,15SCENES,evmC,8,0.28592032272100004
6,15SCENES,evmC,9,0.376894793049
6,15SCENES,evmC,10,0.307263054857
9,15SCENES,evmC,1,0.49760770854099995
9,15SCENES,evmC,2,0.39691604300800004
9,15SCENES,evmC,3,0.508313510508
9,15SCENES,evmC,4,0.459563436809
9,15SCENES,evmC,5,0.42891519919699994
9,15SCENES,evmC,6,0.46485980711099995
9,15SCENES,evmC,7,0.455270893515
9,15SCENES,evmC,8,0.449201825921
9,15SCENES,evmC,9,0.44881410811000005
9,15SCENES,evmC,10,0.45560491048699997
12,15SCENES,evmC,1,0.5844812679829999
12,15SCENES,evmC,2,0.560512645088
12,15SCENES,evmC,3,0.5048533686550001
12,15SCENES,evmC,4,0.563800007604
12,15SCENES,evmC,5,0.545307346913
12,15SCENES,evmC,6,0.526010941046
12,15SCENES,evmC,7,0.5110905726739999
12,15SCENES,evmC,8,0.540525992298
12,15SCENES,evmC,9,0.494135384577
12,15SCENES,evmC,10,0.494380410417
3,ALOI,evmC,1,0.00472326754422
3,ALOI,evmC,2,0.10475914420499999
3,ALOI,evmC,3,0.051631932805199995
3,ALOI,evmC,4,0.029056543794999997
3,ALOI,evmC,5,0.00281771581501
3,ALOI,evmC,6,0.00493166684156
3,ALOI,evmC,7,0.0902208129492
3,ALOI,evmC,8,0.0039062192603800004
3,ALOI,evmC,9,0.006005100203090001
3,ALOI,evmC,10,0.010008843015200001
6,ALOI,evmC,1,0.0121573221759
6,ALOI,evmC,2,0.0100018806578
6,ALOI,evmC,3,0.0186483878575
6,ALOI,evmC,4,0.0276009469382
6,ALOI,evmC,5,0.014289407636599999
6,ALOI,evmC,6,0.028633257909
6,ALOI,evmC,7,0.10895856365
6,ALOI,evmC,8,0.062046805732000006
6,ALOI,evmC,9,0.010844288838799999
6,ALOI,evmC,10,0.0692435391955
9,ALOI,evmC,1,0.0336280503243
9,ALOI,evmC,2,0.0196514952495
9,ALOI,evmC,3,0.161375516542
9,ALOI,evmC,4,0.0631549176455
9,ALOI,evmC,5,0.0175255111944
9,ALOI,evmC,6,0.0399185994673
9,ALOI,evmC,7,0.0293693918458
9,ALOI,evmC,8,0.0266402076623
9,ALOI,evmC,9,0.015076297405399999
9,ALOI,evmC,10,0.026550481524799996
12,ALOI,evmC,1,0.0300211666162
12,ALOI,evmC,2,0.023382010078599996
12,ALOI,evmC,3,0.115557607595
12,ALOI,evmC,4,0.0202167655613
12,ALOI,evmC,5,0.09467098674089999
12,ALOI,evmC,6,0.058268895926299996
12,ALOI,evmC,7,0.0573709328094
12,ALOI,evmC,8,0.16314156424
12,ALOI,evmC,9,0.0857360181963
12,ALOI,evmC,10,0.0217276245456
3,AUSLAN,evmC,1,0.026075252051800002
3,AUSLAN,evmC,2,0.0241809029505
3,AUSLAN,evmC,3,0.0241787177151
3,AUSLAN,evmC,4,0.0257431007237
3,AUSLAN,evmC,5,0.0257678342153
3,AUSLAN,evmC,6,0.0247498735448
3,AUSLAN,evmC,7,0.022872442313200004
3,AUSLAN,evmC,8,0.023054910515799998
3,AUSLAN,evmC,9,0.0267985994854
3,AUSLAN,evmC,10,0.0252996738766
6,AUSLAN,evmC,1,0.0559332659191
6,AUSLAN,evmC,2,0.0594656892638
6,AUSLAN,evmC,3,0.0564360408255
6,AUSLAN,evmC,4,0.052941157299300004
6,AUSLAN,evmC,5,0.0627590355548
6,AUSLAN,evmC,6,0.0541461764066
6,AUSLAN,evmC,7,0.0542699871386
6,AUSLAN,evmC,8,0.055602826705999996
