lenacs,dataset,classifier,experiment,result
3,15SCENES,evmC,1,0.0806881511994
3,15SCENES,evmC,2,0.07947342759630001
3,15SCENES,evmC,3,0.11313231995999999
3,15SCENES,evmC,4,0.111499126964
3,15SCENES,evmC,5,0.100786627335
3,15SCENES,evmC,6,0.0972906403941
3,15SCENES,evmC,7,0.09019799560010001
3,15SCENES,evmC,8,0.0830882352941
3,15SCENES,evmC,9,0.0836202656173
3,15SCENES,evmC,10,0.0767726161369
6,15SCENES,evmC,1,0.24502558271699998
6,15SCENES,evmC,2,0.234114656877
6,15SCENES,evmC,3,0.191253805702
6,15SCENES,evmC,4,0.213414634146
6,15SCENES,evmC,5,0.214107192447
6,15SCENES,evmC,6,0.194266629557
6,15SCENES,evmC,7,0.23283752860399998
6,15SCENES,evmC,8,0.19168273202999997
6,15SCENES,evmC,9,0.23425477344
6,15SCENES,evmC,10,0.17332598512000003
9,15SCENES,evmC,1,0.349627711233
9,15SCENES,evmC,2,0.292441140025
9,15SCENES,evmC,3,0.366030283081
9,15SCENES,evmC,4,0.30243593799400004
9,15SCENES,evmC,5,0.313737818296
9,15SCENES,evmC,6,0.331842861706
9,15SCENES,evmC,7,0.304430379747
9,15SCENES,evmC,8,0.34056122449000004
9,15SCENES,evmC,9,0.33805537669
9,15SCENES,evmC,10,0.304697554698
12,15SCENES,evmC,1,0.513768389287
12,15SCENES,evmC,2,0.454512105649
12,15SCENES,evmC,3,0.45911949685500003
12,15SCENES,evmC,4,0.494522100491
12,15SCENES,evmC,5,0.467682020802
12,15SCENES,evmC,6,0.450401167031
12,15SCENES,evmC,7,0.427369191365
12,15SCENES,evmC,8,0.467783036039
12,15SCENES,evmC,9,0.39337175792499995
12,15SCENES,evmC,10,0.422401171303
3,ALOI,evmC,1,0.00147443387303
3,ALOI,evmC,2,0.0013538826758699998
3,ALOI,evmC,3,0.0015022533800699998
3,ALOI,evmC,4,0.0014466143659900002
3,ALOI,evmC,5,0.00148370704204
3,ALOI,evmC,6,0.0014651607040200001
3,ALOI,evmC,7,0.0014651607040200001
3,ALOI,evmC,8,0.0014466143659900002
3,ALOI,evmC,9,0.00143734119698
3,ALOI,evmC,10,0.00149298021106
6,ALOI,evmC,1,0.00295330435752
6,ALOI,evmC,2,0.00293473011627
6,ALOI,evmC,3,0.0029997399606199997
6,ALOI,evmC,4,0.00300902708124
6,ALOI,evmC,5,0.00297187859876
