lenacs,dataset,classifier,experiment,result
3,15scenes_bow_soft_max_1000,ocsvmC,1,0.829173733947
3,15scenes_bow_soft_max_1000,ocsvmC,2,0.741589468552
3,15scenes_bow_soft_max_1000,ocsvmC,3,0.845502118116
3,15scenes_bow_soft_max_1000,ocsvmC,4,0.897730107259
3,15scenes_bow_soft_max_1000,ocsvmC,5,0.892576204523
3,15scenes_bow_soft_max_1000,ocsvmC,6,0.767980295567
3,15scenes_bow_soft_max_1000,ocsvmC,7,0.800537765827
3,15scenes_bow_soft_max_1000,ocsvmC,8,0.871568627451
3,15scenes_bow_soft_max_1000,ocsvmC,9,0.818248893261
3,15scenes_bow_soft_max_1000,ocsvmC,10,0.881907090465
3,15scenes_bow_soft_max_1000,ocsvmO,1,0.829173733947
3,15scenes_bow_soft_max_1000,ocsvmO,2,0.863725012189
3,15scenes_bow_soft_max_1000,ocsvmO,3,0.845502118116
3,15scenes_bow_soft_max_1000,ocsvmO,4,0.897480668496
3,15scenes_bow_soft_max_1000,ocsvmO,5,0.892576204523
3,15scenes_bow_soft_max_1000,ocsvmO,6,0.767980295567
3,15scenes_bow_soft_max_1000,ocsvmO,7,0.800537765827
3,15scenes_bow_soft_max_1000,ocsvmO,8,0.871568627451
3,15scenes_bow_soft_max_1000,ocsvmO,9,0.818248893261
3,15scenes_bow_soft_max_1000,ocsvmO,10,0.881907090465
3,15scenes_bow_soft_max_1000,ssvmC,1,0.377513932639
3,15scenes_bow_soft_max_1000,ssvmC,2,0.362262311068
3,15scenes_bow_soft_max_1000,ssvmC,3,0.37901819088
3,15scenes_bow_soft_max_1000,ssvmC,4,0.594412571714
3,15scenes_bow_soft_max_1000,ssvmC,5,0.660766961652
3,15scenes_bow_soft_max_1000,ssvmC,6,0.342610837438
3,15scenes_bow_soft_max_1000,ssvmC,7,0.230017110731
3,15scenes_bow_soft_max_1000,ssvmC,8,0.440441176471
3,15scenes_bow_soft_max_1000,ssvmC,9,0.562469257255
3,15scenes_bow_soft_max_1000,ssvmC,10,0.401711491443
3,15scenes_bow_soft_max_1000,ssvmO,1,0.923915677247
3,15scenes_bow_soft_max_1000,ssvmO,2,0.836908824963
3,15scenes_bow_soft_max_1000,ssvmO,3,0.508098679292
3,15scenes_bow_soft_max_1000,ssvmO,4,0.827637814916
3,15scenes_bow_soft_max_1000,ssvmO,5,0.697885939036
3,15scenes_bow_soft_max_1000,ssvmO,6,0.680049261084
3,15scenes_bow_soft_max_1000,ssvmO,7,0.741383524811
3,15scenes_bow_soft_max_1000,ssvmO,8,0.900245098039
3,15scenes_bow_soft_max_1000,ssvmO,9,0.873585833743
3,15scenes_bow_soft_max_1000,ssvmO,10,0.749877750611
3,15scenes_bow_soft_max_1000,svmC,1,0.267264356676
3,15scenes_bow_soft_max_1000,svmC,2,0.245490004876
3,15scenes_bow_soft_max_1000,svmC,3,0.223523548467
3,15scenes_bow_soft_max_1000,svmC,4,0.285108505862
3,15scenes_bow_soft_max_1000,svmC,5,0.339233038348
3,15scenes_bow_soft_max_1000,svmC,6,0.234975369458
3,15scenes_bow_soft_max_1000,svmC,7,0.211684184796
3,15scenes_bow_soft_max_1000,svmC,8,0.195343137255
3,15scenes_bow_soft_max_1000,svmC,9,0.433103787506
3,15scenes_bow_soft_max_1000,svmC,10,0.261613691932
3,15scenes_bow_soft_max_1000,svmO,1,0.683305064211
3,15scenes_bow_soft_max_1000,svmO,2,0.245490004876
3,15scenes_bow_soft_max_1000,svmO,3,0.236730625467
3,15scenes_bow_soft_max_1000,svmO,4,0.285108505862
3,15scenes_bow_soft_max_1000,svmO,5,0.339233038348
3,15scenes_bow_soft_max_1000,svmO,6,0.653201970443
3,15scenes_bow_soft_max_1000,svmO,7,0.307504277683
3,15scenes_bow_soft_max_1000,svmO,8,0.187745098039
3,15scenes_bow_soft_max_1000,svmO,9,0.65272995573
3,15scenes_bow_soft_max_1000,svmO,10,0.259902200489
3,15scenes_bow_soft_max_1000,svmdbcC,1,0.186333898716
3,15scenes_bow_soft_max_1000,svmdbcC,2,0.130424183325
3,15scenes_bow_soft_max_1000,svmdbcC,3,0.202093197109
3,15scenes_bow_soft_max_1000,svmdbcC,4,0.513594412572
3,15scenes_bow_soft_max_1000,svmdbcC,5,0.463126843658
3,15scenes_bow_soft_max_1000,svmdbcC,6,0.131527093596
3,15scenes_bow_soft_max_1000,svmdbcC,7,0.193351258861
3,15scenes_bow_soft_max_1000,svmdbcC,8,0.167892156863
3,15scenes_bow_soft_max_1000,svmdbcC,9,0.202164289228
3,15scenes_bow_soft_max_1000,svmdbcC,10,0.269926650367
3,15scenes_bow_soft_max_1000,svmdbcO,1,0.440029076811
3,15scenes_bow_soft_max_1000,svmdbcO,2,0.548025353486
3,15scenes_bow_soft_max_1000,svmdbcO,3,0.347371044107
3,15scenes_bow_soft_max_1000,svmdbcO,4,0.810675979047
3,15scenes_bow_soft_max_1000,svmdbcO,5,0.629547689282
3,15scenes_bow_soft_max_1000,svmdbcO,6,0.370689655172
3,15scenes_bow_soft_max_1000,svmdbcO,7,0.74431679296
3,15scenes_bow_soft_max_1000,svmdbcO,8,0.280147058824
3,15scenes_bow_soft_max_1000,svmdbcO,9,0.85366453517
3,15scenes_bow_soft_max_1000,svmdbcO,10,0.302200488998
3,15scenes_bow_soft_max_1000,pisvmC,1,0.0826266052823
3,15scenes_bow_soft_max_1000,pisvmC,2,0.0806923451975
3,15scenes_bow_soft_max_1000,pisvmC,3,0.11313231996
3,15scenes_bow_soft_max_1000,pisvmC,4,0.114741830881
3,15scenes_bow_soft_max_1000,pisvmC,5,0.101524090462
3,15scenes_bow_soft_max_1000,pisvmC,6,0.0958128078818
3,15scenes_bow_soft_max_1000,pisvmC,7,0.0901979956001
3,15scenes_bow_soft_max_1000,pisvmC,8,0.0875
3,15scenes_bow_soft_max_1000,pisvmC,9,0.0846040334481
3,15scenes_bow_soft_max_1000,pisvmC,10,0.078239608802
3,15scenes_bow_soft_max_1000,pisvmO,1,0.538647928277
3,15scenes_bow_soft_max_1000,pisvmO,2,0.130424183325
3,15scenes_bow_soft_max_1000,pisvmO,3,0.772987789684
3,15scenes_bow_soft_max_1000,pisvmO,4,0.825392866051
3,15scenes_bow_soft_max_1000,pisvmO,5,0.897246804326
3,15scenes_bow_soft_max_1000,pisvmO,6,0.674137931034
3,15scenes_bow_soft_max_1000,pisvmO,7,0.384991444635
3,15scenes_bow_soft_max_1000,pisvmO,8,0.242647058824
3,15scenes_bow_soft_max_1000,pisvmO,9,0.458189867191
3,15scenes_bow_soft_max_1000,pisvmO,10,0.31271393643
3,15scenes_bow_soft_max_1000,onevsetC,1,0.0814150714805
3,15scenes_bow_soft_max_1000,onevsetC,2,0.0775231594344
3,15scenes_bow_soft_max_1000,onevsetC,3,0.0994268626962
3,15scenes_bow_soft_max_1000,onevsetC,4,0.0967822399601
3,15scenes_bow_soft_max_1000,onevsetC,5,0.0939036381514
3,15scenes_bow_soft_max_1000,onevsetC,6,0.0820197044335
3,15scenes_bow_soft_max_1000,onevsetC,7,0.0877536054754
3,15scenes_bow_soft_max_1000,onevsetC,8,0.0754901960784
3,15scenes_bow_soft_max_1000,onevsetC,9,0.06837186424
3,15scenes_bow_soft_max_1000,onevsetC,10,0.0721271393643
3,15scenes_bow_soft_max_1000,onevsetO,1,0.070268960504
3,15scenes_bow_soft_max_1000,onevsetO,2,0.0721599219893
3,15scenes_bow_soft_max_1000,onevsetO,3,0.0859705955644
