lenacs,dataset,classifier,experiment,result
3,15scenes_bow_soft_max_1000,ocsvmC,1,0.638055994181
3,15scenes_bow_soft_max_1000,ocsvmC,2,0.575679311273
3,15scenes_bow_soft_max_1000,ocsvmC,3,0.67098881624
3,15scenes_bow_soft_max_1000,ocsvmC,4,0.703508918757
3,15scenes_bow_soft_max_1000,ocsvmC,5,0.698642590286
3,15scenes_bow_soft_max_1000,ocsvmC,6,0.627319362408
3,15scenes_bow_soft_max_1000,ocsvmC,7,0.630299613182
3,15scenes_bow_soft_max_1000,ocsvmC,8,0.675238191437
3,15scenes_bow_soft_max_1000,ocsvmC,9,0.656387952877
3,15scenes_bow_soft_max_1000,ocsvmC,10,0.665205793725
3,15scenes_bow_soft_max_1000,ocsvmO,1,0.638055994181
3,15scenes_bow_soft_max_1000,ocsvmO,2,0.568564580429
3,15scenes_bow_soft_max_1000,ocsvmO,3,0.67098881624
3,15scenes_bow_soft_max_1000,ocsvmO,4,0.703367355903
3,15scenes_bow_soft_max_1000,ocsvmO,5,0.698642590286
3,15scenes_bow_soft_max_1000,ocsvmO,6,0.627319362408
3,15scenes_bow_soft_max_1000,ocsvmO,7,0.630299613182
3,15scenes_bow_soft_max_1000,ocsvmO,8,0.675238191437
3,15scenes_bow_soft_max_1000,ocsvmO,9,0.656387952877
3,15scenes_bow_soft_max_1000,ocsvmO,10,0.665205793725
3,15scenes_bow_soft_max_1000,ssvmC,1,0.621301134314
3,15scenes_bow_soft_max_1000,ssvmC,2,0.549147650843
3,15scenes_bow_soft_max_1000,ssvmC,3,0.62333278687
3,15scenes_bow_soft_max_1000,ssvmC,4,0.743525799459
3,15scenes_bow_soft_max_1000,ssvmC,5,0.787656813266
3,15scenes_bow_soft_max_1000,ssvmC,6,0.590279148798
3,15scenes_bow_soft_max_1000,ssvmC,7,0.542183677096
3,15scenes_bow_soft_max_1000,ssvmC,8,0.571242368275
3,15scenes_bow_soft_max_1000,ssvmC,9,0.633846615991
3,15scenes_bow_soft_max_1000,ssvmC,10,0.522241910168
3,15scenes_bow_soft_max_1000,ssvmO,1,0.568974401055
3,15scenes_bow_soft_max_1000,ssvmO,2,0.678335412234
3,15scenes_bow_soft_max_1000,ssvmO,3,0.588137926661
3,15scenes_bow_soft_max_1000,ssvmO,4,0.720849032862
3,15scenes_bow_soft_max_1000,ssvmO,5,0.717251753294
3,15scenes_bow_soft_max_1000,ssvmO,6,0.586524799741
3,15scenes_bow_soft_max_1000,ssvmO,7,0.641517680185
3,15scenes_bow_soft_max_1000,ssvmO,8,0.601590663257
3,15scenes_bow_soft_max_1000,ssvmO,9,0.619829950631
3,15scenes_bow_soft_max_1000,ssvmO,10,0.668768765074
3,15scenes_bow_soft_max_1000,svddC,1,0.658180381338
3,15scenes_bow_soft_max_1000,svddC,2,0.552427421919
3,15scenes_bow_soft_max_1000,svddC,3,0.700468243673
3,15scenes_bow_soft_max_1000,svddC,4,0.784496522955
3,15scenes_bow_soft_max_1000,svddC,5,0.780348692403
3,15scenes_bow_soft_max_1000,svddC,6,0.625782021199
3,15scenes_bow_soft_max_1000,svddC,7,0.61808613879
3,15scenes_bow_soft_max_1000,svddC,8,0.666918632614
3,15scenes_bow_soft_max_1000,svddC,9,0.566756131965
3,15scenes_bow_soft_max_1000,svddC,10,0.643581182699
3,15scenes_bow_soft_max_1000,svddO,1,0.500331186535
3,15scenes_bow_soft_max_1000,svddO,2,0.500088047546
3,15scenes_bow_soft_max_1000,svddO,3,0.5
3,15scenes_bow_soft_max_1000,svddO,4,0.5
3,15scenes_bow_soft_max_1000,svddO,5,0.5
3,15scenes_bow_soft_max_1000,svddO,6,0.498762035763
3,15scenes_bow_soft_max_1000,svddO,7,0.499458728011
3,15scenes_bow_soft_max_1000,svddO,8,0.501789738653
3,15scenes_bow_soft_max_1000,svddO,9,0.48035159209
3,15scenes_bow_soft_max_1000,svddO,10,0.49733529119
3,15scenes_bow_soft_max_1000,svmC,1,0.57100476672
3,15scenes_bow_soft_max_1000,svmC,2,0.48820652041
3,15scenes_bow_soft_max_1000,svmC,3,0.54256703555
3,15scenes_bow_soft_max_1000,svmC,4,0.577054412369
3,15scenes_bow_soft_max_1000,svmC,5,0.628603264076
