lenacs,dataset,classifier,experiment,result
3,15scenes_bow_soft_max_1000,ocbbsvmC,1,0.513852506467
3,15scenes_bow_soft_max_1000,ocbbsvmC,2,0.515691916689
3,15scenes_bow_soft_max_1000,ocbbsvmC,3,0.404933514988
3,15scenes_bow_soft_max_1000,ocbbsvmC,4,0.427339807965
3,15scenes_bow_soft_max_1000,ocbbsvmC,5,0.407605571914
3,15scenes_bow_soft_max_1000,ocbbsvmC,6,0.438565181229
3,15scenes_bow_soft_max_1000,ocbbsvmC,7,0.402404024461
3,15scenes_bow_soft_max_1000,ocbbsvmC,8,0.546896139107
3,15scenes_bow_soft_max_1000,ocbbsvmC,9,0.471424114437
3,15scenes_bow_soft_max_1000,ocbbsvmC,10,0.505649817288
3,15scenes_bow_soft_max_1000,ocbbsvmO,1,0.45556595285
3,15scenes_bow_soft_max_1000,ocbbsvmO,2,0.506956946233
3,15scenes_bow_soft_max_1000,ocbbsvmO,3,0.40416650649
3,15scenes_bow_soft_max_1000,ocbbsvmO,4,0.432846167604
3,15scenes_bow_soft_max_1000,ocbbsvmO,5,0.406779156655
3,15scenes_bow_soft_max_1000,ocbbsvmO,6,0.398868635289
3,15scenes_bow_soft_max_1000,ocbbsvmO,7,0.416684027731
3,15scenes_bow_soft_max_1000,ocbbsvmO,8,0.416568102061
3,15scenes_bow_soft_max_1000,ocbbsvmO,9,0.374407876002
3,15scenes_bow_soft_max_1000,ocbbsvmO,10,0.436853614365
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,1,0.474905537593
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,2,0.477455704736
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,3,0.376221400322
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,4,0.407567705996
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,5,0.393608501346
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,6,0.414533595158
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,7,0.385567590934
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,8,0.534045451493
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,9,0.444944312403
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,10,0.504283378474
3,15scenes_bow_soft_max_1000,ssvmO,1,0.470709312109
3,15scenes_bow_soft_max_1000,ssvmO,2,0.524147517363
3,15scenes_bow_soft_max_1000,ssvmO,3,0.519132682052
3,15scenes_bow_soft_max_1000,ssvmO,4,0.669759195161
3,15scenes_bow_soft_max_1000,ssvmO,5,0.636761222149
3,15scenes_bow_soft_max_1000,ssvmO,6,0.393587729845
