lenacs,dataset,classifier,experiment,result
3,15scenes_bow_soft_max_1000,ocbbsvmC,1,0.372920951591
3,15scenes_bow_soft_max_1000,ocbbsvmC,2,0.389824747678
3,15scenes_bow_soft_max_1000,ocbbsvmC,3,0.236269222397
3,15scenes_bow_soft_max_1000,ocbbsvmC,4,0.274025694892
3,15scenes_bow_soft_max_1000,ocbbsvmC,5,0.230233407784
3,15scenes_bow_soft_max_1000,ocbbsvmC,6,0.268718881711
3,15scenes_bow_soft_max_1000,ocbbsvmC,7,0.220560218612
3,15scenes_bow_soft_max_1000,ocbbsvmC,8,0.420053716648
3,15scenes_bow_soft_max_1000,ocbbsvmC,9,0.324375532116
3,15scenes_bow_soft_max_1000,ocbbsvmC,10,0.360646876179
3,15scenes_bow_soft_max_1000,ocbbsvmO,1,0.291077472784
3,15scenes_bow_soft_max_1000,ocbbsvmO,2,0.374400729507
3,15scenes_bow_soft_max_1000,ocbbsvmO,3,0.238190505402
3,15scenes_bow_soft_max_1000,ocbbsvmO,4,0.28103377369
3,15scenes_bow_soft_max_1000,ocbbsvmO,5,0.22989461702
3,15scenes_bow_soft_max_1000,ocbbsvmO,6,0.221220744343
3,15scenes_bow_soft_max_1000,ocbbsvmO,7,0.262784233543
3,15scenes_bow_soft_max_1000,ocbbsvmO,8,0.24401314206
3,15scenes_bow_soft_max_1000,ocbbsvmO,9,0.163955691382
3,15scenes_bow_soft_max_1000,ocbbsvmO,10,0.269106098377
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,1,0.313022447149
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,2,0.344021247294
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,3,0.197324434533
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,4,0.253565289604
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,5,0.217424304825
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,6,0.234005586448
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,7,0.193768296893
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,8,0.402773790068
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,9,0.274773736179
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,10,0.36187968081
3,15scenes_bow_soft_max_1000,ssvmO,1,0.225875944568
3,15scenes_bow_soft_max_1000,ssvmO,2,0.376137232409
3,15scenes_bow_soft_max_1000,ssvmO,3,0.378775826703
3,15scenes_bow_soft_max_1000,ssvmO,4,0.591628720235
3,15scenes_bow_soft_max_1000,ssvmO,5,0.542277666451
3,15scenes_bow_soft_max_1000,ssvmO,6,0.18218022848
3,15scenes_bow_soft_max_1000,ssvmO,7,0.514331075603
3,15scenes_bow_soft_max_1000,ssvmO,8,0.293751055433
3,15scenes_bow_soft_max_1000,ssvmO,9,0.385155659414
