lenacs,dataset,classifier,experiment,result
3,15scenes_bow_soft_max_1000,ocbbsvmC,1,0.332332332332
3,15scenes_bow_soft_max_1000,ocbbsvmC,2,0.263507109005
3,15scenes_bow_soft_max_1000,ocbbsvmC,3,0.231232876712
3,15scenes_bow_soft_max_1000,ocbbsvmC,4,0.281533101045
3,15scenes_bow_soft_max_1000,ocbbsvmC,5,0.226600985222
3,15scenes_bow_soft_max_1000,ocbbsvmC,6,0.277980980249
3,15scenes_bow_soft_max_1000,ocbbsvmC,7,0.209271523179
3,15scenes_bow_soft_max_1000,ocbbsvmC,8,0.381384790011
3,15scenes_bow_soft_max_1000,ocbbsvmC,9,0.297376093294
3,15scenes_bow_soft_max_1000,ocbbsvmC,10,0.356962025316
3,15scenes_bow_soft_max_1000,ocbbsvmO,1,0.362275449102
3,15scenes_bow_soft_max_1000,ocbbsvmO,2,0.270103092784
3,15scenes_bow_soft_max_1000,ocbbsvmO,3,0.227272727273
3,15scenes_bow_soft_max_1000,ocbbsvmO,4,0.287910552061
3,15scenes_bow_soft_max_1000,ocbbsvmO,5,0.223436551305
3,15scenes_bow_soft_max_1000,ocbbsvmO,6,0.296066252588
3,15scenes_bow_soft_max_1000,ocbbsvmO,7,0.196721311475
3,15scenes_bow_soft_max_1000,ocbbsvmO,8,0.313676286073
3,15scenes_bow_soft_max_1000,ocbbsvmO,9,0.186440677966
3,15scenes_bow_soft_max_1000,ocbbsvmO,10,0.334254143646
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,1,0.292173913043
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,2,0.224328593997
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,3,0.194599627561
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,4,0.237365133447
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,5,0.192846034215
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,6,0.237797246558
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,7,0.179280730005
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,8,0.366990291262
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,9,0.271858927259
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,10,0.352941176471
3,15scenes_bow_soft_max_1000,ssvmO,1,0.24154589372
3,15scenes_bow_soft_max_1000,ssvmO,2,0.354623450906
3,15scenes_bow_soft_max_1000,ssvmO,3,0.248385871629
3,15scenes_bow_soft_max_1000,ssvmO,4,0.44391025641
3,15scenes_bow_soft_max_1000,ssvmO,5,0.335316387236
3,15scenes_bow_soft_max_1000,ssvmO,6,0.233568075117
3,15scenes_bow_soft_max_1000,ssvmO,7,0.278911564626
3,15scenes_bow_soft_max_1000,ssvmO,8,0.309484193012
3,15scenes_bow_soft_max_1000,ssvmO,9,0.318987341772
3,15scenes_bow_soft_max_1000,ssvmO,10,0.299401197605
3,15scenes_bow_soft_max_1000,svddbbC,1,0.272256241168
3,15scenes_bow_soft_max_1000,svddbbC,2,0.317819148936
3,15scenes_bow_soft_max_1000,svddbbC,3,0.252604166667
3,15scenes_bow_soft_max_1000,svddbbC,4,0.239240130603
3,15scenes_bow_soft_max_1000,svddbbC,5,0.248749583194
3,15scenes_bow_soft_max_1000,svddbbC,6,0.24618659099
3,15scenes_bow_soft_max_1000,svddbbC,7,0.210189041974
3,15scenes_bow_soft_max_1000,svddbbC,8,0.372511239563
3,15scenes_bow_soft_max_1000,svddbbC,9,0.301121195942
3,15scenes_bow_soft_max_1000,svddbbC,10,0.36737804878
3,15scenes_bow_soft_max_1000,svddbbO,1,0.365330848089
3,15scenes_bow_soft_max_1000,svddbbO,2,0.317819148936
3,15scenes_bow_soft_max_1000,svddbbO,3,0.254679144385
3,15scenes_bow_soft_max_1000,svddbbO,4,0.239240130603
3,15scenes_bow_soft_max_1000,svddbbO,5,0.248749583194
3,15scenes_bow_soft_max_1000,svddbbO,6,0.319416832339
3,15scenes_bow_soft_max_1000,svddbbO,7,0.206537890045
3,15scenes_bow_soft_max_1000,svddbbO,8,0.308219178082
3,15scenes_bow_soft_max_1000,svddbbO,9,0.207584830339
3,15scenes_bow_soft_max_1000,svddbbO,10,0.325060048038
3,15scenes_bow_soft_max_1000,svddbb_OVO,1,0.234134804888
3,15scenes_bow_soft_max_1000,svddbb_OVO,2,0.270020533881
3,15scenes_bow_soft_max_1000,svddbb_OVO,3,0.22479052297
3,15scenes_bow_soft_max_1000,svddbb_OVO,4,0.202386872203
3,15scenes_bow_soft_max_1000,svddbb_OVO,5,0.206629834254
3,15scenes_bow_soft_max_1000,svddbb_OVO,6,0.212985436893
3,15scenes_bow_soft_max_1000,svddbb_OVO,7,0.187377279102
3,15scenes_bow_soft_max_1000,svddbb_OVO,8,0.342133051742
3,15scenes_bow_soft_max_1000,svddbb_OVO,9,0.241379310345
3,15scenes_bow_soft_max_1000,svddbb_OVO,10,0.320491345617
6,15scenes_bow_soft_max_1000,ocbbsvmC,1,0.410913140312
6,15scenes_bow_soft_max_1000,ocbbsvmC,2,0.408639813193
6,15scenes_bow_soft_max_1000,ocbbsvmC,3,0.404715127701
6,15scenes_bow_soft_max_1000,ocbbsvmC,4,0.356068204614
6,15scenes_bow_soft_max_1000,ocbbsvmC,5,0.4375
6,15scenes_bow_soft_max_1000,ocbbsvmC,6,0.326658322904
6,15scenes_bow_soft_max_1000,ocbbsvmC,7,0.326553672316
6,15scenes_bow_soft_max_1000,ocbbsvmC,8,0.411764705882
6,15scenes_bow_soft_max_1000,ocbbsvmC,9,0.419415059116
6,15scenes_bow_soft_max_1000,ocbbsvmC,10,0.294260307195
6,15scenes_bow_soft_max_1000,ocbbsvmO,1,0.250788643533
6,15scenes_bow_soft_max_1000,ocbbsvmO,2,0.296657381616
6,15scenes_bow_soft_max_1000,ocbbsvmO,3,0.361858190709
6,15scenes_bow_soft_max_1000,ocbbsvmO,4,0.169230769231
6,15scenes_bow_soft_max_1000,ocbbsvmO,5,0.346820809249
6,15scenes_bow_soft_max_1000,ocbbsvmO,6,0.248163265306
6,15scenes_bow_soft_max_1000,ocbbsvmO,7,0.231511254019
6,15scenes_bow_soft_max_1000,ocbbsvmO,8,0.241718889884
6,15scenes_bow_soft_max_1000,ocbbsvmO,9,0.226446280992
6,15scenes_bow_soft_max_1000,ocbbsvmO,10,0.155279503106
6,15scenes_bow_soft_max_1000,ocbbsvm_OVO,1,0.370044052863
6,15scenes_bow_soft_max_1000,ocbbsvm_OVO,2,0.337785437312
6,15scenes_bow_soft_max_1000,ocbbsvm_OVO,3,0.345323741007
6,15scenes_bow_soft_max_1000,ocbbsvm_OVO,4,0.277501774308
6,15scenes_bow_soft_max_1000,ocbbsvm_OVO,5,0.396247240618
6,15scenes_bow_soft_max_1000,ocbbsvm_OVO,6,0.315840621963
6,15scenes_bow_soft_max_1000,ocbbsvm_OVO,7,0.306015693112
6,15scenes_bow_soft_max_1000,ocbbsvm_OVO,8,0.326216908625
6,15scenes_bow_soft_max_1000,ocbbsvm_OVO,9,0.39504950495
6,15scenes_bow_soft_max_1000,ocbbsvm_OVO,10,0.32
6,15scenes_bow_soft_max_1000,ssvmO,1,0.396675900277
6,15scenes_bow_soft_max_1000,ssvmO,2,0.456906285284
6,15scenes_bow_soft_max_1000,ssvmO,3,0.385882352941
6,15scenes_bow_soft_max_1000,ssvmO,4,0.404683840749
6,15scenes_bow_soft_max_1000,ssvmO,5,0.504388531305
6,15scenes_bow_soft_max_1000,ssvmO,6,0.262060750447
6,15scenes_bow_soft_max_1000,ssvmO,7,0.422398052343
6,15scenes_bow_soft_max_1000,ssvmO,8,0.403198172473
6,15scenes_bow_soft_max_1000,ssvmO,9,0.338353413655
6,15scenes_bow_soft_max_1000,ssvmO,10,0.436334144363
6,15scenes_bow_soft_max_1000,svddbbC,1,0.494701986755
6,15scenes_bow_soft_max_1000,svddbbC,2,0.519622093023
6,15scenes_bow_soft_max_1000,svddbbC,3,0.48769771529
6,15scenes_bow_soft_max_1000,svddbbC,4,0.505364409915
