lenacs,dataset,classifier,experiment,result
3,15scenes_bow_soft_max_1000,ocbbsvmC,1,0.839592924643
3,15scenes_bow_soft_max_1000,ocbbsvmC,2,0.81228668942
3,15scenes_bow_soft_max_1000,ocbbsvmC,3,0.652130575629
3,15scenes_bow_soft_max_1000,ocbbsvmC,4,0.745572461961
3,15scenes_bow_soft_max_1000,ocbbsvmC,5,0.691494591937
3,15scenes_bow_soft_max_1000,ocbbsvmC,6,0.758620689655
3,15scenes_bow_soft_max_1000,ocbbsvmC,7,0.709850892202
3,15scenes_bow_soft_max_1000,ocbbsvmC,8,0.868382352941
3,15scenes_bow_soft_max_1000,ocbbsvmC,9,0.826119035908
3,15scenes_bow_soft_max_1000,ocbbsvmC,10,0.881907090465
3,15scenes_bow_soft_max_1000,ocbbsvmO,1,0.897504240368
3,15scenes_bow_soft_max_1000,ocbbsvmO,2,0.829107752316
3,15scenes_bow_soft_max_1000,ocbbsvmO,3,0.654124096686
3,15scenes_bow_soft_max_1000,ocbbsvmO,4,0.748565727114
3,15scenes_bow_soft_max_1000,ocbbsvmO,5,0.685840707965
3,15scenes_bow_soft_max_1000,ocbbsvmO,6,0.833743842365
3,15scenes_bow_soft_max_1000,ocbbsvmO,7,0.738450256661
3,15scenes_bow_soft_max_1000,ocbbsvmO,8,0.867892156863
3,15scenes_bow_soft_max_1000,ocbbsvmO,9,0.883177570093
3,15scenes_bow_soft_max_1000,ocbbsvmO,10,0.88630806846
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,1,0.80397383087
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,2,0.767674305217
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,3,0.572389733367
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,4,0.668246445498
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,5,0.61750245821
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,6,0.703201970443
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,7,0.629430457101
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,8,0.845588235294
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,9,0.764879488441
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,10,0.860391198044
3,15scenes_bow_soft_max_1000,ssvmO,1,0.923915677247
3,15scenes_bow_soft_max_1000,ssvmO,2,0.836908824963
3,15scenes_bow_soft_max_1000,ssvmO,3,0.508098679292
3,15scenes_bow_soft_max_1000,ssvmO,4,0.827637814916
3,15scenes_bow_soft_max_1000,ssvmO,5,0.697885939036
3,15scenes_bow_soft_max_1000,ssvmO,6,0.680049261084
3,15scenes_bow_soft_max_1000,ssvmO,7,0.741383524811
3,15scenes_bow_soft_max_1000,ssvmO,8,0.900245098039
3,15scenes_bow_soft_max_1000,ssvmO,9,0.873585833743
3,15scenes_bow_soft_max_1000,ssvmO,10,0.749877750611
3,15scenes_bow_soft_max_1000,svddbbC,1,0.627089895808
3,15scenes_bow_soft_max_1000,svddbbC,2,0.753534861043
3,15scenes_bow_soft_max_1000,svddbbC,3,0.430102167954
3,15scenes_bow_soft_max_1000,svddbbC,4,0.363432277376
3,15scenes_bow_soft_max_1000,svddbbC,5,0.446411012783
3,15scenes_bow_soft_max_1000,svddbbC,6,0.479064039409
3,15scenes_bow_soft_max_1000,svddbbC,7,0.40039110242
3,15scenes_bow_soft_max_1000,svddbbC,8,0.765441176471
3,15scenes_bow_soft_max_1000,svddbbC,9,0.686178061977
3,15scenes_bow_soft_max_1000,svddbbC,10,0.804400977995
3,15scenes_bow_soft_max_1000,svddbbO,1,0.835958323237
3,15scenes_bow_soft_max_1000,svddbbO,2,0.753534861043
3,15scenes_bow_soft_max_1000,svddbbO,3,0.446050336407
3,15scenes_bow_soft_max_1000,svddbbO,4,0.363432277376
3,15scenes_bow_soft_max_1000,svddbbO,5,0.446411012783
3,15scenes_bow_soft_max_1000,svddbbO,6,0.748768472906
3,15scenes_bow_soft_max_1000,svddbbO,7,0.480322659496
3,15scenes_bow_soft_max_1000,svddbbO,8,0.756617647059
3,15scenes_bow_soft_max_1000,svddbbO,9,0.806935563207
3,15scenes_bow_soft_max_1000,svddbbO,10,0.801222493888
3,15scenes_bow_soft_max_1000,svddbb_OVO,1,0.532347952508
3,15scenes_bow_soft_max_1000,svddbb_OVO,2,0.663822525597
3,15scenes_bow_soft_max_1000,svddbb_OVO,3,0.335409917767
3,15scenes_bow_soft_max_1000,svddbb_OVO,4,0.203292591669
3,15scenes_bow_soft_max_1000,svddbb_OVO,5,0.294493608653
3,15scenes_bow_soft_max_1000,svddbb_OVO,6,0.366256157635
3,15scenes_bow_soft_max_1000,svddbb_OVO,7,0.296504522122
3,15scenes_bow_soft_max_1000,svddbb_OVO,8,0.70318627451
3,15scenes_bow_soft_max_1000,svddbb_OVO,9,0.504672897196
3,15scenes_bow_soft_max_1000,svddbb_OVO,10,0.715158924205
6,15scenes_bow_soft_max_1000,ocbbsvmC,1,0.708925525867
6,15scenes_bow_soft_max_1000,ocbbsvmC,2,0.721547585428
6,15scenes_bow_soft_max_1000,ocbbsvmC,3,0.758649321893
6,15scenes_bow_soft_max_1000,ocbbsvmC,4,0.64689578714
6,15scenes_bow_soft_max_1000,ocbbsvmC,5,0.777006387115
6,15scenes_bow_soft_max_1000,ocbbsvmC,6,0.710269969385
6,15scenes_bow_soft_max_1000,ocbbsvmC,7,0.669622425629
6,15scenes_bow_soft_max_1000,ocbbsvmC,8,0.748003304875
6,15scenes_bow_soft_max_1000,ocbbsvmC,9,0.741806782559
6,15scenes_bow_soft_max_1000,ocbbsvmC,10,0.762744557729
6,15scenes_bow_soft_max_1000,ocbbsvmO,1,0.738772029562
6,15scenes_bow_soft_max_1000,ocbbsvmO,2,0.722959615928
6,15scenes_bow_soft_max_1000,ocbbsvmO,3,0.789925269859
6,15scenes_bow_soft_max_1000,ocbbsvmO,4,0.701219512195
6,15scenes_bow_soft_max_1000,ocbbsvmO,5,0.78450430436
6,15scenes_bow_soft_max_1000,ocbbsvmO,6,0.745894795436
6,15scenes_bow_soft_max_1000,ocbbsvmO,7,0.729691075515
6,15scenes_bow_soft_max_1000,ocbbsvmO,8,0.769484990361
6,15scenes_bow_soft_max_1000,ocbbsvmO,9,0.735537190083
6,15scenes_bow_soft_max_1000,ocbbsvmO,10,0.775144667953
6,15scenes_bow_soft_max_1000,ocbbsvm_OVO,1,0.607731665719
6,15scenes_bow_soft_max_1000,ocbbsvm_OVO,2,0.581191753742
6,15scenes_bow_soft_max_1000,ocbbsvm_OVO,3,0.64267921395
