lenacs,dataset,classifier,experiment,result
3,imagenet_googlenet_openset_images_07102017,ocsvmC,2,0.381146133572
3,imagenet_googlenet_openset_images_07102017,ocsvmC,1,0.239558095191
3,imagenet_googlenet_openset_images_07102017,ocsvmC,3,0.24773474405
3,imagenet_googlenet_openset_images_07102017,ocsvmC,4,0.148986873299
3,imagenet_googlenet_openset_images_07102017,ocsvmC,5,0.320941380219
3,imagenet_googlenet_openset_images_07102017,ocsvmC,6,0.22918605404
3,imagenet_googlenet_openset_images_07102017,ocsvmC,7,0.219162208403
3,imagenet_googlenet_openset_images_07102017,ocsvmC,8,0.192935444774
3,imagenet_googlenet_openset_images_07102017,ocsvmC,10,0.245640309339
3,imagenet_googlenet_openset_images_07102017,ocsvmC,9,0.318545563674
3,imagenet_googlenet_openset_images_07102017,ocsvmO,1,0.814172432469
3,imagenet_googlenet_openset_images_07102017,ocsvmO,2,0.782156025089
3,imagenet_googlenet_openset_images_07102017,ocsvmO,3,0.44700910313
3,imagenet_googlenet_openset_images_07102017,ocsvmO,4,0.819455518453
3,imagenet_googlenet_openset_images_07102017,ocsvmO,5,0.265285317432
3,imagenet_googlenet_openset_images_07102017,ocsvmO,6,0.730380563116
3,imagenet_googlenet_openset_images_07102017,ocsvmO,7,0.584412418857
3,imagenet_googlenet_openset_images_07102017,ocsvmO,8,0.461480414958
3,imagenet_googlenet_openset_images_07102017,ocsvmO,9,0.428569272032
3,imagenet_googlenet_openset_images_07102017,ocsvmO,10,0.756441570144
3,imagenet_googlenet_openset_images_07102017,ssvmC,1,0.979761623629
3,imagenet_googlenet_openset_images_07102017,ssvmC,2,0.979761623629
3,imagenet_googlenet_openset_images_07102017,ssvmC,3,0.979761623629
3,imagenet_googlenet_openset_images_07102017,ssvmC,6,0.979761623629
3,imagenet_googlenet_openset_images_07102017,ssvmC,5,0.979761623629
3,imagenet_googlenet_openset_images_07102017,ssvmC,4,0.979761623629
3,imagenet_googlenet_openset_images_07102017,ssvmC,7,0.979761623629
3,imagenet_googlenet_openset_images_07102017,ssvmC,8,0.979761623629
3,imagenet_googlenet_openset_images_07102017,ssvmC,9,0.942187085591
3,imagenet_googlenet_openset_images_07102017,ssvmC,10,0.979761623629
3,imagenet_googlenet_openset_images_07102017,ssvmO,1,0.991425037903
3,imagenet_googlenet_openset_images_07102017,ssvmO,3,0.991425037903
