lenacs,dataset,classifier,experiment,result
3,imagenet_googlenet_openset_images_07102017,ocsvmC,2,0.346500080547
3,imagenet_googlenet_openset_images_07102017,ocsvmC,1,0.00482132963381
3,imagenet_googlenet_openset_images_07102017,ocsvmC,3,0.0196755696002
3,imagenet_googlenet_openset_images_07102017,ocsvmC,4,0.000353467689062
3,imagenet_googlenet_openset_images_07102017,ocsvmC,5,0.353246174961
3,imagenet_googlenet_openset_images_07102017,ocsvmC,6,0.00212112676863
3,imagenet_googlenet_openset_images_07102017,ocsvmC,7,0.0278068042602
3,imagenet_googlenet_openset_images_07102017,ocsvmC,8,0.00839355135637
3,imagenet_googlenet_openset_images_07102017,ocsvmC,10,0.0300387560579
3,imagenet_googlenet_openset_images_07102017,ocsvmC,9,0.27925633375
3,imagenet_googlenet_openset_images_07102017,ocsvmO,1,0.736089030207
3,imagenet_googlenet_openset_images_07102017,ocsvmO,2,0.687035507845
3,imagenet_googlenet_openset_images_07102017,ocsvmO,3,0.39619351727
3,imagenet_googlenet_openset_images_07102017,ocsvmO,4,0.744075829384
3,imagenet_googlenet_openset_images_07102017,ocsvmO,5,0.00479745223193
3,imagenet_googlenet_openset_images_07102017,ocsvmO,6,0.605263157895
3,imagenet_googlenet_openset_images_07102017,ocsvmO,7,0.509938401565
3,imagenet_googlenet_openset_images_07102017,ocsvmO,8,0.378754799175
3,imagenet_googlenet_openset_images_07102017,ocsvmO,9,0.333212705261
3,imagenet_googlenet_openset_images_07102017,ocsvmO,10,0.646808510638
3,imagenet_googlenet_openset_images_07102017,ssvmC,1,0.972868217054
3,imagenet_googlenet_openset_images_07102017,ssvmC,2,0.972868217054
3,imagenet_googlenet_openset_images_07102017,ssvmC,3,0.972868217054
3,imagenet_googlenet_openset_images_07102017,ssvmC,6,0.972868217054
3,imagenet_googlenet_openset_images_07102017,ssvmC,5,0.972868217054
3,imagenet_googlenet_openset_images_07102017,ssvmC,4,0.972868217054
3,imagenet_googlenet_openset_images_07102017,ssvmC,7,0.972868217054
3,imagenet_googlenet_openset_images_07102017,ssvmC,8,0.972868217054
3,imagenet_googlenet_openset_images_07102017,ssvmC,9,0.922886840411
3,imagenet_googlenet_openset_images_07102017,ssvmC,10,0.972868217054
3,imagenet_googlenet_openset_images_07102017,ssvmO,1,0.988549618321
3,imagenet_googlenet_openset_images_07102017,ssvmO,3,0.988549618321
3,imagenet_googlenet_openset_images_07102017,ssvmO,2,0.988549618321
3,imagenet_googlenet_openset_images_07102017,ssvmO,4,0.988549618321
3,imagenet_googlenet_openset_images_07102017,ssvmO,6,0.988549618321
3,imagenet_googlenet_openset_images_07102017,ssvmO,5,0.988549618321
3,imagenet_googlenet_openset_images_07102017,ssvmO,8,0.988549618321
3,imagenet_googlenet_openset_images_07102017,ssvmO,7,0.988549618321
3,imagenet_googlenet_openset_images_07102017,ssvmO,9,0.936986682583
3,imagenet_googlenet_openset_images_07102017,ssvmO,10,0.988549618321
3,imagenet_googlenet_openset_images_07102017,svddC,1,0.776734587118
3,imagenet_googlenet_openset_images_07102017,svddC,2,0.456377872599
3,imagenet_googlenet_openset_images_07102017,svddC,3,0.771399071012
3,imagenet_googlenet_openset_images_07102017,svddC,4,0.779364417403
3,imagenet_googlenet_openset_images_07102017,svddC,5,0.775412693034
3,imagenet_googlenet_openset_images_07102017,svddC,6,0.776302738159
3,imagenet_googlenet_openset_images_07102017,svddC,8,0.774523117058
3,imagenet_googlenet_openset_images_07102017,svddC,7,0.456568417559
3,imagenet_googlenet_openset_images_07102017,svddC,9,0.44678208012
3,imagenet_googlenet_openset_images_07102017,svddC,10,0.44210056528
3,imagenet_googlenet_openset_images_07102017,svddO,1,0.0
3,imagenet_googlenet_openset_images_07102017,svddO,2,0.0
3,imagenet_googlenet_openset_images_07102017,svddO,3,0.0
3,imagenet_googlenet_openset_images_07102017,svddO,4,0.0
3,imagenet_googlenet_openset_images_07102017,svddO,5,0.0
3,imagenet_googlenet_openset_images_07102017,svddO,6,0.0
3,imagenet_googlenet_openset_images_07102017,svddO,7,0.0
3,imagenet_googlenet_openset_images_07102017,svddO,8,0.0
3,imagenet_googlenet_openset_images_07102017,svddO,9,0.0
3,imagenet_googlenet_openset_images_07102017,svddO,10,0.0
3,imagenet_googlenet_openset_images_07102017,svmC,1,1.0
3,imagenet_googlenet_openset_images_07102017,svmC,2,1.0
3,imagenet_googlenet_openset_images_07102017,svmC,3,1.0
3,imagenet_googlenet_openset_images_07102017,svmC,4,1.0
3,imagenet_googlenet_openset_images_07102017,svmC,5,1.0
3,imagenet_googlenet_openset_images_07102017,svmC,6,1.0
3,imagenet_googlenet_openset_images_07102017,svmC,7,1.0
3,imagenet_googlenet_openset_images_07102017,svmC,8,1.0
3,imagenet_googlenet_openset_images_07102017,svmC,9,0.948598130841
3,imagenet_googlenet_openset_images_07102017,svmC,10,1.0
3,imagenet_googlenet_openset_images_07102017,svmO,1,0.479646057647
3,imagenet_googlenet_openset_images_07102017,svmO,3,0.0199494878702
3,imagenet_googlenet_openset_images_07102017,svmO,2,0.0658273139305
3,imagenet_googlenet_openset_images_07102017,svmO,4,0.237440831159
3,imagenet_googlenet_openset_images_07102017,svmO,5,0.0124670809632
3,imagenet_googlenet_openset_images_07102017,svmO,6,0.0249073730864
3,imagenet_googlenet_openset_images_07102017,svmO,7,0.014863678253
3,imagenet_googlenet_openset_images_07102017,svmO,8,0.16724098052
3,imagenet_googlenet_openset_images_07102017,svmO,9,0.389292825824
3,imagenet_googlenet_openset_images_07102017,svmO,10,0.0267385991248
3,imagenet_googlenet_openset_images_07102017,svmdbcC,1,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcC,2,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcC,3,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcC,4,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcC,5,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcC,6,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcC,7,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcC,8,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcC,9,0.948598130841
3,imagenet_googlenet_openset_images_07102017,svmdbcC,10,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcO,1,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcO,2,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcO,3,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcO,4,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcO,6,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcO,5,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcO,7,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcO,8,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcO,9,0.948598130841
3,imagenet_googlenet_openset_images_07102017,svmdbcO,10,1.0
3,imagenet_googlenet_openset_images_07102017,pisvmC,1,0.0291134952725
3,imagenet_googlenet_openset_images_07102017,pisvmC,2,0.395289905073
3,imagenet_googlenet_openset_images_07102017,pisvmC,3,0.00947872876228
3,imagenet_googlenet_openset_images_07102017,pisvmC,4,0.513160197549
3,imagenet_googlenet_openset_images_07102017,pisvmC,6,0.232934700043
3,imagenet_googlenet_openset_images_07102017,pisvmC,5,0.0105358883188
3,imagenet_googlenet_openset_images_07102017,pisvmC,7,0.0730359553141
3,imagenet_googlenet_openset_images_07102017,pisvmC,8,0.0353932030725
3,imagenet_googlenet_openset_images_07102017,pisvmC,9,0.485483562266
3,imagenet_googlenet_openset_images_07102017,pisvmC,10,0.719490954871
3,imagenet_googlenet_openset_images_07102017,pisvmO,1,0.97946084724
3,imagenet_googlenet_openset_images_07102017,pisvmO,3,0.978149100257
3,imagenet_googlenet_openset_images_07102017,pisvmO,2,0.988549618321
3,imagenet_googlenet_openset_images_07102017,pisvmO,4,0.974193548387
3,imagenet_googlenet_openset_images_07102017,pisvmO,5,0.975515463918
3,imagenet_googlenet_openset_images_07102017,pisvmO,6,0.980115458627
3,imagenet_googlenet_openset_images_07102017,pisvmO,7,0.97880539499
3,imagenet_googlenet_openset_images_07102017,pisvmO,8,0.988549618321
3,imagenet_googlenet_openset_images_07102017,pisvmO,9,0.936986682583
3,imagenet_googlenet_openset_images_07102017,pisvmO,10,0.97946084724
3,imagenet_googlenet_openset_images_07102017,onevsetC,1,0.0137634628001
3,imagenet_googlenet_openset_images_07102017,onevsetC,2,0.00907623635385
3,imagenet_googlenet_openset_images_07102017,onevsetC,3,0.0110164950956
3,imagenet_googlenet_openset_images_07102017,onevsetC,4,0.0182931916003
3,imagenet_googlenet_openset_images_07102017,onevsetC,5,0.00897056193897
3,imagenet_googlenet_openset_images_07102017,onevsetC,6,0.0105775656473
3,imagenet_googlenet_openset_images_07102017,onevsetC,7,0.0238766968271
3,imagenet_googlenet_openset_images_07102017,onevsetC,8,0.0112684895729
3,imagenet_googlenet_openset_images_07102017,onevsetC,9,0.0277566753763
3,imagenet_googlenet_openset_images_07102017,onevsetC,10,0.0252887719351
3,imagenet_googlenet_openset_images_07102017,onevsetO,1,0.0180659192876
3,imagenet_googlenet_openset_images_07102017,onevsetO,2,0.00888057173058
3,imagenet_googlenet_openset_images_07102017,onevsetO,5,0.011709318004
3,imagenet_googlenet_openset_images_07102017,onevsetO,3,0.0119261912535
3,imagenet_googlenet_openset_images_07102017,onevsetO,4,0.0338506875507
3,imagenet_googlenet_openset_images_07102017,onevsetO,6,0.00973867255213
3,imagenet_googlenet_openset_images_07102017,onevsetO,7,0.00854415099145
3,imagenet_googlenet_openset_images_07102017,onevsetO,8,0.0113152362683
3,imagenet_googlenet_openset_images_07102017,onevsetO,9,0.0254519777878
3,imagenet_googlenet_openset_images_07102017,onevsetO,10,0.0363106518697
3,imagenet_googlenet_openset_images_07102017,wsvmC,1,0.662492140391
3,imagenet_googlenet_openset_images_07102017,wsvmC,3,0.727108680163
3,imagenet_googlenet_openset_images_07102017,wsvmC,2,0.795038205538
3,imagenet_googlenet_openset_images_07102017,wsvmC,4,0.511598328953
3,imagenet_googlenet_openset_images_07102017,wsvmC,5,0.792146927731
3,imagenet_googlenet_openset_images_07102017,wsvmC,6,0.757008309145
3,imagenet_googlenet_openset_images_07102017,wsvmC,9,0.715482984112
3,imagenet_googlenet_openset_images_07102017,wsvmC,8,0.78003443706
3,imagenet_googlenet_openset_images_07102017,wsvmC,7,0.524004464974
3,imagenet_googlenet_openset_images_07102017,wsvmC,10,0.788801846192
3,imagenet_googlenet_openset_images_07102017,wsvmO,1,0.980769230769
3,imagenet_googlenet_openset_images_07102017,wsvmO,3,0.985969387755
3,imagenet_googlenet_openset_images_07102017,wsvmO,4,0.981422165279
3,imagenet_googlenet_openset_images_07102017,wsvmO,2,0.991756499683
3,imagenet_googlenet_openset_images_07102017,wsvmO,5,0.638919073835
3,imagenet_googlenet_openset_images_07102017,wsvmO,6,0.530285494897
3,imagenet_googlenet_openset_images_07102017,wsvmO,7,0.987261146497
3,imagenet_googlenet_openset_images_07102017,wsvmO,8,0.982074263764
3,imagenet_googlenet_openset_images_07102017,wsvmO,9,0.357575402506
3,imagenet_googlenet_openset_images_07102017,wsvmO,10,0.792354785485
6,imagenet_googlenet_openset_images_07102017,ocsvmC,1,0.205899137535
6,imagenet_googlenet_openset_images_07102017,ocsvmC,2,0.243593966954
6,imagenet_googlenet_openset_images_07102017,ocsvmC,3,0.327044233727
6,imagenet_googlenet_openset_images_07102017,ocsvmC,4,0.222393090985
6,imagenet_googlenet_openset_images_07102017,ocsvmC,5,0.312600304153
6,imagenet_googlenet_openset_images_07102017,ocsvmC,7,0.268920971309
6,imagenet_googlenet_openset_images_07102017,ocsvmC,8,0.189854085538
6,imagenet_googlenet_openset_images_07102017,ocsvmC,6,0.229468747027
6,imagenet_googlenet_openset_images_07102017,ocsvmC,9,0.000292565396971
6,imagenet_googlenet_openset_images_07102017,ocsvmC,10,0.0115639680989
6,imagenet_googlenet_openset_images_07102017,ocsvmO,1,0.49018518323
6,imagenet_googlenet_openset_images_07102017,ocsvmO,2,0.610894558469
6,imagenet_googlenet_openset_images_07102017,ocsvmO,3,0.582077407115
6,imagenet_googlenet_openset_images_07102017,ocsvmO,4,0.609993257922
6,imagenet_googlenet_openset_images_07102017,ocsvmO,5,0.636262493708
6,imagenet_googlenet_openset_images_07102017,ocsvmO,6,0.538159335446
6,imagenet_googlenet_openset_images_07102017,ocsvmO,7,0.607942676515
6,imagenet_googlenet_openset_images_07102017,ocsvmO,9,0.605212309596
6,imagenet_googlenet_openset_images_07102017,ocsvmO,10,0.652542372881
6,imagenet_googlenet_openset_images_07102017,ocsvmO,8,0.598856592646
6,imagenet_googlenet_openset_images_07102017,ssvmC,1,0.797117588939
6,imagenet_googlenet_openset_images_07102017,ssvmC,2,0.803307126759
6,imagenet_googlenet_openset_images_07102017,ssvmC,3,0.800074615301
6,imagenet_googlenet_openset_images_07102017,ssvmC,4,0.904294926685
6,imagenet_googlenet_openset_images_07102017,ssvmC,5,0.832616796456
6,imagenet_googlenet_openset_images_07102017,ssvmC,7,0.813391479429
6,imagenet_googlenet_openset_images_07102017,ssvmC,6,0.80116621391
6,imagenet_googlenet_openset_images_07102017,ssvmC,8,0.877747513774
6,imagenet_googlenet_openset_images_07102017,ssvmC,9,0.904373398895
6,imagenet_googlenet_openset_images_07102017,ssvmC,10,0.989192625556
6,imagenet_googlenet_openset_images_07102017,ssvmO,1,0.991756499683
6,imagenet_googlenet_openset_images_07102017,ssvmO,3,0.991756499683
6,imagenet_googlenet_openset_images_07102017,ssvmO,4,0.991756499683
6,imagenet_googlenet_openset_images_07102017,ssvmO,2,0.991756499683
6,imagenet_googlenet_openset_images_07102017,ssvmO,5,0.991756499683
6,imagenet_googlenet_openset_images_07102017,ssvmO,6,0.991756499683
