lenacs,dataset,classifier,experiment,result
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,1,0.514585960573
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,2,0.376973424003
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,3,0.393610697695
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,4,0.353135123012
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,5,0.354381331036
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,6,0.528829240683
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,7,0.544325384899
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,8,0.597242072595
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,9,0.4424559737
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,10,0.348828191252
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,1,0.393050137414
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,2,0.459583338655
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,3,0.38026227638
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,4,0.462238414186
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,5,0.4800179812
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,6,0.539242830306
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,7,0.666045026452
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,8,0.507622272948
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,9,0.358967705685
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,10,0.348899972619
3,15scenes_bow_soft_max_1000_unbalanced,svddO,1,0.236354056902
3,15scenes_bow_soft_max_1000_unbalanced,svddO,2,0.234739772971
3,15scenes_bow_soft_max_1000_unbalanced,svddO,3,0.239670262569
3,15scenes_bow_soft_max_1000_unbalanced,svddO,4,0.243982919255
3,15scenes_bow_soft_max_1000_unbalanced,svddO,5,0.243982919255
3,15scenes_bow_soft_max_1000_unbalanced,svddO,6,0.232123212321
3,15scenes_bow_soft_max_1000_unbalanced,svddO,7,0.226968367583
3,15scenes_bow_soft_max_1000_unbalanced,svddO,8,0.262671237187
3,15scenes_bow_soft_max_1000_unbalanced,svddO,9,0.232463831653
3,15scenes_bow_soft_max_1000_unbalanced,svddO,10,0.24201547312
3,15scenes_bow_soft_max_1000_unbalanced,svmO,1,0.0246960486322
3,15scenes_bow_soft_max_1000_unbalanced,svmO,2,0.25524557316
3,15scenes_bow_soft_max_1000_unbalanced,svmO,3,0.0340619307832
3,15scenes_bow_soft_max_1000_unbalanced,svmO,4,0.336192716171
3,15scenes_bow_soft_max_1000_unbalanced,svmO,5,0.0196649672251
3,15scenes_bow_soft_max_1000_unbalanced,svmO,6,0.0356598016781
3,15scenes_bow_soft_max_1000_unbalanced,svmO,7,0.563308969462
3,15scenes_bow_soft_max_1000_unbalanced,svmO,8,0.310137664661
3,15scenes_bow_soft_max_1000_unbalanced,svmO,9,0.320331247943
3,15scenes_bow_soft_max_1000_unbalanced,svmO,10,0.0264020393299
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,1,0.454274956452
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,2,0.370541360254
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,3,0.414983053929
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,4,0.545311277455
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,5,0.553696187186
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,6,0.402143053061
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,7,0.517453464345
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,8,0.585192835444
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,9,0.331769580314
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,10,0.27044852125
3,15scenes_bow_soft_max_1000_unbalanced,pisvmO,1,0.520580381824
3,15scenes_bow_soft_max_1000_unbalanced,pisvmO,2,0.234739772971
3,15scenes_bow_soft_max_1000_unbalanced,pisvmO,3,0.424322064432
3,15scenes_bow_soft_max_1000_unbalanced,pisvmO,4,0.243982919255
3,15scenes_bow_soft_max_1000_unbalanced,pisvmO,5,0.243982919255
3,15scenes_bow_soft_max_1000_unbalanced,pisvmO,6,0.516098034247
3,15scenes_bow_soft_max_1000_unbalanced,pisvmO,7,0.599640965207
3,15scenes_bow_soft_max_1000_unbalanced,pisvmO,8,0.541279864786
3,15scenes_bow_soft_max_1000_unbalanced,pisvmO,9,0.232463831653
3,15scenes_bow_soft_max_1000_unbalanced,pisvmO,10,0.338832091415
3,15scenes_bow_soft_max_1000_unbalanced,onevsetO,5,0.0552961968647
3,15scenes_bow_soft_max_1000_unbalanced,onevsetO,1,0.161869940231
3,15scenes_bow_soft_max_1000_unbalanced,onevsetO,2,0.112073954432
3,15scenes_bow_soft_max_1000_unbalanced,onevsetO,8,0.488170245086
3,15scenes_bow_soft_max_1000_unbalanced,onevsetO,10,0.179644565407
3,15scenes_bow_soft_max_1000_unbalanced,onevsetO,3,0.0863387340013
3,15scenes_bow_soft_max_1000_unbalanced,onevsetO,4,0.0412192244946
3,15scenes_bow_soft_max_1000_unbalanced,onevsetO,9,0.245527832144
3,15scenes_bow_soft_max_1000_unbalanced,onevsetO,6,0.217699156562
3,15scenes_bow_soft_max_1000_unbalanced,onevsetO,7,0.232093408086
6,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,1,0.33018037879
