lenacs,dataset,classifier,experiment,result
3,15scenes_bow_soft_max_1000,ocsvmC,10,0.527000575088
3,15scenes_bow_soft_max_1000,ocsvmC,9,0.487868523484
3,15scenes_bow_soft_max_1000,ocsvmC,8,0.541080340793
3,15scenes_bow_soft_max_1000,ocsvmC,7,0.463997557213
3,15scenes_bow_soft_max_1000,ocsvmC,6,0.45898066644
3,15scenes_bow_soft_max_1000,ocsvmC,5,0.600174085531
3,15scenes_bow_soft_max_1000,ocsvmC,4,0.630816157282
3,15scenes_bow_soft_max_1000,ocsvmC,3,0.530390105658
3,15scenes_bow_soft_max_1000,ocsvmC,2,0.50468330363
3,15scenes_bow_soft_max_1000,ocsvmC,1,0.540348890766
3,15scenes_bow_soft_max_1000,ocsvmO,10,0.527000575088
3,15scenes_bow_soft_max_1000,ocsvmO,9,0.487868523484
3,15scenes_bow_soft_max_1000,ocsvmO,8,0.541080340793
3,15scenes_bow_soft_max_1000,ocsvmO,7,0.463997557213
3,15scenes_bow_soft_max_1000,ocsvmO,6,0.45898066644
3,15scenes_bow_soft_max_1000,ocsvmO,5,0.600174085531
3,15scenes_bow_soft_max_1000,ocsvmO,4,0.630217131707
3,15scenes_bow_soft_max_1000,ocsvmO,3,0.530390105658
3,15scenes_bow_soft_max_1000,ocsvmO,2,0.450118821547
3,15scenes_bow_soft_max_1000,ocsvmO,1,0.540348890766
3,15scenes_bow_soft_max_1000,ssvmC,10,0.498510393191
3,15scenes_bow_soft_max_1000,ssvmC,9,0.465230374061
3,15scenes_bow_soft_max_1000,ssvmC,8,0.558237821439
3,15scenes_bow_soft_max_1000,ssvmC,7,0.466741129971
3,15scenes_bow_soft_max_1000,ssvmC,6,0.480784052636
3,15scenes_bow_soft_max_1000,ssvmC,5,0.595159273313
3,15scenes_bow_soft_max_1000,ssvmC,4,0.579347939219
3,15scenes_bow_soft_max_1000,ssvmC,3,0.520577302464
3,15scenes_bow_soft_max_1000,ssvmC,2,0.502772155341
3,15scenes_bow_soft_max_1000,ssvmC,1,0.496825827079
3,15scenes_bow_soft_max_1000,ssvmO,10,0.541693166595
3,15scenes_bow_soft_max_1000,ssvmO,9,0.544423410526
3,15scenes_bow_soft_max_1000,ssvmO,8,0.460207458865
3,15scenes_bow_soft_max_1000,ssvmO,7,0.602600297681
3,15scenes_bow_soft_max_1000,ssvmO,6,0.393587729845
3,15scenes_bow_soft_max_1000,ssvmO,5,0.636761222149
3,15scenes_bow_soft_max_1000,ssvmO,4,0.669759195161
3,15scenes_bow_soft_max_1000,ssvmO,3,0.519132682052
3,15scenes_bow_soft_max_1000,ssvmO,2,0.524147517363
3,15scenes_bow_soft_max_1000,ssvmO,1,0.470709312109
3,15scenes_bow_soft_max_1000,svddC,10,0.450624911925
3,15scenes_bow_soft_max_1000,svddC,9,0.4077984222
3,15scenes_bow_soft_max_1000,svddC,8,0.503827659153
3,15scenes_bow_soft_max_1000,svddC,7,0.47506330764
3,15scenes_bow_soft_max_1000,svddC,6,0.476246241297
3,15scenes_bow_soft_max_1000,svddC,5,0.620869321332
3,15scenes_bow_soft_max_1000,svddC,4,0.65405627367
3,15scenes_bow_soft_max_1000,svddC,3,0.520471330091
3,15scenes_bow_soft_max_1000,svddC,2,0.464263683124
3,15scenes_bow_soft_max_1000,svddC,1,0.538307152145
3,15scenes_bow_soft_max_1000,svddO,10,0.265635956257
3,15scenes_bow_soft_max_1000,svddO,9,0.242318966647
3,15scenes_bow_soft_max_1000,svddO,8,0.256953172394
3,15scenes_bow_soft_max_1000,svddO,7,0.237149832948
3,15scenes_bow_soft_max_1000,svddO,6,0.235883424408
3,15scenes_bow_soft_max_1000,svddO,5,0.236460222856
3,15scenes_bow_soft_max_1000,svddO,4,0.234186447421
3,15scenes_bow_soft_max_1000,svddO,3,0.234379136881
3,15scenes_bow_soft_max_1000,svddO,2,0.24849772571
3,15scenes_bow_soft_max_1000,svddO,1,0.293864086471
3,15scenes_bow_soft_max_1000,svmC,10,0.441444798788
3,15scenes_bow_soft_max_1000,svmC,9,0.441989351114
3,15scenes_bow_soft_max_1000,svmC,8,0.500953726314
3,15scenes_bow_soft_max_1000,svmC,7,0.465032807527
3,15scenes_bow_soft_max_1000,svmC,6,0.470382961744
3,15scenes_bow_soft_max_1000,svmC,5,0.489370532322
3,15scenes_bow_soft_max_1000,svmC,4,0.517102453147
3,15scenes_bow_soft_max_1000,svmC,3,0.501358175434
3,15scenes_bow_soft_max_1000,svmC,2,0.46649706796
3,15scenes_bow_soft_max_1000,svmC,1,0.485916359023
3,15scenes_bow_soft_max_1000,svmO,10,0.342488665195
3,15scenes_bow_soft_max_1000,svmO,9,0.327638261875
3,15scenes_bow_soft_max_1000,svmO,8,0.314340123559
3,15scenes_bow_soft_max_1000,svmO,7,0.443616777551
3,15scenes_bow_soft_max_1000,svmO,6,0.417943582319
3,15scenes_bow_soft_max_1000,svmO,5,0.489370532322
3,15scenes_bow_soft_max_1000,svmO,4,0.517102453147
3,15scenes_bow_soft_max_1000,svmO,3,0.503356559414
3,15scenes_bow_soft_max_1000,svmO,2,0.46649706796
3,15scenes_bow_soft_max_1000,svmO,1,0.457816284036
3,15scenes_bow_soft_max_1000,svmdbcC,10,0.410754362056
3,15scenes_bow_soft_max_1000,svmdbcC,9,0.424284718687
3,15scenes_bow_soft_max_1000,svmdbcC,8,0.47390743802
3,15scenes_bow_soft_max_1000,svmdbcC,7,0.472997313347
3,15scenes_bow_soft_max_1000,svmdbcC,6,0.450879141469
3,15scenes_bow_soft_max_1000,svmdbcC,5,0.509689078055
3,15scenes_bow_soft_max_1000,svmdbcC,4,0.555857282062
3,15scenes_bow_soft_max_1000,svmdbcC,3,0.4940158303
3,15scenes_bow_soft_max_1000,svmdbcC,2,0.466720149448
3,15scenes_bow_soft_max_1000,svmdbcC,1,0.470794025217
3,15scenes_bow_soft_max_1000,svmdbcO,10,0.476259162005
3,15scenes_bow_soft_max_1000,svmdbcO,9,0.396390522701
3,15scenes_bow_soft_max_1000,svmdbcO,8,0.489920374989
3,15scenes_bow_soft_max_1000,svmdbcO,7,0.48817435441
3,15scenes_bow_soft_max_1000,svmdbcO,6,0.358794603742
3,15scenes_bow_soft_max_1000,svmdbcO,5,0.427569733572
3,15scenes_bow_soft_max_1000,svmdbcO,4,0.557622059104
3,15scenes_bow_soft_max_1000,svmdbcO,3,0.552629123026
3,15scenes_bow_soft_max_1000,svmdbcO,2,0.394594295319
3,15scenes_bow_soft_max_1000,svmdbcO,1,0.515593228022
3,15scenes_bow_soft_max_1000,pisvmC,10,0.11614300495
3,15scenes_bow_soft_max_1000,pisvmC,9,0.129652363549
3,15scenes_bow_soft_max_1000,pisvmC,8,0.201640308613
3,15scenes_bow_soft_max_1000,pisvmC,7,0.173711839524
3,15scenes_bow_soft_max_1000,pisvmC,6,0.170337297929
3,15scenes_bow_soft_max_1000,pisvmC,5,0.154505094852
3,15scenes_bow_soft_max_1000,pisvmC,4,0.161808876679
3,15scenes_bow_soft_max_1000,pisvmC,3,0.171766353886
3,15scenes_bow_soft_max_1000,pisvmC,2,0.24987323354
3,15scenes_bow_soft_max_1000,pisvmC,1,0.149001063584
3,15scenes_bow_soft_max_1000,pisvmO,10,0.408186378148
3,15scenes_bow_soft_max_1000,pisvmO,9,0.401923353797
3,15scenes_bow_soft_max_1000,pisvmO,8,0.47097342971
3,15scenes_bow_soft_max_1000,pisvmO,7,0.489335196684
3,15scenes_bow_soft_max_1000,pisvmO,6,0.480282237148
3,15scenes_bow_soft_max_1000,pisvmO,5,0.236460222856
3,15scenes_bow_soft_max_1000,pisvmO,4,0.546480367082
3,15scenes_bow_soft_max_1000,pisvmO,3,0.594665339564
3,15scenes_bow_soft_max_1000,pisvmO,2,0.423564802515
3,15scenes_bow_soft_max_1000,pisvmO,1,0.584330682162
3,15scenes_bow_soft_max_1000,onevsetC,10,0.136435844911
3,15scenes_bow_soft_max_1000,onevsetC,9,0.116797999129
3,15scenes_bow_soft_max_1000,onevsetC,8,0.197205130881
3,15scenes_bow_soft_max_1000,onevsetC,7,0.151952416037
3,15scenes_bow_soft_max_1000,onevsetC,6,0.166309389057
3,15scenes_bow_soft_max_1000,onevsetC,5,0.158088005063
3,15scenes_bow_soft_max_1000,onevsetC,4,0.150515055264
3,15scenes_bow_soft_max_1000,onevsetC,3,0.167927703028
3,15scenes_bow_soft_max_1000,onevsetC,2,0.116426165922
3,15scenes_bow_soft_max_1000,onevsetC,1,0.116855886674
3,15scenes_bow_soft_max_1000,onevsetO,10,0.401046663352
3,15scenes_bow_soft_max_1000,onevsetO,9,0.366163676191
3,15scenes_bow_soft_max_1000,onevsetO,8,0.42435384449
3,15scenes_bow_soft_max_1000,onevsetO,7,0.140859878542
3,15scenes_bow_soft_max_1000,onevsetO,6,0.39944158737
3,15scenes_bow_soft_max_1000,onevsetO,5,0.138432046119
3,15scenes_bow_soft_max_1000,onevsetO,4,0.144831495962
3,15scenes_bow_soft_max_1000,onevsetO,3,0.145479858962
3,15scenes_bow_soft_max_1000,onevsetO,2,0.108285968115
3,15scenes_bow_soft_max_1000,onevsetO,1,0.106836388581
3,15scenes_bow_soft_max_1000,wsvmC,10,0.488293789998
3,15scenes_bow_soft_max_1000,wsvmC,9,0.478401571068
3,15scenes_bow_soft_max_1000,wsvmC,8,0.561981930731
3,15scenes_bow_soft_max_1000,wsvmC,7,0.477897649552
3,15scenes_bow_soft_max_1000,wsvmC,6,0.463397858628
3,15scenes_bow_soft_max_1000,wsvmC,5,0.538014067452
3,15scenes_bow_soft_max_1000,wsvmC,4,0.579397728904
3,15scenes_bow_soft_max_1000,wsvmC,3,0.478127239873
3,15scenes_bow_soft_max_1000,wsvmC,2,0.575740129322
3,15scenes_bow_soft_max_1000,wsvmC,1,0.518910377891
3,15scenes_bow_soft_max_1000,wsvmO,10,0.479092236426
3,15scenes_bow_soft_max_1000,wsvmO,9,0.493524870645
3,15scenes_bow_soft_max_1000,wsvmO,8,0.560540670761
3,15scenes_bow_soft_max_1000,wsvmO,7,0.47845962551
