lenacs,dataset,classifier,experiment,result
3,15scenes_bow_soft_max_1000,ocsvmC,10,0.881907090465
3,15scenes_bow_soft_max_1000,ocsvmC,9,0.818248893261
3,15scenes_bow_soft_max_1000,ocsvmC,8,0.871568627451
3,15scenes_bow_soft_max_1000,ocsvmC,7,0.800537765827
3,15scenes_bow_soft_max_1000,ocsvmC,6,0.767980295567
3,15scenes_bow_soft_max_1000,ocsvmC,5,0.892576204523
3,15scenes_bow_soft_max_1000,ocsvmC,4,0.897730107259
3,15scenes_bow_soft_max_1000,ocsvmC,3,0.845502118116
3,15scenes_bow_soft_max_1000,ocsvmC,2,0.741589468552
3,15scenes_bow_soft_max_1000,ocsvmC,1,0.829173733947
3,15scenes_bow_soft_max_1000,ocsvmO,10,0.881907090465
3,15scenes_bow_soft_max_1000,ocsvmO,9,0.818248893261
3,15scenes_bow_soft_max_1000,ocsvmO,8,0.871568627451
3,15scenes_bow_soft_max_1000,ocsvmO,7,0.800537765827
3,15scenes_bow_soft_max_1000,ocsvmO,6,0.767980295567
3,15scenes_bow_soft_max_1000,ocsvmO,5,0.892576204523
3,15scenes_bow_soft_max_1000,ocsvmO,4,0.897480668496
3,15scenes_bow_soft_max_1000,ocsvmO,3,0.845502118116
3,15scenes_bow_soft_max_1000,ocsvmO,2,0.863725012189
3,15scenes_bow_soft_max_1000,ocsvmO,1,0.829173733947
3,15scenes_bow_soft_max_1000,ssvmC,10,0.401711491443
3,15scenes_bow_soft_max_1000,ssvmC,9,0.562469257255
3,15scenes_bow_soft_max_1000,ssvmC,8,0.440441176471
3,15scenes_bow_soft_max_1000,ssvmC,7,0.230017110731
3,15scenes_bow_soft_max_1000,ssvmC,6,0.342610837438
3,15scenes_bow_soft_max_1000,ssvmC,5,0.660766961652
3,15scenes_bow_soft_max_1000,ssvmC,4,0.594412571714
3,15scenes_bow_soft_max_1000,ssvmC,3,0.37901819088
3,15scenes_bow_soft_max_1000,ssvmC,2,0.362262311068
3,15scenes_bow_soft_max_1000,ssvmC,1,0.377513932639
3,15scenes_bow_soft_max_1000,ssvmO,10,0.749877750611
3,15scenes_bow_soft_max_1000,ssvmO,9,0.873585833743
3,15scenes_bow_soft_max_1000,ssvmO,8,0.900245098039
3,15scenes_bow_soft_max_1000,ssvmO,7,0.741383524811
3,15scenes_bow_soft_max_1000,ssvmO,6,0.680049261084
3,15scenes_bow_soft_max_1000,ssvmO,5,0.697885939036
3,15scenes_bow_soft_max_1000,ssvmO,4,0.827637814916
3,15scenes_bow_soft_max_1000,ssvmO,3,0.508098679292
3,15scenes_bow_soft_max_1000,ssvmO,2,0.836908824963
3,15scenes_bow_soft_max_1000,ssvmO,1,0.923915677247
3,15scenes_bow_soft_max_1000,svddC,10,0.804156479218
3,15scenes_bow_soft_max_1000,svddC,9,0.648057058534
3,15scenes_bow_soft_max_1000,svddC,8,0.785784313725
3,15scenes_bow_soft_max_1000,svddC,7,0.570765094109
3,15scenes_bow_soft_max_1000,svddC,6,0.560591133005
3,15scenes_bow_soft_max_1000,svddC,5,0.822517207473
3,15scenes_bow_soft_max_1000,svddC,4,0.799201795959
3,15scenes_bow_soft_max_1000,svddC,3,0.688512334912
3,15scenes_bow_soft_max_1000,svddC,2,0.608727450024
3,15scenes_bow_soft_max_1000,svddC,1,0.677247395202
3,15scenes_bow_soft_max_1000,svddO,10,0.8902200489
3,15scenes_bow_soft_max_1000,svddO,9,0.853910477127
3,15scenes_bow_soft_max_1000,svddO,8,0.891666666667
3,15scenes_bow_soft_max_1000,svddO,7,0.902224395013
3,15scenes_bow_soft_max_1000,svddO,6,0.893103448276
3,15scenes_bow_soft_max_1000,svddO,5,0.897246804326
3,15scenes_bow_soft_max_1000,svddO,4,0.881017710152
3,15scenes_bow_soft_max_1000,svddO,3,0.882382257663
3,15scenes_bow_soft_max_1000,svddO,2,0.904193076548
3,15scenes_bow_soft_max_1000,svddO,1,0.911315725709
3,15scenes_bow_soft_max_1000,svmC,10,0.261613691932
3,15scenes_bow_soft_max_1000,svmC,9,0.433103787506
3,15scenes_bow_soft_max_1000,svmC,8,0.195343137255
3,15scenes_bow_soft_max_1000,svmC,7,0.211684184796
