lenacs,dataset,classifier,experiment,result
3,15scenes_bow_soft_max_1000,ocsvmC,10,0.556635175561
3,15scenes_bow_soft_max_1000,ocsvmC,9,0.592982072149
3,15scenes_bow_soft_max_1000,ocsvmC,8,0.586152853963
3,15scenes_bow_soft_max_1000,ocsvmC,7,0.559592829408
3,15scenes_bow_soft_max_1000,ocsvmC,6,0.576864816898
3,15scenes_bow_soft_max_1000,ocsvmC,5,0.613358050659
3,15scenes_bow_soft_max_1000,ocsvmC,4,0.611172443876
3,15scenes_bow_soft_max_1000,ocsvmC,3,0.593384418594
3,15scenes_bow_soft_max_1000,ocsvmC,2,0.503211248047
3,15scenes_bow_soft_max_1000,ocsvmC,1,0.554156731618
3,15scenes_bow_soft_max_1000,ocsvmO,10,0.556635175561
3,15scenes_bow_soft_max_1000,ocsvmO,9,0.592982072149
3,15scenes_bow_soft_max_1000,ocsvmO,8,0.586152853963
3,15scenes_bow_soft_max_1000,ocsvmO,7,0.559592829408
3,15scenes_bow_soft_max_1000,ocsvmO,6,0.576864816898
3,15scenes_bow_soft_max_1000,ocsvmO,5,0.613358050659
3,15scenes_bow_soft_max_1000,ocsvmO,4,0.611114861672
3,15scenes_bow_soft_max_1000,ocsvmO,3,0.593384418594
3,15scenes_bow_soft_max_1000,ocsvmO,2,0.336334860009
3,15scenes_bow_soft_max_1000,ocsvmO,1,0.554156731618
3,15scenes_bow_soft_max_1000,ssvmC,10,0.479459334929
3,15scenes_bow_soft_max_1000,ssvmC,9,0.621078030376
3,15scenes_bow_soft_max_1000,ssvmC,8,0.524502126279
3,15scenes_bow_soft_max_1000,ssvmC,7,0.265794734626
3,15scenes_bow_soft_max_1000,ssvmC,6,0.424043008748
3,15scenes_bow_soft_max_1000,ssvmC,5,0.755272407733
3,15scenes_bow_soft_max_1000,ssvmC,4,0.692028318813
3,15scenes_bow_soft_max_1000,ssvmC,3,0.459604620235
3,15scenes_bow_soft_max_1000,ssvmC,2,0.452755279282
3,15scenes_bow_soft_max_1000,ssvmC,1,0.481105466591
3,15scenes_bow_soft_max_1000,ssvmO,10,0.653639867892
3,15scenes_bow_soft_max_1000,ssvmO,9,0.454798884906
3,15scenes_bow_soft_max_1000,ssvmO,8,0.370211197404
3,15scenes_bow_soft_max_1000,ssvmO,7,0.617610978804
3,15scenes_bow_soft_max_1000,ssvmO,6,0.562668336814
3,15scenes_bow_soft_max_1000,ssvmO,5,0.71642339335
