lenacs,dataset,classifier,experiment,result
3,15scenes_bow_soft_max_1000,ocsvmC,10,0.378313253012
3,15scenes_bow_soft_max_1000,ocsvmC,9,0.331010452962
3,15scenes_bow_soft_max_1000,ocsvmC,8,0.388888888889
3,15scenes_bow_soft_max_1000,ocsvmC,7,0.288194444444
3,15scenes_bow_soft_max_1000,ocsvmC,6,0.287867370008
3,15scenes_bow_soft_max_1000,ocsvmC,5,0.46511627907
3,15scenes_bow_soft_max_1000,ocsvmC,4,0.508313539192
3,15scenes_bow_soft_max_1000,ocsvmC,3,0.401923076923
3,15scenes_bow_soft_max_1000,ocsvmC,2,0.206200432588
3,15scenes_bow_soft_max_1000,ocsvmC,1,0.291708291708
3,15scenes_bow_soft_max_1000,ocsvmO,10,0.378313253012
3,15scenes_bow_soft_max_1000,ocsvmO,9,0.331010452962
3,15scenes_bow_soft_max_1000,ocsvmO,8,0.388888888889
3,15scenes_bow_soft_max_1000,ocsvmO,7,0.288194444444
3,15scenes_bow_soft_max_1000,ocsvmO,6,0.287867370008
3,15scenes_bow_soft_max_1000,ocsvmO,5,0.46511627907
3,15scenes_bow_soft_max_1000,ocsvmO,4,0.507710557533
3,15scenes_bow_soft_max_1000,ocsvmO,3,0.401923076923
3,15scenes_bow_soft_max_1000,ocsvmO,2,0.219140083218
3,15scenes_bow_soft_max_1000,ocsvmO,1,0.291708291708
3,15scenes_bow_soft_max_1000,ssvmC,10,0.17680292456
3,15scenes_bow_soft_max_1000,ssvmC,9,0.251032204789
3,15scenes_bow_soft_max_1000,ssvmC,8,0.206349206349
3,15scenes_bow_soft_max_1000,ssvmC,7,0.188717948718
3,15scenes_bow_soft_max_1000,ssvmC,6,0.222802436902
3,15scenes_bow_soft_max_1000,ssvmC,5,0.364473078693
3,15scenes_bow_soft_max_1000,ssvmC,4,0.353591160221
3,15scenes_bow_soft_max_1000,ssvmC,3,0.262459451489
3,15scenes_bow_soft_max_1000,ssvmC,2,0.185356811863
3,15scenes_bow_soft_max_1000,ssvmC,1,0.203463203463
3,15scenes_bow_soft_max_1000,ssvmO,10,0.299401197605
3,15scenes_bow_soft_max_1000,ssvmO,9,0.318987341772
3,15scenes_bow_soft_max_1000,ssvmO,8,0.309484193012
3,15scenes_bow_soft_max_1000,ssvmO,7,0.278911564626
3,15scenes_bow_soft_max_1000,ssvmO,6,0.233568075117
3,15scenes_bow_soft_max_1000,ssvmO,5,0.335316387236
3,15scenes_bow_soft_max_1000,ssvmO,4,0.44391025641
3,15scenes_bow_soft_max_1000,ssvmO,3,0.248385871629
3,15scenes_bow_soft_max_1000,ssvmO,2,0.354623450906
3,15scenes_bow_soft_max_1000,ssvmO,1,0.24154589372
3,15scenes_bow_soft_max_1000,svddC,10,0.279809220986
3,15scenes_bow_soft_max_1000,svddC,9,0.197568389058
3,15scenes_bow_soft_max_1000,svddC,8,0.304034582133
3,15scenes_bow_soft_max_1000,svddC,7,0.232841007819
3,15scenes_bow_soft_max_1000,svddC,6,0.249275362319
3,15scenes_bow_soft_max_1000,svddC,5,0.456799398948
3,15scenes_bow_soft_max_1000,svddC,4,0.464672183323
3,15scenes_bow_soft_max_1000,svddC,3,0.347736625514
3,15scenes_bow_soft_max_1000,svddC,2,0.177990430622
3,15scenes_bow_soft_max_1000,svddC,1,0.251655629139
3,15scenes_bow_soft_max_1000,svddO,10,0.0162271805274
3,15scenes_bow_soft_max_1000,svddO,9,0.0126582278481
3,15scenes_bow_soft_max_1000,svddO,8,0.0254237288136
3,15scenes_bow_soft_max_1000,svddO,7,0.0
3,15scenes_bow_soft_max_1000,svddO,6,0.0
3,15scenes_bow_soft_max_1000,svddO,5,0.0
3,15scenes_bow_soft_max_1000,svddO,4,0.0
3,15scenes_bow_soft_max_1000,svddO,3,0.0
3,15scenes_bow_soft_max_1000,svddO,2,0.005
3,15scenes_bow_soft_max_1000,svddO,1,0.00542005420054
3,15scenes_bow_soft_max_1000,svmC,10,0.158765159868
3,15scenes_bow_soft_max_1000,svmC,9,0.208642808913
3,15scenes_bow_soft_max_1000,svmC,8,0.167380892362
