lenacs,dataset,classifier,experiment,result
3,15scenes_bow_soft_max_1000,ocbbsvmC,10,0.51622328205
3,15scenes_bow_soft_max_1000,ocbbsvmC,9,0.515153138223
3,15scenes_bow_soft_max_1000,ocbbsvmC,8,0.569652014956
3,15scenes_bow_soft_max_1000,ocbbsvmC,7,0.519221218435
3,15scenes_bow_soft_max_1000,ocbbsvmC,6,0.572307050915
3,15scenes_bow_soft_max_1000,ocbbsvmC,5,0.546433198797
3,15scenes_bow_soft_max_1000,ocbbsvmC,4,0.551161776389
3,15scenes_bow_soft_max_1000,ocbbsvmC,3,0.539271918219
3,15scenes_bow_soft_max_1000,ocbbsvmC,2,0.508402215848
3,15scenes_bow_soft_max_1000,ocbbsvmC,1,0.605177616228
3,15scenes_bow_soft_max_1000,ocbbsvmO,10,0.462219237549
3,15scenes_bow_soft_max_1000,ocbbsvmO,9,0.230747782754
3,15scenes_bow_soft_max_1000,ocbbsvmO,8,0.461762147075
3,15scenes_bow_soft_max_1000,ocbbsvmO,7,0.467400097072
3,15scenes_bow_soft_max_1000,ocbbsvmO,6,0.488609362608
3,15scenes_bow_soft_max_1000,ocbbsvmO,5,0.544609939872
3,15scenes_bow_soft_max_1000,ocbbsvmO,4,0.558781098861
3,15scenes_bow_soft_max_1000,ocbbsvmO,3,0.531115090103
3,15scenes_bow_soft_max_1000,ocbbsvmO,2,0.490721854976
3,15scenes_bow_soft_max_1000,ocbbsvmO,1,0.497688874858
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,10,0.571204741306
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,9,0.568704315794
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,8,0.609796856078
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,7,0.512068700963
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,6,0.555429104222
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,5,0.524036318533
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,4,0.538755923936
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,3,0.505784348098
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,2,0.506664752309
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,1,0.600042860204
3,15scenes_bow_soft_max_1000,ssvmO,10,0.653639867892
3,15scenes_bow_soft_max_1000,ssvmO,9,0.454798884906
3,15scenes_bow_soft_max_1000,ssvmO,8,0.370211197404
3,15scenes_bow_soft_max_1000,ssvmO,7,0.617610978804
3,15scenes_bow_soft_max_1000,ssvmO,6,0.562668336814
3,15scenes_bow_soft_max_1000,ssvmO,5,0.71642339335
3,15scenes_bow_soft_max_1000,ssvmO,4,0.693605926253
3,15scenes_bow_soft_max_1000,ssvmO,3,0.569513995883
3,15scenes_bow_soft_max_1000,ssvmO,2,0.62215336214
3,15scenes_bow_soft_max_1000,ssvmO,1,0.244459068535
3,15scenes_bow_soft_max_1000,svddbbC,10,0.700599430412
3,15scenes_bow_soft_max_1000,svddbbC,9,0.67955332899
3,15scenes_bow_soft_max_1000,svddbbC,8,0.74075343037
3,15scenes_bow_soft_max_1000,svddbbC,7,0.496533234723
3,15scenes_bow_soft_max_1000,svddbbC,6,0.571509846714
3,15scenes_bow_soft_max_1000,svddbbC,5,0.54793079999
3,15scenes_bow_soft_max_1000,svddbbC,4,0.441046769884
3,15scenes_bow_soft_max_1000,svddbbC,3,0.517734726076
3,15scenes_bow_soft_max_1000,svddbbC,2,0.686300678167
3,15scenes_bow_soft_max_1000,svddbbC,1,0.694158104324
3,15scenes_bow_soft_max_1000,svddbbO,10,0.634431111242
3,15scenes_bow_soft_max_1000,svddbbO,9,0.385647355975
3,15scenes_bow_soft_max_1000,svddbbO,8,0.646776737732
3,15scenes_bow_soft_max_1000,svddbbO,7,0.553290287873
3,15scenes_bow_soft_max_1000,svddbbO,6,0.653132972826
3,15scenes_bow_soft_max_1000,svddbbO,5,0.54793079999
3,15scenes_bow_soft_max_1000,svddbbO,4,0.441046769884
3,15scenes_bow_soft_max_1000,svddbbO,3,0.533052588934
3,15scenes_bow_soft_max_1000,svddbbO,2,0.686300678167
3,15scenes_bow_soft_max_1000,svddbbO,1,0.66898758807
3,15scenes_bow_soft_max_1000,svddbb_OVO,10,0.719400083427
3,15scenes_bow_soft_max_1000,svddbb_OVO,9,0.589505790887
3,15scenes_bow_soft_max_1000,svddbb_OVO,8,0.740906801709
3,15scenes_bow_soft_max_1000,svddbb_OVO,7,0.371107827386
3,15scenes_bow_soft_max_1000,svddbb_OVO,6,0.453447888621
3,15scenes_bow_soft_max_1000,svddbb_OVO,5,0.36053843976
3,15scenes_bow_soft_max_1000,svddbb_OVO,4,0.20348254439
3,15scenes_bow_soft_max_1000,svddbb_OVO,3,0.407044134635
3,15scenes_bow_soft_max_1000,svddbb_OVO,2,0.672301915496
3,15scenes_bow_soft_max_1000,svddbb_OVO,1,0.626583669962
6,15scenes_bow_soft_max_1000,ocbbsvmC,10,0.345672411324
6,15scenes_bow_soft_max_1000,ocbbsvmC,9,0.497633341425
6,15scenes_bow_soft_max_1000,ocbbsvmC,8,0.531667405166
6,15scenes_bow_soft_max_1000,ocbbsvmC,7,0.430123623878
6,15scenes_bow_soft_max_1000,ocbbsvmC,6,0.434463794684
6,15scenes_bow_soft_max_1000,ocbbsvmC,5,0.519739788511
6,15scenes_bow_soft_max_1000,ocbbsvmC,4,0.518801950718
6,15scenes_bow_soft_max_1000,ocbbsvmC,3,0.506087286804
6,15scenes_bow_soft_max_1000,ocbbsvmC,2,0.515500070136
6,15scenes_bow_soft_max_1000,ocbbsvmC,1,0.522801234521
6,15scenes_bow_soft_max_1000,ocbbsvmO,10,0.160616090001
6,15scenes_bow_soft_max_1000,ocbbsvmO,9,0.244669761807
6,15scenes_bow_soft_max_1000,ocbbsvmO,8,0.271100613434
6,15scenes_bow_soft_max_1000,ocbbsvmO,7,0.252440499232
6,15scenes_bow_soft_max_1000,ocbbsvmO,6,0.287802028252
6,15scenes_bow_soft_max_1000,ocbbsvmO,5,0.380424240745
6,15scenes_bow_soft_max_1000,ocbbsvmO,4,0.219332034259
6,15scenes_bow_soft_max_1000,ocbbsvmO,3,0.402134055697
6,15scenes_bow_soft_max_1000,ocbbsvmO,2,0.360556466523
6,15scenes_bow_soft_max_1000,ocbbsvmO,1,0.280150820446
6,15scenes_bow_soft_max_1000,ocbbsvm_OVO,10,0.481644059648
6,15scenes_bow_soft_max_1000,ocbbsvm_OVO,9,0.533180280951
6,15scenes_bow_soft_max_1000,ocbbsvm_OVO,8,0.520322192973
6,15scenes_bow_soft_max_1000,ocbbsvm_OVO,7,0.457501592021
6,15scenes_bow_soft_max_1000,ocbbsvm_OVO,6,0.483939771809
6,15scenes_bow_soft_max_1000,ocbbsvm_OVO,5,0.539583659747
6,15scenes_bow_soft_max_1000,ocbbsvm_OVO,4,0.443367136584
6,15scenes_bow_soft_max_1000,ocbbsvm_OVO,3,0.523350027008
6,15scenes_bow_soft_max_1000,ocbbsvm_OVO,2,0.503665633739
6,15scenes_bow_soft_max_1000,ocbbsvm_OVO,1,0.527586880082
6,15scenes_bow_soft_max_1000,ssvmO,10,0.473101932345
6,15scenes_bow_soft_max_1000,ssvmO,9,0.470691207827
6,15scenes_bow_soft_max_1000,ssvmO,8,0.546982713035
6,15scenes_bow_soft_max_1000,ssvmO,7,0.501971976913
6,15scenes_bow_soft_max_1000,ssvmO,6,0.375887614108
6,15scenes_bow_soft_max_1000,ssvmO,5,0.622476353002
6,15scenes_bow_soft_max_1000,ssvmO,4,0.578690912744
6,15scenes_bow_soft_max_1000,ssvmO,3,0.565173982596
6,15scenes_bow_soft_max_1000,ssvmO,2,0.615983866192
6,15scenes_bow_soft_max_1000,ssvmO,1,0.510512697444
6,15scenes_bow_soft_max_1000,svddbbC,10,0.565377409129
6,15scenes_bow_soft_max_1000,svddbbC,9,0.655677589147
6,15scenes_bow_soft_max_1000,svddbbC,8,0.681881410282
6,15scenes_bow_soft_max_1000,svddbbC,7,0.655009077253
6,15scenes_bow_soft_max_1000,svddbbC,6,0.59970838856
6,15scenes_bow_soft_max_1000,svddbbC,5,0.653011679464
6,15scenes_bow_soft_max_1000,svddbbC,4,0.670216904629
6,15scenes_bow_soft_max_1000,svddbbC,3,0.671406319392
6,15scenes_bow_soft_max_1000,svddbbC,2,0.66775443741
6,15scenes_bow_soft_max_1000,svddbbC,1,0.612743269069
6,15scenes_bow_soft_max_1000,svddbbO,10,0.455571884297
6,15scenes_bow_soft_max_1000,svddbbO,9,0.442584760899
6,15scenes_bow_soft_max_1000,svddbbO,8,0.543245541178
6,15scenes_bow_soft_max_1000,svddbbO,7,0.554737817251
6,15scenes_bow_soft_max_1000,svddbbO,6,0.497206581031
6,15scenes_bow_soft_max_1000,svddbbO,5,0.57960569364
6,15scenes_bow_soft_max_1000,svddbbO,4,0.464789173126
6,15scenes_bow_soft_max_1000,svddbbO,3,0.586565747881
6,15scenes_bow_soft_max_1000,svddbbO,2,0.605694755587
6,15scenes_bow_soft_max_1000,svddbbO,1,0.3903882684
6,15scenes_bow_soft_max_1000,svddbb_OVO,10,0.452570934469
6,15scenes_bow_soft_max_1000,svddbb_OVO,9,0.412851446091
6,15scenes_bow_soft_max_1000,svddbb_OVO,8,0.399040208056
6,15scenes_bow_soft_max_1000,svddbb_OVO,7,0.135352784347
6,15scenes_bow_soft_max_1000,svddbb_OVO,6,0.264972179001
6,15scenes_bow_soft_max_1000,svddbb_OVO,5,0.318234746998
6,15scenes_bow_soft_max_1000,svddbb_OVO,4,0.161498760409
6,15scenes_bow_soft_max_1000,svddbb_OVO,3,0.410171808348
6,15scenes_bow_soft_max_1000,svddbb_OVO,2,0.301894777017
6,15scenes_bow_soft_max_1000,svddbb_OVO,1,0.246028353953
9,15scenes_bow_soft_max_1000,ocbbsvmC,10,0.326138063689
9,15scenes_bow_soft_max_1000,ocbbsvmC,9,0.385626149184
9,15scenes_bow_soft_max_1000,ocbbsvmC,8,0.440541342252
9,15scenes_bow_soft_max_1000,ocbbsvmC,7,0.328895640855
9,15scenes_bow_soft_max_1000,ocbbsvmC,6,0.441266703685
9,15scenes_bow_soft_max_1000,ocbbsvmC,5,0.433388617854
9,15scenes_bow_soft_max_1000,ocbbsvmC,4,0.38070352615
9,15scenes_bow_soft_max_1000,ocbbsvmC,3,0.457745450187
9,15scenes_bow_soft_max_1000,ocbbsvmC,2,0.386542232854
9,15scenes_bow_soft_max_1000,ocbbsvmC,1,0.46173887507
9,15scenes_bow_soft_max_1000,ocbbsvmO,10,0.0549630240712
9,15scenes_bow_soft_max_1000,ocbbsvmO,9,0.142287519772
9,15scenes_bow_soft_max_1000,ocbbsvmO,8,0.151522073576
9,15scenes_bow_soft_max_1000,ocbbsvmO,7,0.162685212715
9,15scenes_bow_soft_max_1000,ocbbsvmO,6,0.197565979406
9,15scenes_bow_soft_max_1000,ocbbsvmO,5,0.318076343251
9,15scenes_bow_soft_max_1000,ocbbsvmO,4,0.223329442934
9,15scenes_bow_soft_max_1000,ocbbsvmO,3,0.174374557238
9,15scenes_bow_soft_max_1000,ocbbsvmO,2,0.211685945764
9,15scenes_bow_soft_max_1000,ocbbsvmO,1,0.197771360514
9,15scenes_bow_soft_max_1000,ocbbsvm_OVO,10,0.431478156792
9,15scenes_bow_soft_max_1000,ocbbsvm_OVO,9,0.376462794096
9,15scenes_bow_soft_max_1000,ocbbsvm_OVO,8,0.337068761215
9,15scenes_bow_soft_max_1000,ocbbsvm_OVO,7,0.457115216011
9,15scenes_bow_soft_max_1000,ocbbsvm_OVO,6,0.479083367755
9,15scenes_bow_soft_max_1000,ocbbsvm_OVO,5,0.464374267114
9,15scenes_bow_soft_max_1000,ocbbsvm_OVO,4,0.483677848967
9,15scenes_bow_soft_max_1000,ocbbsvm_OVO,3,0.50683931188
9,15scenes_bow_soft_max_1000,ocbbsvm_OVO,2,0.484093539168
9,15scenes_bow_soft_max_1000,ocbbsvm_OVO,1,0.47776523177
9,15scenes_bow_soft_max_1000,ssvmO,10,0.349798694049
9,15scenes_bow_soft_max_1000,ssvmO,9,0.508675122804
9,15scenes_bow_soft_max_1000,ssvmO,8,0.495577041761
