lenacs,dataset,classifier,experiment,result
3,15scenes_bow_soft_max_1000,ocbbsvmC,10,0.647169447589
3,15scenes_bow_soft_max_1000,ocbbsvmC,9,0.621802758405
3,15scenes_bow_soft_max_1000,ocbbsvmC,8,0.665821911806
3,15scenes_bow_soft_max_1000,ocbbsvmC,7,0.571078170063
3,15scenes_bow_soft_max_1000,ocbbsvmC,6,0.621053483292
3,15scenes_bow_soft_max_1000,ocbbsvmC,5,0.580232680081
3,15scenes_bow_soft_max_1000,ocbbsvmC,4,0.606275715768
3,15scenes_bow_soft_max_1000,ocbbsvmC,3,0.563251487419
3,15scenes_bow_soft_max_1000,ocbbsvmC,2,0.610032528677
3,15scenes_bow_soft_max_1000,ocbbsvmC,1,0.668963164369
3,15scenes_bow_soft_max_1000,ocbbsvmO,10,0.627060398243
3,15scenes_bow_soft_max_1000,ocbbsvmO,9,0.550391165792
3,15scenes_bow_soft_max_1000,ocbbsvmO,8,0.618577627698
3,15scenes_bow_soft_max_1000,ocbbsvmO,7,0.557600360848
3,15scenes_bow_soft_max_1000,ocbbsvmO,6,0.614177522453
3,15scenes_bow_soft_max_1000,ocbbsvmO,5,0.57708199515
3,15scenes_bow_soft_max_1000,ocbbsvmO,4,0.611601090717
3,15scenes_bow_soft_max_1000,ocbbsvmO,3,0.558872397915
3,15scenes_bow_soft_max_1000,ocbbsvmO,2,0.61000073373
3,15scenes_bow_soft_max_1000,ocbbsvmO,1,0.643974844608
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,10,0.66231275943
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,9,0.62136261526
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,8,0.676101787999
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,7,0.536704323342
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,6,0.590104377377
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,5,0.541118175264
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,4,0.568737817285
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,3,0.516230273455
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,2,0.58890845501
3,15scenes_bow_soft_max_1000,ocbbsvm_OVO,1,0.651976917481
3,15scenes_bow_soft_max_1000,ssvmO,10,0.668768765074
3,15scenes_bow_soft_max_1000,ssvmO,9,0.619829950631
3,15scenes_bow_soft_max_1000,ssvmO,8,0.601590663257
3,15scenes_bow_soft_max_1000,ssvmO,7,0.641517680185
3,15scenes_bow_soft_max_1000,ssvmO,6,0.586524799741
3,15scenes_bow_soft_max_1000,ssvmO,5,0.717251753294
3,15scenes_bow_soft_max_1000,ssvmO,4,0.720849032862
3,15scenes_bow_soft_max_1000,ssvmO,3,0.588137926661
3,15scenes_bow_soft_max_1000,ssvmO,2,0.678335412234
3,15scenes_bow_soft_max_1000,ssvmO,1,0.568974401055
3,15scenes_bow_soft_max_1000,svddbbC,10,0.716989193505
3,15scenes_bow_soft_max_1000,svddbbC,9,0.679652848523
3,15scenes_bow_soft_max_1000,svddbbC,8,0.741917411806
3,15scenes_bow_soft_max_1000,svddbbC,7,0.591407990596
3,15scenes_bow_soft_max_1000,svddbbC,6,0.628042721903
3,15scenes_bow_soft_max_1000,svddbbC,5,0.643843481681
3,15scenes_bow_soft_max_1000,svddbbC,4,0.571639113846
3,15scenes_bow_soft_max_1000,svddbbC,3,0.599946630034
3,15scenes_bow_soft_max_1000,svddbbC,2,0.694032333015
3,15scenes_bow_soft_max_1000,svddbbC,1,0.707575965911
3,15scenes_bow_soft_max_1000,svddbbO,10,0.672393261254
3,15scenes_bow_soft_max_1000,svddbbO,9,0.559492464018
3,15scenes_bow_soft_max_1000,svddbbO,8,0.666012558607
3,15scenes_bow_soft_max_1000,svddbbO,7,0.579291562444
3,15scenes_bow_soft_max_1000,svddbbO,6,0.668536289344
3,15scenes_bow_soft_max_1000,svddbbO,5,0.643843481681
3,15scenes_bow_soft_max_1000,svddbbO,4,0.571639113846
3,15scenes_bow_soft_max_1000,svddbbO,3,0.602556792345
