lenacs,dataset,classifier,experiment,result
3,cifar10_local4_train_eval,ocsvmC,10,0.71831997849
3,cifar10_local4_train_eval,ocsvmC,9,0.714611904075
3,cifar10_local4_train_eval,ocsvmC,8,0.727557741915
3,cifar10_local4_train_eval,ocsvmC,7,0.684118991597
3,cifar10_local4_train_eval,ocsvmC,6,0.674504361479
3,cifar10_local4_train_eval,ocsvmC,5,0.690222396339
3,cifar10_local4_train_eval,ocsvmC,4,0.676779452122
3,cifar10_local4_train_eval,ocsvmC,3,0.688036954256
3,cifar10_local4_train_eval,ocsvmC,2,0.652915089626
3,cifar10_local4_train_eval,ocsvmC,1,0.731273630966
3,cifar10_local4_train_eval,ocsvmO,10,0.71831997849
3,cifar10_local4_train_eval,ocsvmO,9,0.714611904075
3,cifar10_local4_train_eval,ocsvmO,8,0.727557741915
3,cifar10_local4_train_eval,ocsvmO,7,0.68731998498
3,cifar10_local4_train_eval,ocsvmO,6,0.678731730243
3,cifar10_local4_train_eval,ocsvmO,5,0.690222396339
3,cifar10_local4_train_eval,ocsvmO,4,0.678531005021
3,cifar10_local4_train_eval,ocsvmO,3,0.688036954256
3,cifar10_local4_train_eval,ocsvmO,2,0.658355522165
3,cifar10_local4_train_eval,ocsvmO,1,0.731273630966
3,cifar10_local4_train_eval,ssvmC,10,0.832108779655
3,cifar10_local4_train_eval,ssvmC,9,0.765428900247
3,cifar10_local4_train_eval,ssvmC,8,0.796191297984
3,cifar10_local4_train_eval,ssvmC,7,0.72896093979
3,cifar10_local4_train_eval,ssvmC,6,0.706066628641
3,cifar10_local4_train_eval,ssvmC,5,0.825533215429
3,cifar10_local4_train_eval,ssvmC,4,0.731980236689
3,cifar10_local4_train_eval,ssvmC,3,0.73933610893
3,cifar10_local4_train_eval,ssvmC,2,0.719159417429
3,cifar10_local4_train_eval,ssvmC,1,0.75148160391
3,cifar10_local4_train_eval,ssvmO,10,0.818226622237
3,cifar10_local4_train_eval,ssvmO,9,0.792861759221
3,cifar10_local4_train_eval,ssvmO,8,0.434697532047
3,cifar10_local4_train_eval,ssvmO,7,0.826908572533
3,cifar10_local4_train_eval,ssvmO,6,0.536996931348
3,cifar10_local4_train_eval,ssvmO,5,0.528638905575
3,cifar10_local4_train_eval,ssvmO,4,0.425851369665
3,cifar10_local4_train_eval,ssvmO,3,0.41563493832
3,cifar10_local4_train_eval,ssvmO,2,0.582471325039
3,cifar10_local4_train_eval,ssvmO,1,0.825351741274
3,cifar10_local4_train_eval,svddC,10,0.767255478953
3,cifar10_local4_train_eval,svddC,9,0.810532447376
3,cifar10_local4_train_eval,svddC,8,0.738323495768
3,cifar10_local4_train_eval,svddC,7,0.712221279676
3,cifar10_local4_train_eval,svddC,6,0.557452436985
3,cifar10_local4_train_eval,svddC,5,0.743148672914
3,cifar10_local4_train_eval,svddC,4,0.774218277981
3,cifar10_local4_train_eval,svddC,3,0.734858201305
3,cifar10_local4_train_eval,svddC,2,0.541514729849
3,cifar10_local4_train_eval,svddC,1,0.757305764467
3,cifar10_local4_train_eval,svddO,10,0.241495404081
3,cifar10_local4_train_eval,svddO,9,0.205958549223
3,cifar10_local4_train_eval,svddO,8,0.238867603268
3,cifar10_local4_train_eval,svddO,7,0.2224223162
3,cifar10_local4_train_eval,svddO,6,0.310082477187
3,cifar10_local4_train_eval,svddO,5,0.277839480627
3,cifar10_local4_train_eval,svddO,4,0.205882352941
3,cifar10_local4_train_eval,svddO,3,0.224354116199
3,cifar10_local4_train_eval,svddO,2,0.205882352941
3,cifar10_local4_train_eval,svddO,1,0.237355441286
3,cifar10_local4_train_eval,svmC,10,0.819948428048
3,cifar10_local4_train_eval,svmC,9,0.765428900247
3,cifar10_local4_train_eval,svmC,8,0.751957823113
3,cifar10_local4_train_eval,svmC,7,0.72896093979
3,cifar10_local4_train_eval,svmC,6,0.691103281157
3,cifar10_local4_train_eval,svmC,5,0.819959475669
3,cifar10_local4_train_eval,svmC,4,0.673842813729
3,cifar10_local4_train_eval,svmC,3,0.73933610893
3,cifar10_local4_train_eval,svmC,2,0.719159417429
3,cifar10_local4_train_eval,svmC,1,0.740884791106
3,cifar10_local4_train_eval,svmO,10,0.771783343318
3,cifar10_local4_train_eval,svmO,9,0.695328377142
3,cifar10_local4_train_eval,svmO,8,0.702549643558
3,cifar10_local4_train_eval,svmO,7,0.714197851443
3,cifar10_local4_train_eval,svmO,6,0.70340607493
3,cifar10_local4_train_eval,svmO,5,0.778907687408
3,cifar10_local4_train_eval,svmO,4,0.691376851855
3,cifar10_local4_train_eval,svmO,3,0.695654798894
3,cifar10_local4_train_eval,svmO,2,0.681409745068
3,cifar10_local4_train_eval,svmO,1,0.673350394515
3,cifar10_local4_train_eval,svmdbcC,10,0.724879987202
3,cifar10_local4_train_eval,svmdbcC,9,0.654237031095
3,cifar10_local4_train_eval,svmdbcC,8,0.623882378779
3,cifar10_local4_train_eval,svmdbcC,7,0.651936042438
3,cifar10_local4_train_eval,svmdbcC,6,0.683666331739
3,cifar10_local4_train_eval,svmdbcC,5,0.644810911333
3,cifar10_local4_train_eval,svmdbcC,4,0.641100302683
3,cifar10_local4_train_eval,svmdbcC,3,0.636048191851
3,cifar10_local4_train_eval,svmdbcC,2,0.612106104344
3,cifar10_local4_train_eval,svmdbcC,1,0.695236083123
3,cifar10_local4_train_eval,svmdbcO,10,0.868532842102
3,cifar10_local4_train_eval,svmdbcO,9,0.65835965286
3,cifar10_local4_train_eval,svmdbcO,8,0.716897433465
3,cifar10_local4_train_eval,svmdbcO,7,0.351196718264
3,cifar10_local4_train_eval,svmdbcO,6,0.567100202522
3,cifar10_local4_train_eval,svmdbcO,5,0.734575106162
3,cifar10_local4_train_eval,svmdbcO,4,0.691849421621
3,cifar10_local4_train_eval,svmdbcO,3,0.594549537731
3,cifar10_local4_train_eval,svmdbcO,2,0.559684713582
