lenacs,dataset,classifier,experiment,result
3,cifar10_local4_train_eval,ocsvmC,10,0.8301
3,cifar10_local4_train_eval,ocsvmC,9,0.8291
3,cifar10_local4_train_eval,ocsvmC,8,0.8369
3,cifar10_local4_train_eval,ocsvmC,7,0.8106
3,cifar10_local4_train_eval,ocsvmC,6,0.8117
3,cifar10_local4_train_eval,ocsvmC,5,0.8187
3,cifar10_local4_train_eval,ocsvmC,4,0.809
3,cifar10_local4_train_eval,ocsvmC,3,0.8153
3,cifar10_local4_train_eval,ocsvmC,2,0.8015
3,cifar10_local4_train_eval,ocsvmC,1,0.8372
3,cifar10_local4_train_eval,ocsvmO,10,0.8301
3,cifar10_local4_train_eval,ocsvmO,9,0.8291
3,cifar10_local4_train_eval,ocsvmO,8,0.8369
3,cifar10_local4_train_eval,ocsvmO,7,0.8131
3,cifar10_local4_train_eval,ocsvmO,6,0.8143
3,cifar10_local4_train_eval,ocsvmO,5,0.8187
3,cifar10_local4_train_eval,ocsvmO,4,0.8102
3,cifar10_local4_train_eval,ocsvmO,3,0.8153
3,cifar10_local4_train_eval,ocsvmO,2,0.8046
3,cifar10_local4_train_eval,ocsvmO,1,0.8372
3,cifar10_local4_train_eval,ssvmC,10,0.8471
3,cifar10_local4_train_eval,ssvmC,9,0.7263
3,cifar10_local4_train_eval,ssvmC,8,0.8042
3,cifar10_local4_train_eval,ssvmC,7,0.5668
3,cifar10_local4_train_eval,ssvmC,6,0.4309
3,cifar10_local4_train_eval,ssvmC,5,0.8573
3,cifar10_local4_train_eval,ssvmC,4,0.7133
3,cifar10_local4_train_eval,ssvmC,3,0.7149
3,cifar10_local4_train_eval,ssvmC,2,0.6936
3,cifar10_local4_train_eval,ssvmC,1,0.6371
3,cifar10_local4_train_eval,ssvmO,10,0.884
3,cifar10_local4_train_eval,ssvmO,9,0.8618
3,cifar10_local4_train_eval,ssvmO,8,0.7747
3,cifar10_local4_train_eval,ssvmO,7,0.8815
3,cifar10_local4_train_eval,ssvmO,6,0.7771
3,cifar10_local4_train_eval,ssvmO,5,0.7716
3,cifar10_local4_train_eval,ssvmO,4,0.7675
3,cifar10_local4_train_eval,ssvmO,3,0.7593
3,cifar10_local4_train_eval,ssvmO,2,0.7984
3,cifar10_local4_train_eval,ssvmO,1,0.8435
3,cifar10_local4_train_eval,svddC,10,0.8384
3,cifar10_local4_train_eval,svddC,9,0.8285
3,cifar10_local4_train_eval,svddC,8,0.8297
3,cifar10_local4_train_eval,svddC,7,0.8259
3,cifar10_local4_train_eval,svddC,6,0.6687
3,cifar10_local4_train_eval,svddC,5,0.7976
3,cifar10_local4_train_eval,svddC,4,0.8238
3,cifar10_local4_train_eval,svddC,3,0.7724
3,cifar10_local4_train_eval,svddC,2,0.6449
3,cifar10_local4_train_eval,svddC,1,0.81
3,cifar10_local4_train_eval,svddO,10,0.697
3,cifar10_local4_train_eval,svddO,9,0.6996
3,cifar10_local4_train_eval,svddO,8,0.6967
3,cifar10_local4_train_eval,svddO,7,0.6985
3,cifar10_local4_train_eval,svddO,6,0.7012
3,cifar10_local4_train_eval,svddO,5,0.6987
3,cifar10_local4_train_eval,svddO,4,0.7
3,cifar10_local4_train_eval,svddO,3,0.6876
3,cifar10_local4_train_eval,svddO,2,0.7
3,cifar10_local4_train_eval,svddO,1,0.6976
3,cifar10_local4_train_eval,svmC,10,0.8342
3,cifar10_local4_train_eval,svmC,9,0.7263
3,cifar10_local4_train_eval,svmC,8,0.7187
3,cifar10_local4_train_eval,svmC,7,0.5668
3,cifar10_local4_train_eval,svmC,6,0.4167
3,cifar10_local4_train_eval,svmC,5,0.8505
3,cifar10_local4_train_eval,svmC,4,0.62
3,cifar10_local4_train_eval,svmC,3,0.7149
3,cifar10_local4_train_eval,svmC,2,0.6936
3,cifar10_local4_train_eval,svmC,1,0.6218
3,cifar10_local4_train_eval,svmO,10,0.8226
3,cifar10_local4_train_eval,svmO,9,0.4676
3,cifar10_local4_train_eval,svmO,8,0.6601
3,cifar10_local4_train_eval,svmO,7,0.5695
3,cifar10_local4_train_eval,svmO,6,0.6426
3,cifar10_local4_train_eval,svmO,5,0.8164
3,cifar10_local4_train_eval,svmO,4,0.6843
3,cifar10_local4_train_eval,svmO,3,0.6437
3,cifar10_local4_train_eval,svmO,2,0.6676
3,cifar10_local4_train_eval,svmO,1,0.5332
3,cifar10_local4_train_eval,svmdbcC,10,0.6791
3,cifar10_local4_train_eval,svmdbcC,9,0.3278
3,cifar10_local4_train_eval,svmdbcC,8,0.3354
3,cifar10_local4_train_eval,svmdbcC,7,0.3292
3,cifar10_local4_train_eval,svmdbcC,6,0.4044
3,cifar10_local4_train_eval,svmdbcC,5,0.3262
3,cifar10_local4_train_eval,svmdbcC,4,0.5191
