lenacs,dataset,classifier,experiment,result
3,cifar10_local4_train_eval,ocsvmC,10,0.634026941103
3,cifar10_local4_train_eval,ocsvmC,9,0.62249252993
3,cifar10_local4_train_eval,ocsvmC,8,0.645411040161
3,cifar10_local4_train_eval,ocsvmC,7,0.606713822675
3,cifar10_local4_train_eval,ocsvmC,6,0.60095051916
3,cifar10_local4_train_eval,ocsvmC,5,0.601077000639
3,cifar10_local4_train_eval,ocsvmC,4,0.599631996743
3,cifar10_local4_train_eval,ocsvmC,3,0.621054804128
3,cifar10_local4_train_eval,ocsvmC,2,0.578977552498
3,cifar10_local4_train_eval,ocsvmC,1,0.649571216041
3,cifar10_local4_train_eval,ocsvmO,10,0.634026941103
3,cifar10_local4_train_eval,ocsvmO,9,0.62249252993
3,cifar10_local4_train_eval,ocsvmO,8,0.645411040161
3,cifar10_local4_train_eval,ocsvmO,7,0.60741252147
3,cifar10_local4_train_eval,ocsvmO,6,0.603697098372
3,cifar10_local4_train_eval,ocsvmO,5,0.601077000639
3,cifar10_local4_train_eval,ocsvmO,4,0.598500372957
3,cifar10_local4_train_eval,ocsvmO,3,0.621054804128
3,cifar10_local4_train_eval,ocsvmO,2,0.577335696098
3,cifar10_local4_train_eval,ocsvmO,1,0.649571216041
3,cifar10_local4_train_eval,ssvmC,10,0.869017074698
3,cifar10_local4_train_eval,ssvmC,9,0.757938057617
3,cifar10_local4_train_eval,ssvmC,8,0.830072064915
3,cifar10_local4_train_eval,ssvmC,7,0.563590328467
3,cifar10_local4_train_eval,ssvmC,6,0.376950211186
3,cifar10_local4_train_eval,ssvmC,5,0.869672361479
3,cifar10_local4_train_eval,ssvmC,4,0.744032601649
3,cifar10_local4_train_eval,ssvmC,3,0.745690748329
3,cifar10_local4_train_eval,ssvmC,2,0.723373712324
3,cifar10_local4_train_eval,ssvmC,1,0.659703757464
3,cifar10_local4_train_eval,ssvmO,10,0.769828244275
3,cifar10_local4_train_eval,ssvmO,9,0.760118883632
3,cifar10_local4_train_eval,ssvmO,8,0.478666469523
3,cifar10_local4_train_eval,ssvmO,7,0.855664828618
3,cifar10_local4_train_eval,ssvmO,6,0.415028914843
3,cifar10_local4_train_eval,ssvmO,5,0.386631032893
3,cifar10_local4_train_eval,ssvmO,4,0.468355911284
3,cifar10_local4_train_eval,ssvmO,3,0.334640943194
3,cifar10_local4_train_eval,ssvmO,2,0.599850910834
3,cifar10_local4_train_eval,ssvmO,1,0.862037575991
3,cifar10_local4_train_eval,svddC,10,0.756208003411
3,cifar10_local4_train_eval,svddC,9,0.826714627192
3,cifar10_local4_train_eval,svddC,8,0.694022450472
3,cifar10_local4_train_eval,svddC,7,0.698252155378
3,cifar10_local4_train_eval,svddC,6,0.601629544673
3,cifar10_local4_train_eval,svddC,5,0.755949190535
3,cifar10_local4_train_eval,svddC,4,0.822705330787
3,cifar10_local4_train_eval,svddC,3,0.775805818093
3,cifar10_local4_train_eval,svddC,2,0.544477436713
3,cifar10_local4_train_eval,svddC,1,0.751194185613
3,cifar10_local4_train_eval,svddO,10,0.00399197477787
3,cifar10_local4_train_eval,svddO,9,0.0
3,cifar10_local4_train_eval,svddO,8,0.00531906559022
3,cifar10_local4_train_eval,svddO,7,0.00399199199199
3,cifar10_local4_train_eval,svddO,6,0.0119283683911
3,cifar10_local4_train_eval,svddO,5,0.0112691996766
3,cifar10_local4_train_eval,svddO,4,0.0
3,cifar10_local4_train_eval,svddO,3,0.00994924593968
3,cifar10_local4_train_eval,svddO,2,0.0
3,cifar10_local4_train_eval,svddO,1,0.00133244172717
3,cifar10_local4_train_eval,svmC,10,0.859996709985
3,cifar10_local4_train_eval,svmC,9,0.757938057617
3,cifar10_local4_train_eval,svmC,8,0.750005286665
3,cifar10_local4_train_eval,svmC,7,0.563590328467
3,cifar10_local4_train_eval,svmC,6,0.346292158134
3,cifar10_local4_train_eval,svmC,5,0.865345667152
3,cifar10_local4_train_eval,svmC,4,0.639419209571
3,cifar10_local4_train_eval,svmC,3,0.745690748329
3,cifar10_local4_train_eval,svmC,2,0.723373712324
3,cifar10_local4_train_eval,svmC,1,0.638050880106
3,cifar10_local4_train_eval,svmO,10,0.795296027161
3,cifar10_local4_train_eval,svmO,9,0.452188591385
3,cifar10_local4_train_eval,svmO,8,0.687483271
3,cifar10_local4_train_eval,svmO,7,0.591624976729
3,cifar10_local4_train_eval,svmO,6,0.661784822766
3,cifar10_local4_train_eval,svmO,5,0.809683950617
3,cifar10_local4_train_eval,svmO,4,0.713305858377
3,cifar10_local4_train_eval,svmO,3,0.67055986195
3,cifar10_local4_train_eval,svmO,2,0.688613552361
3,cifar10_local4_train_eval,svmO,1,0.538771051434
3,cifar10_local4_train_eval,svmdbcC,10,0.705431273999
3,cifar10_local4_train_eval,svmdbcC,9,0.0976918069376
3,cifar10_local4_train_eval,svmdbcC,8,0.126998053212
3,cifar10_local4_train_eval,svmdbcC,7,0.110411138105
3,cifar10_local4_train_eval,svmdbcC,6,0.315440669106
3,cifar10_local4_train_eval,svmdbcC,5,0.117839992408
3,cifar10_local4_train_eval,svmdbcC,4,0.500431075072
3,cifar10_local4_train_eval,svmdbcC,3,0.451332591939
3,cifar10_local4_train_eval,svmdbcC,2,0.211968453969
3,cifar10_local4_train_eval,svmdbcC,1,0.539805489641
3,cifar10_local4_train_eval,svmdbcO,10,0.893965834708
3,cifar10_local4_train_eval,svmdbcO,9,0.11123858854
3,cifar10_local4_train_eval,svmdbcO,8,0.715172221114
3,cifar10_local4_train_eval,svmdbcO,7,0.0409314001298
3,cifar10_local4_train_eval,svmdbcO,6,0.58382688728
3,cifar10_local4_train_eval,svmdbcO,5,0.709624972577
3,cifar10_local4_train_eval,svmdbcO,4,0.686748346947
3,cifar10_local4_train_eval,svmdbcO,3,0.130620767494
3,cifar10_local4_train_eval,svmdbcO,2,0.612946587433
3,cifar10_local4_train_eval,svmdbcO,1,0.608489323004
3,cifar10_local4_train_eval,pisvmC,10,0.0
3,cifar10_local4_train_eval,pisvmC,9,0.0
3,cifar10_local4_train_eval,pisvmC,8,0.0
3,cifar10_local4_train_eval,pisvmC,7,0.0
3,cifar10_local4_train_eval,pisvmC,6,0.0
3,cifar10_local4_train_eval,pisvmC,5,0.0
3,cifar10_local4_train_eval,pisvmC,4,0.0
3,cifar10_local4_train_eval,pisvmC,3,0.0
3,cifar10_local4_train_eval,pisvmC,2,0.0
3,cifar10_local4_train_eval,pisvmC,1,0.0
3,cifar10_local4_train_eval,pisvmO,10,0.904984717363
3,cifar10_local4_train_eval,pisvmO,9,0.772825906449
3,cifar10_local4_train_eval,pisvmO,8,0.86445491435
3,cifar10_local4_train_eval,pisvmO,7,0.338632192343
