lenacs,dataset,classifier,experiment,result
3,cifar10_local4_train_eval,ocsvmC,10,0.622432149768
3,cifar10_local4_train_eval,ocsvmC,9,0.61325549433
3,cifar10_local4_train_eval,ocsvmC,8,0.634062902864
3,cifar10_local4_train_eval,ocsvmC,7,0.584173049878
3,cifar10_local4_train_eval,ocsvmC,6,0.571336593067
3,cifar10_local4_train_eval,ocsvmC,5,0.583586106747
3,cifar10_local4_train_eval,ocsvmC,4,0.574266885047
3,cifar10_local4_train_eval,ocsvmC,3,0.592852109285
3,cifar10_local4_train_eval,ocsvmC,2,0.544399831341
3,cifar10_local4_train_eval,ocsvmC,1,0.639762381461
3,cifar10_local4_train_eval,ocsvmO,10,0.622432149768
3,cifar10_local4_train_eval,ocsvmO,9,0.61325549433
3,cifar10_local4_train_eval,ocsvmO,8,0.634062902864
3,cifar10_local4_train_eval,ocsvmO,7,0.586543671435
3,cifar10_local4_train_eval,ocsvmO,6,0.575688180673
3,cifar10_local4_train_eval,ocsvmO,5,0.583586106747
3,cifar10_local4_train_eval,ocsvmO,4,0.574885004066
3,cifar10_local4_train_eval,ocsvmO,3,0.592852109285
3,cifar10_local4_train_eval,ocsvmO,2,0.547542897064
3,cifar10_local4_train_eval,ocsvmO,1,0.639762381461
3,cifar10_local4_train_eval,ssvmC,10,0.802186434979
3,cifar10_local4_train_eval,ssvmC,9,0.721780436239
3,cifar10_local4_train_eval,ssvmC,8,0.758709379955
3,cifar10_local4_train_eval,ssvmC,7,0.698281982126
3,cifar10_local4_train_eval,ssvmC,6,0.732893745804
3,cifar10_local4_train_eval,ssvmC,5,0.792508458779
3,cifar10_local4_train_eval,ssvmC,4,0.679539127291
3,cifar10_local4_train_eval,ssvmC,3,0.690041224042
3,cifar10_local4_train_eval,ssvmC,2,0.667305562577
3,cifar10_local4_train_eval,ssvmC,1,0.728504869585
3,cifar10_local4_train_eval,ssvmO,10,0.764761587191
3,cifar10_local4_train_eval,ssvmO,9,0.742205568738
3,cifar10_local4_train_eval,ssvmO,8,0.293321021853
3,cifar10_local4_train_eval,ssvmO,7,0.796419558347
3,cifar10_local4_train_eval,ssvmO,6,0.372783850585
3,cifar10_local4_train_eval,ssvmO,5,0.352277170522
3,cifar10_local4_train_eval,ssvmO,4,0.283272283272
3,cifar10_local4_train_eval,ssvmO,3,0.249225046497
3,cifar10_local4_train_eval,ssvmO,2,0.479700142658
3,cifar10_local4_train_eval,ssvmO,1,0.795847567591
3,cifar10_local4_train_eval,svddC,10,0.719937291826
3,cifar10_local4_train_eval,svddC,9,0.782414405678
3,cifar10_local4_train_eval,svddC,8,0.668062743704
3,cifar10_local4_train_eval,svddC,7,0.641360456283
3,cifar10_local4_train_eval,svddC,6,0.450483238799
3,cifar10_local4_train_eval,svddC,5,0.697225972634
3,cifar10_local4_train_eval,svddC,4,0.734542142596
3,cifar10_local4_train_eval,svddC,3,0.688374506803
3,cifar10_local4_train_eval,svddC,2,0.438873330137
3,cifar10_local4_train_eval,svddC,1,0.713213579732
3,cifar10_local4_train_eval,svddO,10,0.00389990250244
3,cifar10_local4_train_eval,svddO,9,0.0
3,cifar10_local4_train_eval,svddO,8,0.00513914899177
3,cifar10_local4_train_eval,svddO,7,0.00376647834275
3,cifar10_local4_train_eval,svddO,6,0.0117610274664
3,cifar10_local4_train_eval,svddO,5,0.0109805716611
3,cifar10_local4_train_eval,svddO,4,0.0
3,cifar10_local4_train_eval,svddO,3,0.0088573959256
3,cifar10_local4_train_eval,svddO,2,0.0
3,cifar10_local4_train_eval,svddO,1,0.00132045885945
3,cifar10_local4_train_eval,svmC,10,0.784821936043
3,cifar10_local4_train_eval,svmC,9,0.721780436239
3,cifar10_local4_train_eval,svmC,8,0.703124495802
3,cifar10_local4_train_eval,svmC,7,0.698281982126
3,cifar10_local4_train_eval,svmC,6,0.705260326536
3,cifar10_local4_train_eval,svmC,5,0.78520831567
3,cifar10_local4_train_eval,svmC,4,0.597932538209
3,cifar10_local4_train_eval,svmC,3,0.690041224042
3,cifar10_local4_train_eval,svmC,2,0.667305562577
3,cifar10_local4_train_eval,svmC,1,0.707145016958
3,cifar10_local4_train_eval,svmO,10,0.738107807982
3,cifar10_local4_train_eval,svmO,9,0.72477286965
3,cifar10_local4_train_eval,svmO,8,0.671184498054
3,cifar10_local4_train_eval,svmO,7,0.72113753277
