lenacs,dataset,classifier,experiment,result
3,cifar10_local4_train_eval,ocsvmC,10,0.622281402574
3,cifar10_local4_train_eval,ocsvmC,9,0.613651723361
3,cifar10_local4_train_eval,ocsvmC,8,0.634135570766
3,cifar10_local4_train_eval,ocsvmC,7,0.580758273066
3,cifar10_local4_train_eval,ocsvmC,6,0.569183762549
3,cifar10_local4_train_eval,ocsvmC,5,0.584026996625
3,cifar10_local4_train_eval,ocsvmC,4,0.572056239016
3,cifar10_local4_train_eval,ocsvmC,3,0.592736705577
3,cifar10_local4_train_eval,ocsvmC,2,0.543540250055
3,cifar10_local4_train_eval,ocsvmC,1,0.639770723104
3,cifar10_local4_train_eval,ocsvmO,10,0.622281402574
3,cifar10_local4_train_eval,ocsvmO,9,0.613651723361
3,cifar10_local4_train_eval,ocsvmO,8,0.634135570766
3,cifar10_local4_train_eval,ocsvmO,7,0.584215167549
3,cifar10_local4_train_eval,ocsvmO,6,0.574496056091
3,cifar10_local4_train_eval,ocsvmO,5,0.584026996625
3,cifar10_local4_train_eval,ocsvmO,4,0.573006406008
3,cifar10_local4_train_eval,ocsvmO,3,0.592736705577
3,cifar10_local4_train_eval,ocsvmO,2,0.547354379724
3,cifar10_local4_train_eval,ocsvmO,1,0.639770723104
3,cifar10_local4_train_eval,ssvmC,10,0.783536585366
3,cifar10_local4_train_eval,ssvmC,9,0.673538713834
3,cifar10_local4_train_eval,ssvmC,8,0.732349841939
3,cifar10_local4_train_eval,ssvmC,7,0.566052605655
3,cifar10_local4_train_eval,ssvmC,6,0.472874493927
3,cifar10_local4_train_eval,ssvmC,5,0.779899497487
3,cifar10_local4_train_eval,ssvmC,4,0.649799006857
3,cifar10_local4_train_eval,ssvmC,3,0.650443000591
3,cifar10_local4_train_eval,ssvmC,2,0.621946944022
3,cifar10_local4_train_eval,ssvmC,1,0.603253258645
3,cifar10_local4_train_eval,ssvmO,10,0.764705882353
3,cifar10_local4_train_eval,ssvmO,9,0.728924980665
3,cifar10_local4_train_eval,ssvmO,8,0.457513202112
3,cifar10_local4_train_eval,ssvmO,7,0.79676140119
3,cifar10_local4_train_eval,ssvmO,6,0.411087866109
3,cifar10_local4_train_eval,ssvmO,5,0.386351423966
3,cifar10_local4_train_eval,ssvmO,4,0.443594646272
3,cifar10_local4_train_eval,ssvmO,3,0.333794630501
3,cifar10_local4_train_eval,ssvmO,2,0.556591776176
3,cifar10_local4_train_eval,ssvmO,1,0.774971941639
3,cifar10_local4_train_eval,svddC,10,0.694002890173
3,cifar10_local4_train_eval,svddC,9,0.717986030268
3,cifar10_local4_train_eval,svddC,8,0.62760865403
3,cifar10_local4_train_eval,svddC,7,0.623220973783
3,cifar10_local4_train_eval,svddC,6,0.392884764114
3,cifar10_local4_train_eval,svddC,5,0.626491281738
3,cifar10_local4_train_eval,svddC,4,0.72267920094
3,cifar10_local4_train_eval,svddC,3,0.646969905181
3,cifar10_local4_train_eval,svddC,2,0.334581128179
3,cifar10_local4_train_eval,svddC,1,0.639041761088
3,cifar10_local4_train_eval,svddO,10,0.00393829996718
3,cifar10_local4_train_eval,svddO,9,0.0
3,cifar10_local4_train_eval,svddO,8,0.00520156046814
3,cifar10_local4_train_eval,svddO,7,0.00391261819367
3,cifar10_local4_train_eval,svddO,6,0.0117916803144
3,cifar10_local4_train_eval,svddO,5,0.0110641067361
3,cifar10_local4_train_eval,svddO,4,0.0
3,cifar10_local4_train_eval,svddO,3,0.00934288383681
3,cifar10_local4_train_eval,svddO,2,0.0
3,cifar10_local4_train_eval,svddO,1,0.0013170892328
3,cifar10_local4_train_eval,svmC,10,0.771844660194
3,cifar10_local4_train_eval,svmC,9,0.673538713834
