lenacs,dataset,classifier,experiment,result
3,cifar10_local4_train_eval,ocsvmC,10,0.726452380952
3,cifar10_local4_train_eval,ocsvmC,9,0.721928571429
3,cifar10_local4_train_eval,ocsvmC,8,0.734547619048
3,cifar10_local4_train_eval,ocsvmC,7,0.70519047619
3,cifar10_local4_train_eval,ocsvmC,6,0.703976190476
3,cifar10_local4_train_eval,ocsvmC,5,0.708404761905
3,cifar10_local4_train_eval,ocsvmC,4,0.701857142857
3,cifar10_local4_train_eval,ocsvmC,3,0.712928571429
3,cifar10_local4_train_eval,ocsvmC,2,0.6905
3,cifar10_local4_train_eval,ocsvmC,1,0.73619047619
3,cifar10_local4_train_eval,ocsvmO,10,0.726452380952
3,cifar10_local4_train_eval,ocsvmO,9,0.721928571429
3,cifar10_local4_train_eval,ocsvmO,8,0.734547619048
3,cifar10_local4_train_eval,ocsvmO,7,0.706976190476
3,cifar10_local4_train_eval,ocsvmO,6,0.7065
3,cifar10_local4_train_eval,ocsvmO,5,0.708404761905
3,cifar10_local4_train_eval,ocsvmO,4,0.702238095238
3,cifar10_local4_train_eval,ocsvmO,3,0.712928571429
3,cifar10_local4_train_eval,ocsvmO,2,0.691952380952
3,cifar10_local4_train_eval,ocsvmO,1,0.73619047619
3,cifar10_local4_train_eval,ssvmC,10,0.87430952381
3,cifar10_local4_train_eval,ssvmC,9,0.792595238095
3,cifar10_local4_train_eval,ssvmC,8,0.83919047619
3,cifar10_local4_train_eval,ssvmC,7,0.678476190476
3,cifar10_local4_train_eval,ssvmC,6,0.558071428571
3,cifar10_local4_train_eval,ssvmC,5,0.871023809524
3,cifar10_local4_train_eval,ssvmC,4,0.771214285714
3,cifar10_local4_train_eval,ssvmC,3,0.772833333333
3,cifar10_local4_train_eval,ssvmC,2,0.748857142857
3,cifar10_local4_train_eval,ssvmC,1,0.721738095238
3,cifar10_local4_train_eval,ssvmO,10,0.810952380952
3,cifar10_local4_train_eval,ssvmO,9,0.795095238095
3,cifar10_local4_train_eval,ssvmO,8,0.644119047619
3,cifar10_local4_train_eval,ssvmO,7,0.859261904762
3,cifar10_local4_train_eval,ssvmO,6,0.629928571429
3,cifar10_local4_train_eval,ssvmO,5,0.619619047619
3,cifar10_local4_train_eval,ssvmO,4,0.636595238095
3,cifar10_local4_train_eval,ssvmO,3,0.599785714286
3,cifar10_local4_train_eval,ssvmO,2,0.695333333333
3,cifar10_local4_train_eval,ssvmO,1,0.865547619048
3,cifar10_local4_train_eval,svddC,10,0.78180952381
3,cifar10_local4_train_eval,svddC,9,0.826738095238
3,cifar10_local4_train_eval,svddC,8,0.748738095238
3,cifar10_local4_train_eval,svddC,7,0.748404761905
3,cifar10_local4_train_eval,svddC,6,0.622785714286
3,cifar10_local4_train_eval,svddC,5,0.764761904762
3,cifar10_local4_train_eval,svddC,4,0.822714285714
3,cifar10_local4_train_eval,svddC,3,0.775904761905
3,cifar10_local4_train_eval,svddC,2,0.584071428571
3,cifar10_local4_train_eval,svddC,1,0.766571428571
3,cifar10_local4_train_eval,svddO,10,0.498428571429
3,cifar10_local4_train_eval,svddO,9,0.499714285714
3,cifar10_local4_train_eval,svddO,8,0.498404761905
3,cifar10_local4_train_eval,svddO,7,0.4995
3,cifar10_local4_train_eval,svddO,6,0.502571428571
3,cifar10_local4_train_eval,svddO,5,0.50069047619
3,cifar10_local4_train_eval,svddO,4,0.5
3,cifar10_local4_train_eval,svddO,3,0.492571428571
3,cifar10_local4_train_eval,svddO,2,0.5
3,cifar10_local4_train_eval,svddO,1,0.498476190476
3,cifar10_local4_train_eval,svmC,10,0.868428571429
3,cifar10_local4_train_eval,svmC,9,0.792595238095
3,cifar10_local4_train_eval,svmC,8,0.783642857143
3,cifar10_local4_train_eval,svmC,7,0.678476190476
3,cifar10_local4_train_eval,svmC,6,0.551071428571
3,cifar10_local4_train_eval,svmC,5,0.867404761905
3,cifar10_local4_train_eval,svmC,4,0.708476190476
3,cifar10_local4_train_eval,svmC,3,0.772833333333
3,cifar10_local4_train_eval,svmC,2,0.748857142857
3,cifar10_local4_train_eval,svmC,1,0.716904761905
3,cifar10_local4_train_eval,svmO,10,0.799476190476
3,cifar10_local4_train_eval,svmO,9,0.572666666667
3,cifar10_local4_train_eval,svmO,8,0.706642857143
3,cifar10_local4_train_eval,svmO,7,0.639452380952
3,cifar10_local4_train_eval,svmO,6,0.667666666667
3,cifar10_local4_train_eval,svmO,5,0.81
3,cifar10_local4_train_eval,svmO,4,0.736023809524
3,cifar10_local4_train_eval,svmO,3,0.689880952381
3,cifar10_local4_train_eval,svmO,2,0.695714285714
3,cifar10_local4_train_eval,svmO,1,0.627714285714
3,cifar10_local4_train_eval,svmdbcC,10,0.76269047619
3,cifar10_local4_train_eval,svmdbcC,9,0.512047619048
3,cifar10_local4_train_eval,svmdbcC,8,0.513666666667
3,cifar10_local4_train_eval,svmdbcC,7,0.509619047619
3,cifar10_local4_train_eval,svmdbcC,6,0.546571428571
3,cifar10_local4_train_eval,svmdbcC,5,0.501761904762
3,cifar10_local4_train_eval,svmdbcC,4,0.637166666667
