lenacs,dataset,classifier,experiment,result
3,imagenet_googlenet_openset_images_07102017,ocsvmC,9,0.218333026292
3,imagenet_googlenet_openset_images_07102017,ocsvmC,10,0.480027370582
3,imagenet_googlenet_openset_images_07102017,ocsvmC,8,0.138116167066
3,imagenet_googlenet_openset_images_07102017,ocsvmC,7,0.161375898097
3,imagenet_googlenet_openset_images_07102017,ocsvmC,6,0.12912598363
3,imagenet_googlenet_openset_images_07102017,ocsvmC,5,0.0975919151512
3,imagenet_googlenet_openset_images_07102017,ocsvmC,4,0.0771271416164
3,imagenet_googlenet_openset_images_07102017,ocsvmC,3,0.0470089743927
3,imagenet_googlenet_openset_images_07102017,ocsvmC,1,0.0671158249335
3,imagenet_googlenet_openset_images_07102017,ocsvmC,2,0.156991341422
3,imagenet_googlenet_openset_images_07102017,ocsvmO,10,0.997815617022
3,imagenet_googlenet_openset_images_07102017,ocsvmO,9,0.507313735295
3,imagenet_googlenet_openset_images_07102017,ocsvmO,8,0.409795510172
3,imagenet_googlenet_openset_images_07102017,ocsvmO,7,0.676411295629
3,imagenet_googlenet_openset_images_07102017,ocsvmO,6,0.997631391952
3,imagenet_googlenet_openset_images_07102017,ocsvmO,5,0.175777035029
3,imagenet_googlenet_openset_images_07102017,ocsvmO,4,0.998294602205
3,imagenet_googlenet_openset_images_07102017,ocsvmO,3,0.171245098297
3,imagenet_googlenet_openset_images_07102017,ocsvmO,2,0.998005105666
3,imagenet_googlenet_openset_images_07102017,ocsvmO,1,0.998252493618
3,imagenet_googlenet_openset_images_07102017,ssvmC,10,0.999778929916
3,imagenet_googlenet_openset_images_07102017,ssvmC,9,0.999199936837
3,imagenet_googlenet_openset_images_07102017,ssvmC,8,0.999778929916
3,imagenet_googlenet_openset_images_07102017,ssvmC,7,0.999778929916
3,imagenet_googlenet_openset_images_07102017,ssvmC,4,0.999778929916
3,imagenet_googlenet_openset_images_07102017,ssvmC,5,0.999778929916
3,imagenet_googlenet_openset_images_07102017,ssvmC,6,0.999778929916
3,imagenet_googlenet_openset_images_07102017,ssvmC,3,0.999778929916
3,imagenet_googlenet_openset_images_07102017,ssvmC,2,0.999778929916
3,imagenet_googlenet_openset_images_07102017,ssvmC,1,0.999778929916
3,imagenet_googlenet_openset_images_07102017,ssvmO,2,0.999905255678
3,imagenet_googlenet_openset_images_07102017,ssvmO,10,0.999905255678
3,imagenet_googlenet_openset_images_07102017,ssvmO,4,0.999905255678
3,imagenet_googlenet_openset_images_07102017,ssvmO,6,0.999905255678
3,imagenet_googlenet_openset_images_07102017,ssvmO,8,0.999905255678
3,imagenet_googlenet_openset_images_07102017,ssvmO,1,0.999905255678
3,imagenet_googlenet_openset_images_07102017,ssvmO,9,0.9993262626
3,imagenet_googlenet_openset_images_07102017,ssvmO,3,0.999905255678
3,imagenet_googlenet_openset_images_07102017,ssvmO,5,0.999905255678
3,imagenet_googlenet_openset_images_07102017,ssvmO,7,0.999905255678
3,imagenet_googlenet_openset_images_07102017,svddC,10,0.132994710109
3,imagenet_googlenet_openset_images_07102017,svddC,9,0.0444140326868
3,imagenet_googlenet_openset_images_07102017,svddC,7,0.0161170618733
3,imagenet_googlenet_openset_images_07102017,svddC,8,0.0463405005658
3,imagenet_googlenet_openset_images_07102017,svddC,6,0.0801536963444
3,imagenet_googlenet_openset_images_07102017,svddC,5,0.0359291523015
3,imagenet_googlenet_openset_images_07102017,svddC,4,0.0237650340816
3,imagenet_googlenet_openset_images_07102017,svddC,3,0.0323551859357
3,imagenet_googlenet_openset_images_07102017,svddC,2,0.0281811721978
3,imagenet_googlenet_openset_images_07102017,svddC,1,0.0189436008106
3,imagenet_googlenet_openset_images_07102017,svddO,10,0.995815459115
3,imagenet_googlenet_openset_images_07102017,svddO,9,0.995815459115
3,imagenet_googlenet_openset_images_07102017,svddO,8,0.995815459115
3,imagenet_googlenet_openset_images_07102017,svddO,7,0.995815459115
3,imagenet_googlenet_openset_images_07102017,svddO,6,0.995815459115
3,imagenet_googlenet_openset_images_07102017,svddO,5,0.995815459115
3,imagenet_googlenet_openset_images_07102017,svddO,4,0.995815459115
3,imagenet_googlenet_openset_images_07102017,svddO,3,0.995815459115
3,imagenet_googlenet_openset_images_07102017,svddO,2,0.995815459115
3,imagenet_googlenet_openset_images_07102017,svddO,1,0.995815459115
3,imagenet_googlenet_openset_images_07102017,svmC,10,1.0
3,imagenet_googlenet_openset_images_07102017,svmC,9,0.999421006922
3,imagenet_googlenet_openset_images_07102017,svmC,8,1.0
3,imagenet_googlenet_openset_images_07102017,svmC,7,1.0
3,imagenet_googlenet_openset_images_07102017,svmC,6,1.0
3,imagenet_googlenet_openset_images_07102017,svmC,5,1.0
3,imagenet_googlenet_openset_images_07102017,svmC,4,1.0
3,imagenet_googlenet_openset_images_07102017,svmC,3,1.0
3,imagenet_googlenet_openset_images_07102017,svmC,2,1.0
3,imagenet_googlenet_openset_images_07102017,svmC,1,1.0
3,imagenet_googlenet_openset_images_07102017,svmO,10,0.448624891439
3,imagenet_googlenet_openset_images_07102017,svmO,9,0.67863252362
3,imagenet_googlenet_openset_images_07102017,svmO,8,0.68239597863
3,imagenet_googlenet_openset_images_07102017,svmO,7,0.390751901466
3,imagenet_googlenet_openset_images_07102017,svmO,6,0.306787377951
3,imagenet_googlenet_openset_images_07102017,svmO,4,0.65346211543
3,imagenet_googlenet_openset_images_07102017,svmO,5,0.26299444693
3,imagenet_googlenet_openset_images_07102017,svmO,3,0.266894754849
3,imagenet_googlenet_openset_images_07102017,svmO,2,0.72614153749
3,imagenet_googlenet_openset_images_07102017,svmO,1,0.799426270495
3,imagenet_googlenet_openset_images_07102017,svmdbcC,10,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcC,9,0.999421006922
3,imagenet_googlenet_openset_images_07102017,svmdbcC,8,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcC,7,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcC,6,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcC,5,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcC,4,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcC,3,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcC,2,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcC,1,1.0
