lenacs,dataset,classifier,experiment,result
3,imagenet_googlenet_openset_images_07102017,ocsvmC,9,0.228149244638
3,imagenet_googlenet_openset_images_07102017,ocsvmC,10,0.226899554136
3,imagenet_googlenet_openset_images_07102017,ocsvmC,8,0.14968639855
3,imagenet_googlenet_openset_images_07102017,ocsvmC,7,0.178524393456
3,imagenet_googlenet_openset_images_07102017,ocsvmC,6,0.16787780751
3,imagenet_googlenet_openset_images_07102017,ocsvmC,5,0.138194219094
3,imagenet_googlenet_openset_images_07102017,ocsvmC,4,0.0928410034052
3,imagenet_googlenet_openset_images_07102017,ocsvmC,3,0.080117247982
3,imagenet_googlenet_openset_images_07102017,ocsvmC,1,0.107801713462
3,imagenet_googlenet_openset_images_07102017,ocsvmC,2,0.21776395287
3,imagenet_googlenet_openset_images_07102017,ocsvmO,10,0.646808510638
3,imagenet_googlenet_openset_images_07102017,ocsvmO,9,0.399790511718
3,imagenet_googlenet_openset_images_07102017,ocsvmO,8,0.421479064709
3,imagenet_googlenet_openset_images_07102017,ocsvmO,7,0.512853154191
3,imagenet_googlenet_openset_images_07102017,ocsvmO,6,0.605263157895
3,imagenet_googlenet_openset_images_07102017,ocsvmO,5,0.22659145526
3,imagenet_googlenet_openset_images_07102017,ocsvmO,4,0.744075829384
3,imagenet_googlenet_openset_images_07102017,ocsvmO,3,0.251416862195
3,imagenet_googlenet_openset_images_07102017,ocsvmO,2,0.687035507845
3,imagenet_googlenet_openset_images_07102017,ocsvmO,1,0.736089030207
3,imagenet_googlenet_openset_images_07102017,ssvmC,10,0.972868217054
3,imagenet_googlenet_openset_images_07102017,ssvmC,9,0.972592982952
3,imagenet_googlenet_openset_images_07102017,ssvmC,8,0.972868217054
3,imagenet_googlenet_openset_images_07102017,ssvmC,7,0.972868217054
3,imagenet_googlenet_openset_images_07102017,ssvmC,4,0.972868217054
3,imagenet_googlenet_openset_images_07102017,ssvmC,5,0.972868217054
3,imagenet_googlenet_openset_images_07102017,ssvmC,6,0.972868217054
3,imagenet_googlenet_openset_images_07102017,ssvmC,3,0.972868217054
3,imagenet_googlenet_openset_images_07102017,ssvmC,2,0.972868217054
3,imagenet_googlenet_openset_images_07102017,ssvmC,1,0.972868217054
3,imagenet_googlenet_openset_images_07102017,ssvmO,2,0.988549618321
3,imagenet_googlenet_openset_images_07102017,ssvmO,10,0.988549618321
3,imagenet_googlenet_openset_images_07102017,ssvmO,4,0.988549618321
3,imagenet_googlenet_openset_images_07102017,ssvmO,6,0.988549618321
3,imagenet_googlenet_openset_images_07102017,ssvmO,8,0.988549618321
3,imagenet_googlenet_openset_images_07102017,ssvmO,1,0.988549618321
3,imagenet_googlenet_openset_images_07102017,ssvmO,9,0.988265441156
3,imagenet_googlenet_openset_images_07102017,ssvmO,3,0.988549618321
3,imagenet_googlenet_openset_images_07102017,ssvmO,5,0.988549618321
3,imagenet_googlenet_openset_images_07102017,ssvmO,7,0.988549618321
3,imagenet_googlenet_openset_images_07102017,svddC,10,0.217823209758
3,imagenet_googlenet_openset_images_07102017,svddC,9,0.0786673519132
3,imagenet_googlenet_openset_images_07102017,svddC,7,0.0258498861531
3,imagenet_googlenet_openset_images_07102017,svddC,8,0.0815437051658
3,imagenet_googlenet_openset_images_07102017,svddC,6,0.141504496077
3,imagenet_googlenet_openset_images_07102017,svddC,5,0.0622164398486
3,imagenet_googlenet_openset_images_07102017,svddC,4,0.0390242851893
3,imagenet_googlenet_openset_images_07102017,svddC,3,0.0555564211019
3,imagenet_googlenet_openset_images_07102017,svddC,2,0.0490920409966
3,imagenet_googlenet_openset_images_07102017,svddC,1,0.0297503376673
3,imagenet_googlenet_openset_images_07102017,svddO,10,0.0
3,imagenet_googlenet_openset_images_07102017,svddO,9,0.0
3,imagenet_googlenet_openset_images_07102017,svddO,8,0.0
3,imagenet_googlenet_openset_images_07102017,svddO,7,0.0
3,imagenet_googlenet_openset_images_07102017,svddO,6,0.0
3,imagenet_googlenet_openset_images_07102017,svddO,5,0.0
3,imagenet_googlenet_openset_images_07102017,svddO,4,0.0
3,imagenet_googlenet_openset_images_07102017,svddO,3,0.0
3,imagenet_googlenet_openset_images_07102017,svddO,2,0.0
3,imagenet_googlenet_openset_images_07102017,svddO,1,0.0
3,imagenet_googlenet_openset_images_07102017,svmC,10,1.0
3,imagenet_googlenet_openset_images_07102017,svmC,9,0.999709202422
3,imagenet_googlenet_openset_images_07102017,svmC,8,1.0
3,imagenet_googlenet_openset_images_07102017,svmC,7,1.0
3,imagenet_googlenet_openset_images_07102017,svmC,6,1.0
3,imagenet_googlenet_openset_images_07102017,svmC,5,1.0
3,imagenet_googlenet_openset_images_07102017,svmC,4,1.0
3,imagenet_googlenet_openset_images_07102017,svmC,3,1.0
3,imagenet_googlenet_openset_images_07102017,svmC,2,1.0
3,imagenet_googlenet_openset_images_07102017,svmC,1,1.0
3,imagenet_googlenet_openset_images_07102017,svmO,10,0.614083787508
3,imagenet_googlenet_openset_images_07102017,svmO,9,0.801427314651
3,imagenet_googlenet_openset_images_07102017,svmO,8,0.810275437052
3,imagenet_googlenet_openset_images_07102017,svmO,7,0.557735214001
3,imagenet_googlenet_openset_images_07102017,svmO,6,0.466109940003
3,imagenet_googlenet_openset_images_07102017,svmO,4,0.786619717056
3,imagenet_googlenet_openset_images_07102017,svmO,5,0.412569223024
3,imagenet_googlenet_openset_images_07102017,svmO,3,0.416552621178
3,imagenet_googlenet_openset_images_07102017,svmO,2,0.83657932236
3,imagenet_googlenet_openset_images_07102017,svmO,1,0.874962596881
3,imagenet_googlenet_openset_images_07102017,svmdbcC,10,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcC,9,0.999709202422
3,imagenet_googlenet_openset_images_07102017,svmdbcC,8,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcC,7,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcC,6,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcC,5,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcC,4,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcC,3,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcC,2,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcC,1,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcO,10,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcO,9,0.999709202422
3,imagenet_googlenet_openset_images_07102017,svmdbcO,8,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcO,7,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcO,5,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcO,6,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcO,4,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcO,3,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcO,2,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcO,1,1.0
3,imagenet_googlenet_openset_images_07102017,pisvmC,10,0.0
3,imagenet_googlenet_openset_images_07102017,pisvmC,9,0.0
3,imagenet_googlenet_openset_images_07102017,pisvmC,8,0.0
3,imagenet_googlenet_openset_images_07102017,pisvmC,7,0.0
3,imagenet_googlenet_openset_images_07102017,pisvmC,5,0.0
3,imagenet_googlenet_openset_images_07102017,pisvmC,6,0.0
3,imagenet_googlenet_openset_images_07102017,pisvmC,4,0.0
3,imagenet_googlenet_openset_images_07102017,pisvmC,3,0.0
3,imagenet_googlenet_openset_images_07102017,pisvmC,2,0.0
3,imagenet_googlenet_openset_images_07102017,pisvmC,1,0.0
3,imagenet_googlenet_openset_images_07102017,pisvmO,10,0.97946084724
3,imagenet_googlenet_openset_images_07102017,pisvmO,9,0.988265441156
3,imagenet_googlenet_openset_images_07102017,pisvmO,8,0.988549618321
3,imagenet_googlenet_openset_images_07102017,pisvmO,7,0.97880539499
3,imagenet_googlenet_openset_images_07102017,pisvmO,6,0.980115458627
3,imagenet_googlenet_openset_images_07102017,pisvmO,5,0.975515463918
3,imagenet_googlenet_openset_images_07102017,pisvmO,4,0.974193548387
3,imagenet_googlenet_openset_images_07102017,pisvmO,2,0.988549618321
3,imagenet_googlenet_openset_images_07102017,pisvmO,3,0.978149100257
3,imagenet_googlenet_openset_images_07102017,pisvmO,1,0.97946084724
3,imagenet_googlenet_openset_images_07102017,onevsetC,10,0.00295499902603
3,imagenet_googlenet_openset_images_07102017,onevsetC,9,0.00073971128378
3,imagenet_googlenet_openset_images_07102017,onevsetC,8,0.00105656544656
3,imagenet_googlenet_openset_images_07102017,onevsetC,7,0.0
3,imagenet_googlenet_openset_images_07102017,onevsetC,6,0.000317090769983
3,imagenet_googlenet_openset_images_07102017,onevsetC,5,0.00126772926568
3,imagenet_googlenet_openset_images_07102017,onevsetC,4,0.0
3,imagenet_googlenet_openset_images_07102017,onevsetC,3,0.0
3,imagenet_googlenet_openset_images_07102017,onevsetC,2,0.0
3,imagenet_googlenet_openset_images_07102017,onevsetC,1,0.0
3,imagenet_googlenet_openset_images_07102017,onevsetO,10,0.00348151882989
3,imagenet_googlenet_openset_images_07102017,onevsetO,9,0.000845322448075
