lenacs,dataset,classifier,experiment,result
3,imagenet_googlenet_openset_images_07102017,ocsvmC,9,0.00254836870871
3,imagenet_googlenet_openset_images_07102017,ocsvmC,10,0.00237701945933
3,imagenet_googlenet_openset_images_07102017,ocsvmC,8,0.00158236514902
3,imagenet_googlenet_openset_images_07102017,ocsvmC,7,0.00198841964409
3,imagenet_googlenet_openset_images_07102017,ocsvmC,6,0.00231147067322
3,imagenet_googlenet_openset_images_07102017,ocsvmC,5,0.00221923999744
3,imagenet_googlenet_openset_images_07102017,ocsvmC,4,0.00105720862819
3,imagenet_googlenet_openset_images_07102017,ocsvmC,3,0.00276244614055
3,imagenet_googlenet_openset_images_07102017,ocsvmC,1,0.0025969353914
3,imagenet_googlenet_openset_images_07102017,ocsvmC,2,0.00355542295237
3,imagenet_googlenet_openset_images_07102017,ocsvmO,10,0.646808510638
3,imagenet_googlenet_openset_images_07102017,ocsvmO,9,0.00556422753868
3,imagenet_googlenet_openset_images_07102017,ocsvmO,8,0.00611214456551
3,imagenet_googlenet_openset_images_07102017,ocsvmO,7,0.0105496767553
3,imagenet_googlenet_openset_images_07102017,ocsvmO,6,0.605263157895
3,imagenet_googlenet_openset_images_07102017,ocsvmO,5,0.00324406844348
3,imagenet_googlenet_openset_images_07102017,ocsvmO,4,0.744075829384
3,imagenet_googlenet_openset_images_07102017,ocsvmO,3,0.00485237532618
3,imagenet_googlenet_openset_images_07102017,ocsvmO,2,0.687035507845
3,imagenet_googlenet_openset_images_07102017,ocsvmO,1,0.736089030207
3,imagenet_googlenet_openset_images_07102017,ssvmC,10,0.972868217054
3,imagenet_googlenet_openset_images_07102017,ssvmC,9,0.908323281062
3,imagenet_googlenet_openset_images_07102017,ssvmC,8,0.972868217054
3,imagenet_googlenet_openset_images_07102017,ssvmC,7,0.972868217054
3,imagenet_googlenet_openset_images_07102017,ssvmC,4,0.972868217054
3,imagenet_googlenet_openset_images_07102017,ssvmC,5,0.972868217054
3,imagenet_googlenet_openset_images_07102017,ssvmC,6,0.972868217054
3,imagenet_googlenet_openset_images_07102017,ssvmC,3,0.972868217054
3,imagenet_googlenet_openset_images_07102017,ssvmC,2,0.972868217054
3,imagenet_googlenet_openset_images_07102017,ssvmC,1,0.972868217054
3,imagenet_googlenet_openset_images_07102017,ssvmO,2,0.988549618321
3,imagenet_googlenet_openset_images_07102017,ssvmO,10,0.988549618321
3,imagenet_googlenet_openset_images_07102017,ssvmO,4,0.988549618321
3,imagenet_googlenet_openset_images_07102017,ssvmO,6,0.988549618321
3,imagenet_googlenet_openset_images_07102017,ssvmO,8,0.988549618321
3,imagenet_googlenet_openset_images_07102017,ssvmO,1,0.988549618321
3,imagenet_googlenet_openset_images_07102017,ssvmO,9,0.923900118906
3,imagenet_googlenet_openset_images_07102017,ssvmO,3,0.988549618321
3,imagenet_googlenet_openset_images_07102017,ssvmO,5,0.988549618321
3,imagenet_googlenet_openset_images_07102017,ssvmO,7,0.988549618321
3,imagenet_googlenet_openset_images_07102017,svddC,10,0.00622966622485
3,imagenet_googlenet_openset_images_07102017,svddC,9,0.00577652084963
3,imagenet_googlenet_openset_images_07102017,svddC,7,0.0060763796675
3,imagenet_googlenet_openset_images_07102017,svddC,8,0.00803696566223
3,imagenet_googlenet_openset_images_07102017,svddC,6,0.00837494325919
3,imagenet_googlenet_openset_images_07102017,svddC,5,0.00797265897926
3,imagenet_googlenet_openset_images_07102017,svddC,4,0.00796906505217
3,imagenet_googlenet_openset_images_07102017,svddC,3,0.00784665033297
3,imagenet_googlenet_openset_images_07102017,svddC,2,0.00574663165598
3,imagenet_googlenet_openset_images_07102017,svddC,1,0.00786710029754
3,imagenet_googlenet_openset_images_07102017,svddO,10,0.0
3,imagenet_googlenet_openset_images_07102017,svddO,9,0.0
3,imagenet_googlenet_openset_images_07102017,svddO,8,0.0
3,imagenet_googlenet_openset_images_07102017,svddO,7,0.0
3,imagenet_googlenet_openset_images_07102017,svddO,6,0.0
3,imagenet_googlenet_openset_images_07102017,svddO,5,0.0
3,imagenet_googlenet_openset_images_07102017,svddO,4,0.0
3,imagenet_googlenet_openset_images_07102017,svddO,3,0.0
3,imagenet_googlenet_openset_images_07102017,svddO,2,0.0
3,imagenet_googlenet_openset_images_07102017,svddO,1,0.0
3,imagenet_googlenet_openset_images_07102017,svmC,10,1.0
3,imagenet_googlenet_openset_images_07102017,svmC,9,0.935294117647
3,imagenet_googlenet_openset_images_07102017,svmC,8,1.0
3,imagenet_googlenet_openset_images_07102017,svmC,7,1.0
3,imagenet_googlenet_openset_images_07102017,svmC,6,1.0
3,imagenet_googlenet_openset_images_07102017,svmC,5,1.0
3,imagenet_googlenet_openset_images_07102017,svmC,4,1.0
3,imagenet_googlenet_openset_images_07102017,svmC,3,1.0
3,imagenet_googlenet_openset_images_07102017,svmC,2,1.0
3,imagenet_googlenet_openset_images_07102017,svmC,1,1.0
3,imagenet_googlenet_openset_images_07102017,svmO,10,0.0147107235908
3,imagenet_googlenet_openset_images_07102017,svmO,9,0.0249141579494
3,imagenet_googlenet_openset_images_07102017,svmO,8,0.0256741482319
3,imagenet_googlenet_openset_images_07102017,svmO,7,0.0134160685975
3,imagenet_googlenet_openset_images_07102017,svmO,6,0.011928876885
3,imagenet_googlenet_openset_images_07102017,svmO,4,0.0233782801537
3,imagenet_googlenet_openset_images_07102017,svmO,5,0.01122802062
3,imagenet_googlenet_openset_images_07102017,svmO,3,0.0111607301333
3,imagenet_googlenet_openset_images_07102017,svmO,2,0.0293278110483
3,imagenet_googlenet_openset_images_07102017,svmO,1,0.038795277974
3,imagenet_googlenet_openset_images_07102017,svmdbcC,10,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcC,9,0.935294117647
3,imagenet_googlenet_openset_images_07102017,svmdbcC,8,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcC,7,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcC,6,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcC,5,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcC,4,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcC,3,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcC,2,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcC,1,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcO,10,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcO,9,0.935294117647
3,imagenet_googlenet_openset_images_07102017,svmdbcO,8,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcO,7,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcO,5,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcO,6,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcO,4,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcO,3,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcO,2,1.0
3,imagenet_googlenet_openset_images_07102017,svmdbcO,1,1.0
3,imagenet_googlenet_openset_images_07102017,pisvmC,10,0.00833420693993
3,imagenet_googlenet_openset_images_07102017,pisvmC,9,0.00833420693993
3,imagenet_googlenet_openset_images_07102017,pisvmC,8,0.00833420693993
3,imagenet_googlenet_openset_images_07102017,pisvmC,7,0.00833420693993
3,imagenet_googlenet_openset_images_07102017,pisvmC,5,0.00833420693993
3,imagenet_googlenet_openset_images_07102017,pisvmC,6,0.00833420693993
3,imagenet_googlenet_openset_images_07102017,pisvmC,4,0.00833420693993
3,imagenet_googlenet_openset_images_07102017,pisvmC,3,0.00833420693993
3,imagenet_googlenet_openset_images_07102017,pisvmC,2,0.0082398574274
3,imagenet_googlenet_openset_images_07102017,pisvmC,1,0.00833420693993
3,imagenet_googlenet_openset_images_07102017,pisvmO,10,0.97946084724
3,imagenet_googlenet_openset_images_07102017,pisvmO,9,0.923900118906
3,imagenet_googlenet_openset_images_07102017,pisvmO,8,0.988549618321
3,imagenet_googlenet_openset_images_07102017,pisvmO,7,0.97880539499
3,imagenet_googlenet_openset_images_07102017,pisvmO,6,0.980115458627
3,imagenet_googlenet_openset_images_07102017,pisvmO,5,0.975515463918
3,imagenet_googlenet_openset_images_07102017,pisvmO,4,0.974193548387
3,imagenet_googlenet_openset_images_07102017,pisvmO,2,0.988549618321
3,imagenet_googlenet_openset_images_07102017,pisvmO,3,0.978149100257
3,imagenet_googlenet_openset_images_07102017,pisvmO,1,0.97946084724
3,imagenet_googlenet_openset_images_07102017,onevsetC,10,0.00731758530184
3,imagenet_googlenet_openset_images_07102017,onevsetC,9,0.00799119081328
3,imagenet_googlenet_openset_images_07102017,onevsetC,8,0.00812880218167
3,imagenet_googlenet_openset_images_07102017,onevsetC,7,0.00833420693993
3,imagenet_googlenet_openset_images_07102017,onevsetC,6,0.0082621231979
3,imagenet_googlenet_openset_images_07102017,onevsetC,5,0.00801426623309
3,imagenet_googlenet_openset_images_07102017,onevsetC,4,0.00833420693993
3,imagenet_googlenet_openset_images_07102017,onevsetC,3,0.00833420693993
3,imagenet_googlenet_openset_images_07102017,onevsetC,2,0.0082398574274
3,imagenet_googlenet_openset_images_07102017,onevsetC,1,0.00808260823986
3,imagenet_googlenet_openset_images_07102017,onevsetO,10,0.0072039905487
3,imagenet_googlenet_openset_images_07102017,onevsetO,9,0.00767697954903
3,imagenet_googlenet_openset_images_07102017,onevsetO,8,0.00792868379654
3,imagenet_googlenet_openset_images_07102017,onevsetO,7,0.00826073265456
3,imagenet_googlenet_openset_images_07102017,onevsetO,6,0.00776006711409
3,imagenet_googlenet_openset_images_07102017,onevsetO,4,0.0069193269382
3,imagenet_googlenet_openset_images_07102017,onevsetO,3,0.00799328647855
3,imagenet_googlenet_openset_images_07102017,onevsetO,5,0.00793159523685
3,imagenet_googlenet_openset_images_07102017,onevsetO,2,0.0081983540389
3,imagenet_googlenet_openset_images_07102017,onevsetO,1,0.00727730299376
3,imagenet_googlenet_openset_images_07102017,wsvmC,10,0.00821718216004
3,imagenet_googlenet_openset_images_07102017,wsvmC,7,0.00815746539656
3,imagenet_googlenet_openset_images_07102017,wsvmC,8,0.00806044810627
3,imagenet_googlenet_openset_images_07102017,wsvmC,9,0.00813670505495
3,imagenet_googlenet_openset_images_07102017,wsvmC,6,0.00807161184609
3,imagenet_googlenet_openset_images_07102017,wsvmC,5,0.0081381917463
3,imagenet_googlenet_openset_images_07102017,wsvmC,4,0.00803520384347
3,imagenet_googlenet_openset_images_07102017,wsvmC,2,0.00820622602801
3,imagenet_googlenet_openset_images_07102017,wsvmC,3,0.00811642289398
3,imagenet_googlenet_openset_images_07102017,wsvmC,1,0.00802307288936
3,imagenet_googlenet_openset_images_07102017,wsvmO,10,0.620550161812
3,imagenet_googlenet_openset_images_07102017,wsvmO,9,0.0375183913683
3,imagenet_googlenet_openset_images_07102017,wsvmO,8,0.982074263764
3,imagenet_googlenet_openset_images_07102017,wsvmO,7,0.987261146497
3,imagenet_googlenet_openset_images_07102017,wsvmO,6,0.119664875119
3,imagenet_googlenet_openset_images_07102017,wsvmO,5,0.14236595112
3,imagenet_googlenet_openset_images_07102017,wsvmO,2,0.991756499683
3,imagenet_googlenet_openset_images_07102017,wsvmO,4,0.981422165279
3,imagenet_googlenet_openset_images_07102017,wsvmO,3,0.985969387755
3,imagenet_googlenet_openset_images_07102017,wsvmO,1,0.980769230769
6,imagenet_googlenet_openset_images_07102017,ocsvmC,10,0.00207162648574
6,imagenet_googlenet_openset_images_07102017,ocsvmC,9,0.0017421503601
6,imagenet_googlenet_openset_images_07102017,ocsvmC,6,0.00310889778059
6,imagenet_googlenet_openset_images_07102017,ocsvmC,8,0.00233558220751
6,imagenet_googlenet_openset_images_07102017,ocsvmC,7,0.00424050217102
6,imagenet_googlenet_openset_images_07102017,ocsvmC,5,0.00668867579974
6,imagenet_googlenet_openset_images_07102017,ocsvmC,4,0.00316900355765
6,imagenet_googlenet_openset_images_07102017,ocsvmC,3,0.00756063949154
6,imagenet_googlenet_openset_images_07102017,ocsvmC,2,0.00314006402787
6,imagenet_googlenet_openset_images_07102017,ocsvmC,1,0.00292003454339
6,imagenet_googlenet_openset_images_07102017,ocsvmO,8,0.122381659245
6,imagenet_googlenet_openset_images_07102017,ocsvmO,10,0.652542372881
6,imagenet_googlenet_openset_images_07102017,ocsvmO,9,0.059069749247
6,imagenet_googlenet_openset_images_07102017,ocsvmO,7,0.608090474119
6,imagenet_googlenet_openset_images_07102017,ocsvmO,6,0.0136992853795
6,imagenet_googlenet_openset_images_07102017,ocsvmO,5,0.137138061267
6,imagenet_googlenet_openset_images_07102017,ocsvmO,4,0.115783890278
6,imagenet_googlenet_openset_images_07102017,ocsvmO,3,0.013760668873
6,imagenet_googlenet_openset_images_07102017,ocsvmO,2,0.0770120142764
6,imagenet_googlenet_openset_images_07102017,ocsvmO,1,0.0125763237036
6,imagenet_googlenet_openset_images_07102017,ssvmC,10,0.989192625556
6,imagenet_googlenet_openset_images_07102017,ssvmC,9,0.184388807069
6,imagenet_googlenet_openset_images_07102017,ssvmC,8,0.0493850401606
6,imagenet_googlenet_openset_images_07102017,ssvmC,6,0.0860720730574
6,imagenet_googlenet_openset_images_07102017,ssvmC,7,0.0853486606659
6,imagenet_googlenet_openset_images_07102017,ssvmC,5,0.144908856564
6,imagenet_googlenet_openset_images_07102017,ssvmC,4,0.177790400454
6,imagenet_googlenet_openset_images_07102017,ssvmC,3,0.0765303641756
6,imagenet_googlenet_openset_images_07102017,ssvmC,2,0.10464034038
6,imagenet_googlenet_openset_images_07102017,ssvmC,1,0.0801769137802
6,imagenet_googlenet_openset_images_07102017,ssvmO,2,0.991756499683
6,imagenet_googlenet_openset_images_07102017,ssvmO,10,0.991756499683
6,imagenet_googlenet_openset_images_07102017,ssvmO,4,0.991756499683
6,imagenet_googlenet_openset_images_07102017,ssvmO,6,0.991756499683
6,imagenet_googlenet_openset_images_07102017,ssvmO,8,0.964143426295
6,imagenet_googlenet_openset_images_07102017,ssvmO,1,0.991756499683
6,imagenet_googlenet_openset_images_07102017,ssvmO,9,0.991756499683
6,imagenet_googlenet_openset_images_07102017,ssvmO,3,0.991756499683
6,imagenet_googlenet_openset_images_07102017,ssvmO,5,0.991756499683
6,imagenet_googlenet_openset_images_07102017,ssvmO,7,0.991756499683
6,imagenet_googlenet_openset_images_07102017,svddC,9,0.0150391807312
6,imagenet_googlenet_openset_images_07102017,svddC,10,0.00678204055185
6,imagenet_googlenet_openset_images_07102017,svddC,8,0.010599357036
6,imagenet_googlenet_openset_images_07102017,svddC,7,0.0151391006615
6,imagenet_googlenet_openset_images_07102017,svddC,6,0.0125266903915
6,imagenet_googlenet_openset_images_07102017,svddC,5,0.0101925254813
6,imagenet_googlenet_openset_images_07102017,svddC,4,0.0117522749817
6,imagenet_googlenet_openset_images_07102017,svddC,3,0.0119078608497
6,imagenet_googlenet_openset_images_07102017,svddC,2,0.00561002464216
6,imagenet_googlenet_openset_images_07102017,svddC,1,0.0103527841873
6,imagenet_googlenet_openset_images_07102017,svddO,10,0.0
6,imagenet_googlenet_openset_images_07102017,svddO,9,0.0
6,imagenet_googlenet_openset_images_07102017,svddO,8,0.0
6,imagenet_googlenet_openset_images_07102017,svddO,7,0.0
6,imagenet_googlenet_openset_images_07102017,svddO,6,0.0
6,imagenet_googlenet_openset_images_07102017,svddO,5,0.0
6,imagenet_googlenet_openset_images_07102017,svddO,4,0.0
6,imagenet_googlenet_openset_images_07102017,svddO,3,0.0
6,imagenet_googlenet_openset_images_07102017,svddO,2,0.0
6,imagenet_googlenet_openset_images_07102017,svddO,1,0.0
6,imagenet_googlenet_openset_images_07102017,svmC,10,1.0
6,imagenet_googlenet_openset_images_07102017,svmC,9,0.498432601881
6,imagenet_googlenet_openset_images_07102017,svmC,8,0.18339100346
6,imagenet_googlenet_openset_images_07102017,svmC,7,0.353333333333
6,imagenet_googlenet_openset_images_07102017,svmC,6,0.418972332016
6,imagenet_googlenet_openset_images_07102017,svmC,5,0.393077873918
6,imagenet_googlenet_openset_images_07102017,svmC,4,0.0823620823621
6,imagenet_googlenet_openset_images_07102017,svmC,3,0.197026022305
6,imagenet_googlenet_openset_images_07102017,svmC,2,0.207571801567
6,imagenet_googlenet_openset_images_07102017,svmC,1,0.200630914826
6,imagenet_googlenet_openset_images_07102017,svmO,10,1.0
6,imagenet_googlenet_openset_images_07102017,svmO,8,0.969512195122
6,imagenet_googlenet_openset_images_07102017,svmO,7,1.0
6,imagenet_googlenet_openset_images_07102017,svmO,9,1.0
6,imagenet_googlenet_openset_images_07102017,svmO,6,1.0
6,imagenet_googlenet_openset_images_07102017,svmO,5,1.0
6,imagenet_googlenet_openset_images_07102017,svmO,4,1.0
6,imagenet_googlenet_openset_images_07102017,svmO,3,1.0
6,imagenet_googlenet_openset_images_07102017,svmO,2,1.0
6,imagenet_googlenet_openset_images_07102017,svmO,1,1.0
6,imagenet_googlenet_openset_images_07102017,svmdbcC,10,0.111954794279
6,imagenet_googlenet_openset_images_07102017,svmdbcC,9,0.0406220083314
6,imagenet_googlenet_openset_images_07102017,svmdbcC,8,0.0709706343869
6,imagenet_googlenet_openset_images_07102017,svmdbcC,7,0.311764705882
6,imagenet_googlenet_openset_images_07102017,svmdbcC,6,0.0891755468312
6,imagenet_googlenet_openset_images_07102017,svmdbcC,5,0.161257606491
6,imagenet_googlenet_openset_images_07102017,svmdbcC,4,0.13200498132
6,imagenet_googlenet_openset_images_07102017,svmdbcC,3,0.481089258699
6,imagenet_googlenet_openset_images_07102017,svmdbcC,2,1.0
6,imagenet_googlenet_openset_images_07102017,svmdbcC,1,0.0605945121951
6,imagenet_googlenet_openset_images_07102017,svmdbcO,10,1.0
6,imagenet_googlenet_openset_images_07102017,svmdbcO,9,1.0
6,imagenet_googlenet_openset_images_07102017,svmdbcO,8,0.969512195122
6,imagenet_googlenet_openset_images_07102017,svmdbcO,7,1.0
6,imagenet_googlenet_openset_images_07102017,svmdbcO,6,1.0
6,imagenet_googlenet_openset_images_07102017,svmdbcO,5,1.0
6,imagenet_googlenet_openset_images_07102017,svmdbcO,4,1.0
6,imagenet_googlenet_openset_images_07102017,svmdbcO,3,1.0
6,imagenet_googlenet_openset_images_07102017,svmdbcO,2,1.0
6,imagenet_googlenet_openset_images_07102017,svmdbcO,1,1.0
6,imagenet_googlenet_openset_images_07102017,pisvmC,10,0.0164168151798
6,imagenet_googlenet_openset_images_07102017,pisvmC,9,0.0166684138799
6,imagenet_googlenet_openset_images_07102017,pisvmC,8,0.0166684138799
6,imagenet_googlenet_openset_images_07102017,pisvmC,6,0.0166055142048
6,imagenet_googlenet_openset_images_07102017,pisvmC,7,0.0166684138799
6,imagenet_googlenet_openset_images_07102017,pisvmC,5,0.0166684138799
6,imagenet_googlenet_openset_images_07102017,pisvmC,4,0.0166684138799
6,imagenet_googlenet_openset_images_07102017,pisvmC,3,0.0166684138799
6,imagenet_googlenet_openset_images_07102017,pisvmC,2,0.0166684138799
6,imagenet_googlenet_openset_images_07102017,pisvmC,1,0.0165950309257
6,imagenet_googlenet_openset_images_07102017,pisvmO,10,0.55598314092
6,imagenet_googlenet_openset_images_07102017,pisvmO,9,0.621248986212
6,imagenet_googlenet_openset_images_07102017,pisvmO,8,0.583969465649
6,imagenet_googlenet_openset_images_07102017,pisvmO,7,0.97880539499
6,imagenet_googlenet_openset_images_07102017,pisvmO,6,0.291313861669
6,imagenet_googlenet_openset_images_07102017,pisvmO,5,0.63785199738
6,imagenet_googlenet_openset_images_07102017,pisvmO,4,0.648533786655
6,imagenet_googlenet_openset_images_07102017,pisvmO,3,0.971206729214
6,imagenet_googlenet_openset_images_07102017,pisvmO,1,0.771929824561
