lenacs,dataset,classifier,experiment,result
3,imagenet_googlenet_openset_images_07102017,ocsvmC,9,0.228619959104
3,imagenet_googlenet_openset_images_07102017,ocsvmC,10,0.314924233433
3,imagenet_googlenet_openset_images_07102017,ocsvmC,8,0.150765710555
3,imagenet_googlenet_openset_images_07102017,ocsvmC,7,0.180606797399
3,imagenet_googlenet_openset_images_07102017,ocsvmC,6,0.185081584152
3,imagenet_googlenet_openset_images_07102017,ocsvmC,5,0.168622006894
3,imagenet_googlenet_openset_images_07102017,ocsvmC,4,0.0969704011242
3,imagenet_googlenet_openset_images_07102017,ocsvmC,3,0.180801536906
3,imagenet_googlenet_openset_images_07102017,ocsvmC,1,0.178371448489
3,imagenet_googlenet_openset_images_07102017,ocsvmC,2,0.257943879252
3,imagenet_googlenet_openset_images_07102017,ocsvmO,10,0.738993710692
3,imagenet_googlenet_openset_images_07102017,ocsvmO,9,0.418810214084
3,imagenet_googlenet_openset_images_07102017,ocsvmO,8,0.421828111303
3,imagenet_googlenet_openset_images_07102017,ocsvmO,7,0.545049284919
3,imagenet_googlenet_openset_images_07102017,ocsvmO,6,0.716981132075
3,imagenet_googlenet_openset_images_07102017,ocsvmO,5,0.247961268845
3,imagenet_googlenet_openset_images_07102017,ocsvmO,4,0.796226415094
3,imagenet_googlenet_openset_images_07102017,ocsvmO,3,0.326476926959
3,imagenet_googlenet_openset_images_07102017,ocsvmO,2,0.761635220126
3,imagenet_googlenet_openset_images_07102017,ocsvmO,1,0.791194968553
3,imagenet_googlenet_openset_images_07102017,ssvmC,10,0.97358490566
3,imagenet_googlenet_openset_images_07102017,ssvmC,9,0.973294192621
3,imagenet_googlenet_openset_images_07102017,ssvmC,8,0.97358490566
3,imagenet_googlenet_openset_images_07102017,ssvmC,7,0.97358490566
3,imagenet_googlenet_openset_images_07102017,ssvmC,4,0.97358490566
3,imagenet_googlenet_openset_images_07102017,ssvmC,5,0.97358490566
3,imagenet_googlenet_openset_images_07102017,ssvmC,6,0.97358490566
3,imagenet_googlenet_openset_images_07102017,ssvmC,3,0.97358490566
