lenacs,dataset,classifier,experiment,result
3,mnist_h_fc1_train,ocsvmC,10,0.674270101477
3,mnist_h_fc1_train,ocsvmC,9,0.733081924116
3,mnist_h_fc1_train,ocsvmC,8,0.731643361058
3,mnist_h_fc1_train,ocsvmC,7,0.683319199817
3,mnist_h_fc1_train,ocsvmC,6,0.717324124405
3,mnist_h_fc1_train,ocsvmC,5,0.741853324962
3,mnist_h_fc1_train,ocsvmC,4,0.710786128362
3,mnist_h_fc1_train,ocsvmC,3,0.716747856159
3,mnist_h_fc1_train,ocsvmC,2,0.681055085361
3,mnist_h_fc1_train,ocsvmC,1,0.693990265315
3,mnist_h_fc1_train,ocsvmO,10,0.674270101477
3,mnist_h_fc1_train,ocsvmO,9,0.733081924116
3,mnist_h_fc1_train,ocsvmO,8,0.731643361058
3,mnist_h_fc1_train,ocsvmO,7,0.682672236377
3,mnist_h_fc1_train,ocsvmO,6,0.717324124405
3,mnist_h_fc1_train,ocsvmO,5,0.741853324962
3,mnist_h_fc1_train,ocsvmO,4,0.710786128362
3,mnist_h_fc1_train,ocsvmO,3,0.716747856159
3,mnist_h_fc1_train,ocsvmO,2,0.68668226061
3,mnist_h_fc1_train,ocsvmO,1,0.693990265315
3,mnist_h_fc1_train,ssvmC,10,0.953850907023
3,mnist_h_fc1_train,ssvmC,9,0.940745937047
3,mnist_h_fc1_train,ssvmC,8,0.948409550531
3,mnist_h_fc1_train,ssvmC,7,0.945466273363
3,mnist_h_fc1_train,ssvmC,6,0.946819007017
3,mnist_h_fc1_train,ssvmC,5,0.937288992569
3,mnist_h_fc1_train,ssvmC,4,0.950028883621
3,mnist_h_fc1_train,ssvmC,3,0.959440895871
3,mnist_h_fc1_train,ssvmC,2,0.933118246664
3,mnist_h_fc1_train,ssvmC,1,0.945952305358
3,mnist_h_fc1_train,ssvmO,10,0.84798535744
3,mnist_h_fc1_train,ssvmO,9,0.915471031805
3,mnist_h_fc1_train,ssvmO,8,0.924185664996
3,mnist_h_fc1_train,ssvmO,7,0.789782347509
3,mnist_h_fc1_train,ssvmO,6,0.919007461423
3,mnist_h_fc1_train,ssvmO,5,0.865482522559
3,mnist_h_fc1_train,ssvmO,4,0.847537087619
3,mnist_h_fc1_train,ssvmO,3,0.751714154799
3,mnist_h_fc1_train,ssvmO,2,0.777379075891
3,mnist_h_fc1_train,ssvmO,1,0.894236691742
3,mnist_h_fc1_train,svddC,10,0.819156331872
3,mnist_h_fc1_train,svddC,9,0.881008543639
3,mnist_h_fc1_train,svddC,8,0.891475141543
3,mnist_h_fc1_train,svddC,7,0.791076374364
3,mnist_h_fc1_train,svddC,6,0.880619701563
3,mnist_h_fc1_train,svddC,5,0.867664878087
3,mnist_h_fc1_train,svddC,4,0.868129042994
3,mnist_h_fc1_train,svddC,3,0.815823555868
3,mnist_h_fc1_train,svddC,2,0.852527365707
3,mnist_h_fc1_train,svddC,1,0.793957768243
3,mnist_h_fc1_train,svddO,10,0.206591922987
3,mnist_h_fc1_train,svddO,9,0.326894591671
3,mnist_h_fc1_train,svddO,8,0.206124368167
3,mnist_h_fc1_train,svddO,7,0.214828241134
3,mnist_h_fc1_train,svddO,6,0.205535924617
3,mnist_h_fc1_train,svddO,5,0.205570604169
3,mnist_h_fc1_train,svddO,4,0.207036971934
3,mnist_h_fc1_train,svddO,3,0.207928044064
3,mnist_h_fc1_train,svddO,2,0.207477018561
3,mnist_h_fc1_train,svddO,1,0.204615293701
3,mnist_h_fc1_train,svmC,10,0.912077687028
3,mnist_h_fc1_train,svmC,9,0.94466532109
3,mnist_h_fc1_train,svmC,8,0.941599025861
3,mnist_h_fc1_train,svmC,7,0.945552847615
3,mnist_h_fc1_train,svmC,6,0.93496040757
3,mnist_h_fc1_train,svmC,5,0.896560893838
3,mnist_h_fc1_train,svmC,4,0.880061973698
3,mnist_h_fc1_train,svmC,3,0.86677337627
3,mnist_h_fc1_train,svmC,2,0.841094933523
3,mnist_h_fc1_train,svmC,1,0.955498059937
3,mnist_h_fc1_train,svmO,10,0.826744241839
3,mnist_h_fc1_train,svmO,9,0.781399598798
3,mnist_h_fc1_train,svmO,8,0.834558369736
3,mnist_h_fc1_train,svmO,7,0.869109924329
3,mnist_h_fc1_train,svmO,6,0.850653572759
3,mnist_h_fc1_train,svmO,5,0.917834413675
3,mnist_h_fc1_train,svmO,4,0.912120408931
3,mnist_h_fc1_train,svmO,3,0.808282701538
3,mnist_h_fc1_train,svmO,2,0.806665177305
3,mnist_h_fc1_train,svmO,1,0.869974828101
3,mnist_h_fc1_train,svmdbcC,10,0.94541751776
3,mnist_h_fc1_train,svmdbcC,9,0.808714460044
3,mnist_h_fc1_train,svmdbcC,8,0.952806869913
3,mnist_h_fc1_train,svmdbcC,7,0.796710428007
3,mnist_h_fc1_train,svmdbcC,6,0.901885873776
3,mnist_h_fc1_train,svmdbcC,5,0.819976604697
3,mnist_h_fc1_train,svmdbcC,4,0.806103469582
3,mnist_h_fc1_train,svmdbcC,3,0.851464046873
3,mnist_h_fc1_train,svmdbcC,2,0.856059060338
3,mnist_h_fc1_train,svmdbcC,1,0.941919830092
3,mnist_h_fc1_train,svmdbcO,10,0.910648363268
3,mnist_h_fc1_train,svmdbcO,9,0.90420751604
3,mnist_h_fc1_train,svmdbcO,8,0.899689691406
3,mnist_h_fc1_train,svmdbcO,7,0.87013336245
3,mnist_h_fc1_train,svmdbcO,6,0.881418082062
3,mnist_h_fc1_train,svmdbcO,5,0.855142844664
3,mnist_h_fc1_train,svmdbcO,4,0.9324150331
3,mnist_h_fc1_train,svmdbcO,3,0.856786725301
3,mnist_h_fc1_train,svmdbcO,2,0.864100820083
3,mnist_h_fc1_train,svmdbcO,1,0.871408332322
3,mnist_h_fc1_train,pisvmC,10,0.386557295096
3,mnist_h_fc1_train,pisvmC,9,0.357551713652
3,mnist_h_fc1_train,pisvmC,8,0.486376969516
3,mnist_h_fc1_train,pisvmC,7,0.474978102423
