lenacs,dataset,classifier,experiment,result
3,mnist_h_fc1_train,ocsvmC,10,0.8122
3,mnist_h_fc1_train,ocsvmC,9,0.8405
3,mnist_h_fc1_train,ocsvmC,8,0.8384
3,mnist_h_fc1_train,ocsvmC,7,0.8142
3,mnist_h_fc1_train,ocsvmC,6,0.8291
3,mnist_h_fc1_train,ocsvmC,5,0.8422
3,mnist_h_fc1_train,ocsvmC,4,0.8307
3,mnist_h_fc1_train,ocsvmC,3,0.8356
3,mnist_h_fc1_train,ocsvmC,2,0.8186
3,mnist_h_fc1_train,ocsvmC,1,0.8151
3,mnist_h_fc1_train,ocsvmO,10,0.8122
3,mnist_h_fc1_train,ocsvmO,9,0.8405
3,mnist_h_fc1_train,ocsvmO,8,0.8384
3,mnist_h_fc1_train,ocsvmO,7,0.8139
3,mnist_h_fc1_train,ocsvmO,6,0.8291
3,mnist_h_fc1_train,ocsvmO,5,0.8422
3,mnist_h_fc1_train,ocsvmO,4,0.8307
3,mnist_h_fc1_train,ocsvmO,3,0.8356
3,mnist_h_fc1_train,ocsvmO,2,0.821
3,mnist_h_fc1_train,ocsvmO,1,0.8151
3,mnist_h_fc1_train,ssvmC,10,0.9683
3,mnist_h_fc1_train,ssvmC,9,0.9562
3,mnist_h_fc1_train,ssvmC,8,0.9649
3,mnist_h_fc1_train,ssvmC,7,0.9582
3,mnist_h_fc1_train,ssvmC,6,0.9633
3,mnist_h_fc1_train,ssvmC,5,0.9539
3,mnist_h_fc1_train,ssvmC,4,0.9652
3,mnist_h_fc1_train,ssvmC,3,0.9736
3,mnist_h_fc1_train,ssvmC,2,0.9549
3,mnist_h_fc1_train,ssvmC,1,0.9637
3,mnist_h_fc1_train,ssvmO,10,0.9027
3,mnist_h_fc1_train,ssvmO,9,0.9436
3,mnist_h_fc1_train,ssvmO,8,0.9493
3,mnist_h_fc1_train,ssvmO,7,0.8688
3,mnist_h_fc1_train,ssvmO,6,0.9447
3,mnist_h_fc1_train,ssvmO,5,0.9124
3,mnist_h_fc1_train,ssvmO,4,0.9039
3,mnist_h_fc1_train,ssvmO,3,0.8519
3,mnist_h_fc1_train,ssvmO,2,0.8649
3,mnist_h_fc1_train,ssvmO,1,0.929
3,mnist_h_fc1_train,svddC,10,0.8865
3,mnist_h_fc1_train,svddC,9,0.9322
3,mnist_h_fc1_train,svddC,8,0.9307
3,mnist_h_fc1_train,svddC,7,0.8721
3,mnist_h_fc1_train,svddC,6,0.924
3,mnist_h_fc1_train,svddC,5,0.916
3,mnist_h_fc1_train,svddC,4,0.9178
3,mnist_h_fc1_train,svddC,3,0.8976
3,mnist_h_fc1_train,svddC,2,0.9084
3,mnist_h_fc1_train,svddC,1,0.8712
3,mnist_h_fc1_train,svddO,10,0.7039
3,mnist_h_fc1_train,svddO,9,0.704
3,mnist_h_fc1_train,svddO,8,0.7014
3,mnist_h_fc1_train,svddO,7,0.7007
3,mnist_h_fc1_train,svddO,6,0.698
3,mnist_h_fc1_train,svddO,5,0.6982
3,mnist_h_fc1_train,svddO,4,0.7067
3,mnist_h_fc1_train,svddO,3,0.7097
3,mnist_h_fc1_train,svddO,2,0.7087
3,mnist_h_fc1_train,svddO,1,0.6925
3,mnist_h_fc1_train,svmC,10,0.9174
3,mnist_h_fc1_train,svmC,9,0.9587
3,mnist_h_fc1_train,svmC,8,0.9579
3,mnist_h_fc1_train,svmC,7,0.9585
3,mnist_h_fc1_train,svmC,6,0.9499
3,mnist_h_fc1_train,svmC,5,0.9024
3,mnist_h_fc1_train,svmC,4,0.8992
3,mnist_h_fc1_train,svmC,3,0.8522
3,mnist_h_fc1_train,svmC,2,0.8536
3,mnist_h_fc1_train,svmC,1,0.9688
3,mnist_h_fc1_train,svmO,10,0.8322
3,mnist_h_fc1_train,svmO,9,0.7091
3,mnist_h_fc1_train,svmO,8,0.8245
3,mnist_h_fc1_train,svmO,7,0.8856
3,mnist_h_fc1_train,svmO,6,0.8622
3,mnist_h_fc1_train,svmO,5,0.9417
3,mnist_h_fc1_train,svmO,4,0.9371
3,mnist_h_fc1_train,svmO,3,0.7476
3,mnist_h_fc1_train,svmO,2,0.7876
3,mnist_h_fc1_train,svmO,1,0.8904
3,mnist_h_fc1_train,svmdbcC,10,0.9608
3,mnist_h_fc1_train,svmdbcC,9,0.7254
3,mnist_h_fc1_train,svmdbcC,8,0.9662
3,mnist_h_fc1_train,svmdbcC,7,0.7806
3,mnist_h_fc1_train,svmdbcC,6,0.8979
3,mnist_h_fc1_train,svmdbcC,5,0.7568
3,mnist_h_fc1_train,svmdbcC,4,0.7896
3,mnist_h_fc1_train,svmdbcC,3,0.8538
3,mnist_h_fc1_train,svmdbcC,2,0.8655
3,mnist_h_fc1_train,svmdbcC,1,0.9542
3,mnist_h_fc1_train,svmdbcO,10,0.9401
3,mnist_h_fc1_train,svmdbcO,9,0.93
3,mnist_h_fc1_train,svmdbcO,8,0.8986
3,mnist_h_fc1_train,svmdbcO,7,0.8418
3,mnist_h_fc1_train,svmdbcO,6,0.8822
3,mnist_h_fc1_train,svmdbcO,5,0.7845
3,mnist_h_fc1_train,svmdbcO,4,0.9526
3,mnist_h_fc1_train,svmdbcO,3,0.8617
3,mnist_h_fc1_train,svmdbcO,2,0.8706
3,mnist_h_fc1_train,svmdbcO,1,0.8885
3,mnist_h_fc1_train,pisvmC,10,0.2941
3,mnist_h_fc1_train,pisvmC,9,0.2929
3,mnist_h_fc1_train,pisvmC,8,0.2938
3,mnist_h_fc1_train,pisvmC,7,0.2917
3,mnist_h_fc1_train,pisvmC,6,0.3004
3,mnist_h_fc1_train,pisvmC,5,0.2995
3,mnist_h_fc1_train,pisvmC,4,0.2916
3,mnist_h_fc1_train,pisvmC,3,0.2886
3,mnist_h_fc1_train,pisvmC,2,0.2903
3,mnist_h_fc1_train,pisvmC,1,0.3053
3,mnist_h_fc1_train,pisvmO,10,0.9136
3,mnist_h_fc1_train,pisvmO,9,0.9287
3,mnist_h_fc1_train,pisvmO,8,0.9078
3,mnist_h_fc1_train,pisvmO,7,0.872
3,mnist_h_fc1_train,pisvmO,6,0.9633
3,mnist_h_fc1_train,pisvmO,5,0.8638
3,mnist_h_fc1_train,pisvmO,4,0.8629
3,mnist_h_fc1_train,pisvmO,3,0.8931
3,mnist_h_fc1_train,pisvmO,2,0.9568
3,mnist_h_fc1_train,pisvmO,1,0.9058
3,mnist_h_fc1_train,onevsetC,10,0.2942
3,mnist_h_fc1_train,onevsetC,9,0.3106
3,mnist_h_fc1_train,onevsetC,8,0.2951
3,mnist_h_fc1_train,onevsetC,7,0.2922
3,mnist_h_fc1_train,onevsetC,6,0.291
3,mnist_h_fc1_train,onevsetC,5,0.2997
3,mnist_h_fc1_train,onevsetC,4,0.2885
3,mnist_h_fc1_train,onevsetC,3,0.2852
3,mnist_h_fc1_train,onevsetC,2,0.2621
3,mnist_h_fc1_train,onevsetC,1,0.3044
3,mnist_h_fc1_train,onevsetO,10,0.2858
3,mnist_h_fc1_train,onevsetO,9,0.3052
3,mnist_h_fc1_train,onevsetO,8,0.2849
3,mnist_h_fc1_train,onevsetO,7,0.2934
3,mnist_h_fc1_train,onevsetO,6,0.2458
3,mnist_h_fc1_train,onevsetO,5,0.2938
3,mnist_h_fc1_train,onevsetO,4,0.2535
