lenacs,dataset,classifier,experiment,result
3,mnist_h_fc1_train,ocsvmC,10,0.536403432355
3,mnist_h_fc1_train,ocsvmC,9,0.632064590542
3,mnist_h_fc1_train,ocsvmC,8,0.630679956086
3,mnist_h_fc1_train,ocsvmC,7,0.549903100775
3,mnist_h_fc1_train,ocsvmC,6,0.607173629791
3,mnist_h_fc1_train,ocsvmC,5,0.64712334095
3,mnist_h_fc1_train,ocsvmC,4,0.59833214038
3,mnist_h_fc1_train,ocsvmC,3,0.605286547868
3,mnist_h_fc1_train,ocsvmC,2,0.547983014473
3,mnist_h_fc1_train,ocsvmC,1,0.57009997675
3,mnist_h_fc1_train,ocsvmO,10,0.536403432355
3,mnist_h_fc1_train,ocsvmO,9,0.632064590542
3,mnist_h_fc1_train,ocsvmO,8,0.630679956086
3,mnist_h_fc1_train,ocsvmO,7,0.548848484848
3,mnist_h_fc1_train,ocsvmO,6,0.607173629791
3,mnist_h_fc1_train,ocsvmO,5,0.64712334095
3,mnist_h_fc1_train,ocsvmO,4,0.59833214038
3,mnist_h_fc1_train,ocsvmO,3,0.605286547868
3,mnist_h_fc1_train,ocsvmO,2,0.556632702236
3,mnist_h_fc1_train,ocsvmO,1,0.57009997675
3,mnist_h_fc1_train,ssvmC,10,0.95532896797
3,mnist_h_fc1_train,ssvmC,9,0.950845728709
3,mnist_h_fc1_train,ssvmC,8,0.947808983348
3,mnist_h_fc1_train,ssvmC,7,0.955087371947
3,mnist_h_fc1_train,ssvmC,6,0.945138376435
3,mnist_h_fc1_train,ssvmC,5,0.943699344142
3,mnist_h_fc1_train,ssvmC,4,0.956291677929
3,mnist_h_fc1_train,ssvmC,3,0.960051085362
3,mnist_h_fc1_train,ssvmC,2,0.930541135858
3,mnist_h_fc1_train,ssvmC,1,0.937393349231
3,mnist_h_fc1_train,ssvmO,10,0.806238119151
3,mnist_h_fc1_train,ssvmO,9,0.89696665599
3,mnist_h_fc1_train,ssvmO,8,0.912983775997
3,mnist_h_fc1_train,ssvmO,7,0.719772057209
3,mnist_h_fc1_train,ssvmO,6,0.913210844304
3,mnist_h_fc1_train,ssvmO,5,0.831646460429
3,mnist_h_fc1_train,ssvmO,4,0.813398700657
3,mnist_h_fc1_train,ssvmO,3,0.656778679027
3,mnist_h_fc1_train,ssvmO,2,0.697925619521
3,mnist_h_fc1_train,ssvmO,1,0.869485294118
3,mnist_h_fc1_train,svddC,10,0.766254242752
3,mnist_h_fc1_train,svddC,9,0.872350190418
3,mnist_h_fc1_train,svddC,8,0.877249379283
3,mnist_h_fc1_train,svddC,7,0.731971596227
3,mnist_h_fc1_train,svddC,6,0.865808513919
3,mnist_h_fc1_train,svddC,5,0.843129978501
3,mnist_h_fc1_train,svddC,4,0.852034994569
3,mnist_h_fc1_train,svddC,3,0.799378616069
3,mnist_h_fc1_train,svddC,2,0.826779182388
3,mnist_h_fc1_train,svddC,1,0.735088440971
3,mnist_h_fc1_train,svddO,10,0.0
3,mnist_h_fc1_train,svddO,9,0.00403904293325
3,mnist_h_fc1_train,svddO,8,0.0
3,mnist_h_fc1_train,svddO,7,0.000668002640165
3,mnist_h_fc1_train,svddO,6,0.0
3,mnist_h_fc1_train,svddO,5,0.0
3,mnist_h_fc1_train,svddO,4,0.0
3,mnist_h_fc1_train,svddO,3,0.0
3,mnist_h_fc1_train,svddO,2,0.0
3,mnist_h_fc1_train,svddO,1,0.0
3,mnist_h_fc1_train,svmC,10,0.932067533316
3,mnist_h_fc1_train,svmC,9,0.961615750713
3,mnist_h_fc1_train,svmC,8,0.961255324659
3,mnist_h_fc1_train,svmC,7,0.961337069326
