lenacs,dataset,classifier,experiment,result
3,mnist_h_fc1_train,ocsvmC,10,0.534979670865
3,mnist_h_fc1_train,ocsvmC,9,0.631487446361
3,mnist_h_fc1_train,ocsvmC,8,0.629505186369
3,mnist_h_fc1_train,ocsvmC,7,0.549891832833
3,mnist_h_fc1_train,ocsvmC,6,0.606769355542
3,mnist_h_fc1_train,ocsvmC,5,0.645972300808
3,mnist_h_fc1_train,ocsvmC,4,0.596904749372
3,mnist_h_fc1_train,ocsvmC,3,0.605146240783
3,mnist_h_fc1_train,ocsvmC,2,0.546211677698
3,mnist_h_fc1_train,ocsvmC,1,0.568106485413
3,mnist_h_fc1_train,ocsvmO,10,0.534979670865
3,mnist_h_fc1_train,ocsvmO,9,0.631487446361
3,mnist_h_fc1_train,ocsvmO,8,0.629505186369
3,mnist_h_fc1_train,ocsvmO,7,0.548812240022
3,mnist_h_fc1_train,ocsvmO,6,0.606769355542
3,mnist_h_fc1_train,ocsvmO,5,0.645972300808
3,mnist_h_fc1_train,ocsvmO,4,0.596904749372
3,mnist_h_fc1_train,ocsvmO,3,0.605146240783
3,mnist_h_fc1_train,ocsvmO,2,0.555596795689
3,mnist_h_fc1_train,ocsvmO,1,0.568106485413
3,mnist_h_fc1_train,ssvmC,10,0.945617314734
3,mnist_h_fc1_train,ssvmC,9,0.931054135016
3,mnist_h_fc1_train,ssvmC,8,0.938861449738
3,mnist_h_fc1_train,ssvmC,7,0.937154533874
3,mnist_h_fc1_train,ssvmC,6,0.937107720551
3,mnist_h_fc1_train,ssvmC,5,0.927104059548
3,mnist_h_fc1_train,ssvmC,4,0.941532161063
3,mnist_h_fc1_train,ssvmC,3,0.951691331474
3,mnist_h_fc1_train,ssvmC,2,0.920451020962
3,mnist_h_fc1_train,ssvmC,1,0.934453515516
3,mnist_h_fc1_train,ssvmO,10,0.804413861208
3,mnist_h_fc1_train,ssvmO,9,0.895799863154
3,mnist_h_fc1_train,ssvmO,8,0.907813888991
3,mnist_h_fc1_train,ssvmO,7,0.718809447855
3,mnist_h_fc1_train,ssvmO,6,0.902946429412
3,mnist_h_fc1_train,ssvmO,5,0.828664925521
3,mnist_h_fc1_train,ssvmO,4,0.805067080065
3,mnist_h_fc1_train,ssvmO,3,0.65959331864
3,mnist_h_fc1_train,ssvmO,2,0.699461380752
3,mnist_h_fc1_train,ssvmO,1,0.867592853846
3,mnist_h_fc1_train,svddC,10,0.763740566802
3,mnist_h_fc1_train,svddC,9,0.849572168517
3,mnist_h_fc1_train,svddC,8,0.865726725144
3,mnist_h_fc1_train,svddC,7,0.724247933024
3,mnist_h_fc1_train,svddC,6,0.851963215953
3,mnist_h_fc1_train,svddC,5,0.83318987268
3,mnist_h_fc1_train,svddC,4,0.836146391234
3,mnist_h_fc1_train,svddC,3,0.764176372878
3,mnist_h_fc1_train,svddC,2,0.814477885363
3,mnist_h_fc1_train,svddC,1,0.725476201528
3,mnist_h_fc1_train,svddO,10,0.0
3,mnist_h_fc1_train,svddO,9,0.00403402347742
3,mnist_h_fc1_train,svddO,8,0.0
3,mnist_h_fc1_train,svddO,7,0.000647249190939
3,mnist_h_fc1_train,svddO,6,0.0
3,mnist_h_fc1_train,svddO,5,0.0
3,mnist_h_fc1_train,svddO,4,0.0
3,mnist_h_fc1_train,svddO,3,0.0
3,mnist_h_fc1_train,svddO,2,0.0
3,mnist_h_fc1_train,svddO,1,0.0
3,mnist_h_fc1_train,svmC,10,0.899473147161
3,mnist_h_fc1_train,svmC,9,0.935275267156
3,mnist_h_fc1_train,svmC,8,0.931369785989
3,mnist_h_fc1_train,svmC,7,0.93672491428
3,mnist_h_fc1_train,svmC,6,0.923144462423
3,mnist_h_fc1_train,svmC,5,0.880446044038
3,mnist_h_fc1_train,svmC,4,0.856065607788
3,mnist_h_fc1_train,svmC,3,0.847766459575
3,mnist_h_fc1_train,svmC,2,0.806889867958
