lenacs,dataset,classifier,experiment,result
3,mnist_h_fc1_train,ocsvmC,10,0.535934798716
3,mnist_h_fc1_train,ocsvmC,9,0.630755064457
3,mnist_h_fc1_train,ocsvmC,8,0.629867155291
3,mnist_h_fc1_train,ocsvmC,7,0.549769920078
3,mnist_h_fc1_train,ocsvmC,6,0.60649320746
3,mnist_h_fc1_train,ocsvmC,5,0.64594050548
3,mnist_h_fc1_train,ocsvmC,4,0.596524636991
3,mnist_h_fc1_train,ocsvmC,3,0.604081632653
3,mnist_h_fc1_train,ocsvmC,2,0.547405189621
3,mnist_h_fc1_train,ocsvmC,1,0.57009997675
3,mnist_h_fc1_train,ocsvmO,10,0.535934798716
3,mnist_h_fc1_train,ocsvmO,9,0.630755064457
3,mnist_h_fc1_train,ocsvmO,8,0.629867155291
3,mnist_h_fc1_train,ocsvmO,7,0.548715462918
3,mnist_h_fc1_train,ocsvmO,6,0.60649320746
3,mnist_h_fc1_train,ocsvmO,5,0.64594050548
3,mnist_h_fc1_train,ocsvmO,4,0.596524636991
3,mnist_h_fc1_train,ocsvmO,3,0.604081632653
3,mnist_h_fc1_train,ocsvmO,2,0.556051587302
3,mnist_h_fc1_train,ocsvmO,1,0.57009997675
3,mnist_h_fc1_train,ssvmC,10,0.944721887377
3,mnist_h_fc1_train,ssvmC,9,0.924867021277
3,mnist_h_fc1_train,ssvmC,8,0.938535911602
3,mnist_h_fc1_train,ssvmC,7,0.930904316429
3,mnist_h_fc1_train,ssvmC,6,0.936643835616
3,mnist_h_fc1_train,ssvmC,5,0.921672751411
3,mnist_h_fc1_train,ssvmC,4,0.940249957199
3,mnist_h_fc1_train,ssvmC,3,0.952683615819
3,mnist_h_fc1_train,ssvmC,2,0.918967371818
3,mnist_h_fc1_train,ssvmC,1,0.936647678232
3,mnist_h_fc1_train,ssvmO,10,0.80353200883
3,mnist_h_fc1_train,ssvmO,9,0.89378238342
3,mnist_h_fc1_train,ssvmO,8,0.90742074928
3,mnist_h_fc1_train,ssvmO,7,0.719384483864
3,mnist_h_fc1_train,ssvmO,6,0.902229243461
3,mnist_h_fc1_train,ssvmO,5,0.829475308642
3,mnist_h_fc1_train,ssvmO,4,0.807515490706
3,mnist_h_fc1_train,ssvmO,3,0.656626506024
3,mnist_h_fc1_train,ssvmO,2,0.697559883591
3,mnist_h_fc1_train,ssvmO,1,0.869165747887
3,mnist_h_fc1_train,svddC,10,0.762950683796
3,mnist_h_fc1_train,svddC,9,0.849269465508
3,mnist_h_fc1_train,svddC,8,0.864884792627
3,mnist_h_fc1_train,svddC,7,0.719334719335
3,mnist_h_fc1_train,svddC,6,0.851586864795
3,mnist_h_fc1_train,svddC,5,0.832767081918
3,mnist_h_fc1_train,svddC,4,0.836952380952
3,mnist_h_fc1_train,svddC,3,0.753297129558
3,mnist_h_fc1_train,svddC,2,0.814127861089
3,mnist_h_fc1_train,svddC,1,0.733730240197
3,mnist_h_fc1_train,svddO,10,0.0
3,mnist_h_fc1_train,svddO,9,0.00399201596806
3,mnist_h_fc1_train,svddO,8,0.0
3,mnist_h_fc1_train,svddO,7,0.000661157024793
3,mnist_h_fc1_train,svddO,6,0.0
3,mnist_h_fc1_train,svddO,5,0.0
3,mnist_h_fc1_train,svddO,4,0.0
3,mnist_h_fc1_train,svddO,3,0.0
3,mnist_h_fc1_train,svddO,2,0.0
3,mnist_h_fc1_train,svddO,1,0.0
3,mnist_h_fc1_train,svmC,10,0.87416616131
3,mnist_h_fc1_train,svmC,9,0.9314313503
3,mnist_h_fc1_train,svmC,8,0.931295253419
3,mnist_h_fc1_train,svmC,7,0.932454165326
3,mnist_h_fc1_train,svmC,6,0.922103964214
3,mnist_h_fc1_train,svmC,5,0.856644880174
3,mnist_h_fc1_train,svmC,4,0.851595822915
3,mnist_h_fc1_train,svmC,3,0.793296089385
3,mnist_h_fc1_train,svmC,2,0.797287947973
3,mnist_h_fc1_train,svmC,1,0.948989412897
3,mnist_h_fc1_train,svmO,10,0.745880574452
3,mnist_h_fc1_train,svmO,9,0.62961078606
3,mnist_h_fc1_train,svmO,8,0.744693224775
3,mnist_h_fc1_train,svmO,7,0.817719911083
3,mnist_h_fc1_train,svmO,6,0.794328358209
3,mnist_h_fc1_train,svmO,5,0.898471053084
3,mnist_h_fc1_train,svmO,4,0.891868660822
3,mnist_h_fc1_train,svmO,3,0.664720711158
3,mnist_h_fc1_train,svmO,2,0.71031096563
3,mnist_h_fc1_train,svmO,1,0.824094841397
3,mnist_h_fc1_train,svmdbcC,10,0.934269944807
3,mnist_h_fc1_train,svmdbcC,9,0.673399073304
3,mnist_h_fc1_train,svmdbcC,8,0.943603393778
3,mnist_h_fc1_train,svmdbcC,7,0.725979535812
3,mnist_h_fc1_train,svmdbcC,6,0.852183974544
3,mnist_h_fc1_train,svmdbcC,5,0.706222865412
3,mnist_h_fc1_train,svmdbcC,4,0.731676226896
3,mnist_h_fc1_train,svmdbcC,3,0.795298726738
3,mnist_h_fc1_train,svmdbcC,2,0.809786451704
3,mnist_h_fc1_train,svmdbcC,1,0.927854454203
3,mnist_h_fc1_train,svmdbcO,10,0.889869461298
3,mnist_h_fc1_train,svmdbcO,9,0.881045307993
3,mnist_h_fc1_train,svmdbcO,8,0.848394768133
3,mnist_h_fc1_train,svmdbcO,7,0.779571388812
3,mnist_h_fc1_train,svmdbcO,6,0.824284009547
3,mnist_h_fc1_train,svmdbcO,5,0.729007154512
3,mnist_h_fc1_train,svmdbcO,4,0.916519901374
3,mnist_h_fc1_train,svmdbcO,3,0.795746566238
3,mnist_h_fc1_train,svmdbcO,2,0.814453685116
3,mnist_h_fc1_train,svmdbcO,1,0.842652430458
3,mnist_h_fc1_train,pisvmC,10,0.453858024691
3,mnist_h_fc1_train,pisvmC,9,0.451831854994
3,mnist_h_fc1_train,pisvmC,8,0.452556993222
3,mnist_h_fc1_train,pisvmC,7,0.449011005926
3,mnist_h_fc1_train,pisvmC,6,0.461443932412
3,mnist_h_fc1_train,pisvmC,5,0.46013212475
3,mnist_h_fc1_train,pisvmC,4,0.450939457203
3,mnist_h_fc1_train,pisvmC,3,0.447511242053
3,mnist_h_fc1_train,pisvmC,2,0.44986827832
3,mnist_h_fc1_train,pisvmC,1,0.466998087954
3,mnist_h_fc1_train,pisvmO,10,0.829113924051
3,mnist_h_fc1_train,pisvmO,9,0.863853351155
3,mnist_h_fc1_train,pisvmO,8,0.854665825977
3,mnist_h_fc1_train,pisvmO,7,0.80687990344
3,mnist_h_fc1_train,pisvmO,6,0.936735045682
3,mnist_h_fc1_train,pisvmO,5,0.805978647687
3,mnist_h_fc1_train,pisvmO,4,0.801448225923
3,mnist_h_fc1_train,pisvmO,3,0.773947980546
3,mnist_h_fc1_train,pisvmO,2,0.927199191102
3,mnist_h_fc1_train,pisvmO,1,0.858046063526
3,mnist_h_fc1_train,onevsetC,10,0.454012345679
3,mnist_h_fc1_train,onevsetC,9,0.454082032782
3,mnist_h_fc1_train,onevsetC,8,0.45444042209
3,mnist_h_fc1_train,onevsetC,7,0.450265814007
3,mnist_h_fc1_train,onevsetC,6,0.447004608295
3,mnist_h_fc1_train,onevsetC,5,0.460687110906
3,mnist_h_fc1_train,onevsetC,4,0.446318069307
3,mnist_h_fc1_train,onevsetC,3,0.442307692308
3,mnist_h_fc1_train,onevsetC,2,0.40616767395
3,mnist_h_fc1_train,onevsetC,1,0.465621414914
3,mnist_h_fc1_train,onevsetO,10,0.441117456398
3,mnist_h_fc1_train,onevsetO,9,0.445421015459
3,mnist_h_fc1_train,onevsetO,8,0.438761361886
3,mnist_h_fc1_train,onevsetO,7,0.451627799584
3,mnist_h_fc1_train,onevsetO,6,0.37757296467
3,mnist_h_fc1_train,onevsetO,5,0.451930472235
3,mnist_h_fc1_train,onevsetO,4,0.392505999845
3,mnist_h_fc1_train,onevsetO,3,0.438600574044
3,mnist_h_fc1_train,onevsetO,2,0.447786650128
3,mnist_h_fc1_train,onevsetO,1,0.463021032505
3,mnist_h_fc1_train,wsvmC,10,0.909340188518
3,mnist_h_fc1_train,wsvmC,9,0.947061846839
3,mnist_h_fc1_train,wsvmC,8,0.920825016633
3,mnist_h_fc1_train,wsvmC,7,0.934639419017
3,mnist_h_fc1_train,wsvmC,6,0.928049374695
3,mnist_h_fc1_train,wsvmC,5,0.904894418072
3,mnist_h_fc1_train,wsvmC,4,0.878949014701
3,mnist_h_fc1_train,wsvmC,3,0.90019828156
3,mnist_h_fc1_train,wsvmC,2,0.869186046512
3,mnist_h_fc1_train,wsvmC,1,0.945069941999
3,mnist_h_fc1_train,wsvmO,10,0.788870703764
3,mnist_h_fc1_train,wsvmO,9,0.88223101564
3,mnist_h_fc1_train,wsvmO,8,0.876794447074
3,mnist_h_fc1_train,wsvmO,7,0.867671691792
3,mnist_h_fc1_train,wsvmO,6,0.901561932437
3,mnist_h_fc1_train,wsvmO,5,0.908551655957
3,mnist_h_fc1_train,wsvmO,4,0.917608457893
3,mnist_h_fc1_train,wsvmO,3,0.899924184989
3,mnist_h_fc1_train,wsvmO,2,0.869186046512
3,mnist_h_fc1_train,wsvmO,1,0.945069941999
6,mnist_h_fc1_train,ocsvmC,10,0.586531498914
6,mnist_h_fc1_train,ocsvmC,9,0.633062206438
6,mnist_h_fc1_train,ocsvmC,8,0.603606748109
6,mnist_h_fc1_train,ocsvmC,7,0.614517583408
6,mnist_h_fc1_train,ocsvmC,6,0.581648158971
6,mnist_h_fc1_train,ocsvmC,5,0.616109387568
6,mnist_h_fc1_train,ocsvmC,4,0.650005679882
6,mnist_h_fc1_train,ocsvmC,3,0.60728934724
6,mnist_h_fc1_train,ocsvmC,2,0.604030046501
6,mnist_h_fc1_train,ocsvmC,1,0.61257700802
6,mnist_h_fc1_train,ocsvmO,10,0.586531498914
6,mnist_h_fc1_train,ocsvmO,9,0.63101113279
6,mnist_h_fc1_train,ocsvmO,8,0.603606748109
6,mnist_h_fc1_train,ocsvmO,7,0.615782956208
6,mnist_h_fc1_train,ocsvmO,6,0.581648158971
6,mnist_h_fc1_train,ocsvmO,5,0.616903996325
6,mnist_h_fc1_train,ocsvmO,4,0.649232518476
6,mnist_h_fc1_train,ocsvmO,3,0.60728934724
6,mnist_h_fc1_train,ocsvmO,2,0.604030046501
6,mnist_h_fc1_train,ocsvmO,1,0.61257700802
6,mnist_h_fc1_train,ssvmC,10,0.96261682243
6,mnist_h_fc1_train,ssvmC,9,0.955465587045
6,mnist_h_fc1_train,ssvmC,8,0.953530166881
6,mnist_h_fc1_train,ssvmC,7,0.965465590414
6,mnist_h_fc1_train,ssvmC,6,0.962944162437
6,mnist_h_fc1_train,ssvmC,5,0.946128529361
6,mnist_h_fc1_train,ssvmC,4,0.960076708508
6,mnist_h_fc1_train,ssvmC,3,0.963602187286
6,mnist_h_fc1_train,ssvmC,2,0.943898517063
6,mnist_h_fc1_train,ssvmC,1,0.951338199513
6,mnist_h_fc1_train,ssvmO,10,0.92841103027
6,mnist_h_fc1_train,ssvmO,9,0.937948127822
6,mnist_h_fc1_train,ssvmO,8,0.930549411661
6,mnist_h_fc1_train,ssvmO,7,0.959657085224
6,mnist_h_fc1_train,ssvmO,6,0.938754235079
6,mnist_h_fc1_train,ssvmO,5,0.947885261435
6,mnist_h_fc1_train,ssvmO,4,0.911133436844
6,mnist_h_fc1_train,ssvmO,3,0.948053074321
6,mnist_h_fc1_train,ssvmO,2,0.876359473383
6,mnist_h_fc1_train,ssvmO,1,0.958139534884
6,mnist_h_fc1_train,svddC,10,0.809298660362
