lenacs,dataset,classifier,experiment,result
3,mnist_h_fc1_train,ocsvmC,10,0.683063958845
3,mnist_h_fc1_train,ocsvmC,9,0.731028667791
3,mnist_h_fc1_train,ocsvmC,8,0.72989658261
3,mnist_h_fc1_train,ocsvmC,7,0.689609087872
3,mnist_h_fc1_train,ocsvmC,6,0.717616558189
3,mnist_h_fc1_train,ocsvmC,5,0.738944828119
3,mnist_h_fc1_train,ocsvmC,4,0.71268405068
3,mnist_h_fc1_train,ocsvmC,3,0.716764627972
3,mnist_h_fc1_train,ocsvmC,2,0.688395008645
3,mnist_h_fc1_train,ocsvmC,1,0.699349593496
3,mnist_h_fc1_train,ocsvmO,10,0.683063958845
3,mnist_h_fc1_train,ocsvmO,9,0.731028667791
3,mnist_h_fc1_train,ocsvmO,8,0.72989658261
3,mnist_h_fc1_train,ocsvmO,7,0.689107918476
3,mnist_h_fc1_train,ocsvmO,6,0.717616558189
3,mnist_h_fc1_train,ocsvmO,5,0.738944828119
3,mnist_h_fc1_train,ocsvmO,4,0.71268405068
3,mnist_h_fc1_train,ocsvmO,3,0.716764627972
3,mnist_h_fc1_train,ocsvmO,2,0.692524396119
3,mnist_h_fc1_train,ocsvmO,1,0.699349593496
3,mnist_h_fc1_train,ssvmC,10,0.956242321867
3,mnist_h_fc1_train,ssvmC,9,0.951016298896
3,mnist_h_fc1_train,ssvmC,8,0.949371371755
3,mnist_h_fc1_train,ssvmC,7,0.955147902072
3,mnist_h_fc1_train,ssvmC,6,0.946940644035
3,mnist_h_fc1_train,ssvmC,5,0.944318097905
3,mnist_h_fc1_train,ssvmC,4,0.956730405305
3,mnist_h_fc1_train,ssvmC,3,0.960987670733
3,mnist_h_fc1_train,ssvmC,2,0.933372104146
3,mnist_h_fc1_train,ssvmC,1,0.941066009216
3,mnist_h_fc1_train,ssvmO,10,0.837110334767
3,mnist_h_fc1_train,ssvmO,9,0.90625623988
3,mnist_h_fc1_train,ssvmO,8,0.919091291907
3,mnist_h_fc1_train,ssvmO,7,0.78101331631
3,mnist_h_fc1_train,ssvmO,6,0.918118465246
3,mnist_h_fc1_train,ssvmO,5,0.855623254648
3,mnist_h_fc1_train,ssvmO,4,0.840961247108
3,mnist_h_fc1_train,ssvmO,3,0.744478951001
3,mnist_h_fc1_train,ssvmO,2,0.767854623907
3,mnist_h_fc1_train,ssvmO,1,0.884552845528
3,mnist_h_fc1_train,svddC,10,0.809843366093
3,mnist_h_fc1_train,svddC,9,0.886544152281
3,mnist_h_fc1_train,svddC,8,0.889176902431
3,mnist_h_fc1_train,svddC,7,0.78786596917
3,mnist_h_fc1_train,svddC,6,0.879901895672
3,mnist_h_fc1_train,svddC,5,0.863468667609
3,mnist_h_fc1_train,svddC,4,0.868446578077
3,mnist_h_fc1_train,svddC,3,0.83027127731
3,mnist_h_fc1_train,svddC,2,0.849810071848
3,mnist_h_fc1_train,svddC,1,0.790569105691
3,mnist_h_fc1_train,svddO,10,0.499928977273
3,mnist_h_fc1_train,svddO,9,0.500940731179
3,mnist_h_fc1_train,svddO,8,0.499857468643
3,mnist_h_fc1_train,svddO,7,0.500095699251
3,mnist_h_fc1_train,svddO,6,0.5
