lenacs,dataset,classifier,experiment,result
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,10,0.929642445213
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,9,0.83162638263
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,8,0.838572642311
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,7,0.780126849894
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,6,0.908008213552
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,5,0.952236542835
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,4,0.952236542835
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,3,0.944878811572
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,2,0.897860314897
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,1,0.924460431655
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,10,0.786236063053
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,9,0.808684965178
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,8,0.85683942226
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,7,0.798308668076
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,6,0.910061601643
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,5,0.926838514026
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,4,0.917361637604
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,3,0.864347146208
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,2,0.904319741623
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,1,0.896882494005
3,15scenes_bow_soft_max_1000_unbalanced,svddO,10,0.938100730488
3,15scenes_bow_soft_max_1000_unbalanced,svddO,9,0.868906185989
3,15scenes_bow_soft_max_1000_unbalanced,svddO,8,0.826677994902
3,15scenes_bow_soft_max_1000_unbalanced,svddO,7,0.831289640592
3,15scenes_bow_soft_max_1000_unbalanced,svddO,6,0.866529774127
3,15scenes_bow_soft_max_1000_unbalanced,svddO,5,0.952994692949
3,15scenes_bow_soft_max_1000_unbalanced,svddO,4,0.952994692949
3,15scenes_bow_soft_max_1000_unbalanced,svddO,3,0.92064112588
3,15scenes_bow_soft_max_1000_unbalanced,svddO,2,0.884941461445
3,15scenes_bow_soft_max_1000_unbalanced,svddO,1,0.896482813749
3,15scenes_bow_soft_max_1000_unbalanced,svmO,10,0.0557477893118
3,15scenes_bow_soft_max_1000_unbalanced,svmO,9,0.661614092585
3,15scenes_bow_soft_max_1000_unbalanced,svmO,8,0.221325403568
3,15scenes_bow_soft_max_1000_unbalanced,svmO,7,0.409725158562
3,15scenes_bow_soft_max_1000_unbalanced,svmO,6,0.0767967145791
3,15scenes_bow_soft_max_1000_unbalanced,svmO,5,0.040940106141
3,15scenes_bow_soft_max_1000_unbalanced,svmO,4,0.262319939348
3,15scenes_bow_soft_max_1000_unbalanced,svmO,3,0.0731039874902
3,15scenes_bow_soft_max_1000_unbalanced,svmO,2,0.104965684296
3,15scenes_bow_soft_max_1000_unbalanced,svmO,1,0.0519584332534
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,10,0.601691657055
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,9,0.755428103236
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,8,0.383602378929
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,7,0.755602536998
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,6,0.873100616016
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,5,0.950341167551
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,4,0.942380591357
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,3,0.927286942924
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,2,0.83568833266
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,1,0.526778577138
3,15scenes_bow_soft_max_1000_unbalanced,pisvmO,7,0.516279069767
3,15scenes_bow_soft_max_1000_unbalanced,pisvmO,6,0.791786447639
3,15scenes_bow_soft_max_1000_unbalanced,pisvmO,9,0.868906185989
3,15scenes_bow_soft_max_1000_unbalanced,pisvmO,4,0.952994692949
