lenacs,dataset,classifier,experiment,result
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,10,0.563037929269
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,9,0.613210111443
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,8,0.586857523129
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,7,0.562071837522
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,6,0.590036547886
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,5,0.512564633634
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,4,0.503753629804
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,3,0.564142719418
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,2,0.218717214899
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,1,0.53104843278
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,10,0.801545217776
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,9,0.56484775731
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,8,0.371174695765
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,7,0.64481975268
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,6,0.630097955513
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,5,0.817897661496
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,4,0.818977143188
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,3,0.849450044983
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,2,0.559484685158
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,1,0.530495948945
3,15scenes_bow_soft_max_1000_unbalanced,svddO,10,0.0
3,15scenes_bow_soft_max_1000_unbalanced,svddO,9,0.0
3,15scenes_bow_soft_max_1000_unbalanced,svddO,8,0.0290541670515
3,15scenes_bow_soft_max_1000_unbalanced,svddO,7,0.0
3,15scenes_bow_soft_max_1000_unbalanced,svddO,6,0.0
3,15scenes_bow_soft_max_1000_unbalanced,svddO,5,0.0
3,15scenes_bow_soft_max_1000_unbalanced,svddO,4,0.0
3,15scenes_bow_soft_max_1000_unbalanced,svddO,3,0.0
3,15scenes_bow_soft_max_1000_unbalanced,svddO,2,0.0
3,15scenes_bow_soft_max_1000_unbalanced,svddO,1,0.0
3,15scenes_bow_soft_max_1000_unbalanced,svmO,10,0.0
3,15scenes_bow_soft_max_1000_unbalanced,svmO,9,0.530389489966
3,15scenes_bow_soft_max_1000_unbalanced,svmO,8,0.22538713275
3,15scenes_bow_soft_max_1000_unbalanced,svmO,7,0.46847733081
3,15scenes_bow_soft_max_1000_unbalanced,svmO,6,0.0
3,15scenes_bow_soft_max_1000_unbalanced,svmO,5,0.0
3,15scenes_bow_soft_max_1000_unbalanced,svmO,4,0.367367515622
3,15scenes_bow_soft_max_1000_unbalanced,svmO,3,0.0
3,15scenes_bow_soft_max_1000_unbalanced,svmO,2,0.0
3,15scenes_bow_soft_max_1000_unbalanced,svmO,1,0.0
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,10,0.539812485601
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,9,0.5188527566
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,8,0.426589548218
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,7,0.583896519148
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,6,0.656668104214
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,5,0.866216097217
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,4,0.867404207211
