lenacs,dataset,classifier,experiment,result
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,10,0.144144144144
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,9,0.285312946126
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,8,0.485443692823
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,7,0.436552414806
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,6,0.370988685573
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,5,0.146258503401
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,4,0.144329896907
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,3,0.187134502924
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,2,0.146750524109
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,1,0.338514938562
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,10,0.108776266996
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,9,0.14963707426
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,8,0.343153816053
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,7,0.595943769113
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,6,0.385893303404
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,5,0.317003542268
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,4,0.296226950355
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,3,0.167161226508
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,2,0.296809635941
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,1,0.204301075269
3,15scenes_bow_soft_max_1000_unbalanced,svddO,10,0.0
3,15scenes_bow_soft_max_1000_unbalanced,svddO,9,0.0
3,15scenes_bow_soft_max_1000_unbalanced,svddO,8,0.0294117647059
3,15scenes_bow_soft_max_1000_unbalanced,svddO,7,0.0
3,15scenes_bow_soft_max_1000_unbalanced,svddO,6,0.0
3,15scenes_bow_soft_max_1000_unbalanced,svddO,5,0.0
3,15scenes_bow_soft_max_1000_unbalanced,svddO,4,0.0
3,15scenes_bow_soft_max_1000_unbalanced,svddO,3,0.0
3,15scenes_bow_soft_max_1000_unbalanced,svddO,2,0.0
3,15scenes_bow_soft_max_1000_unbalanced,svddO,1,0.0
3,15scenes_bow_soft_max_1000_unbalanced,svmO,10,0.0352027191066
3,15scenes_bow_soft_max_1000_unbalanced,svmO,9,0.0949410949411
3,15scenes_bow_soft_max_1000_unbalanced,svmO,8,0.158380128605
3,15scenes_bow_soft_max_1000_unbalanced,svmO,7,0.473510318172
3,15scenes_bow_soft_max_1000_unbalanced,svmO,6,0.0475464022375
3,15scenes_bow_soft_max_1000_unbalanced,svmO,5,0.0262199563001
3,15scenes_bow_soft_max_1000_unbalanced,svmO,4,0.105308582962
3,15scenes_bow_soft_max_1000_unbalanced,svmO,3,0.045415907711
3,15scenes_bow_soft_max_1000_unbalanced,svmO,2,0.34032743088
3,15scenes_bow_soft_max_1000_unbalanced,svmO,1,0.032928064843
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,10,0.0441801189465
