lenacs,dataset,classifier,experiment,result
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,10,0.410256410256
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,9,0.409836065574
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,8,0.462962962963
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,7,0.38785046729
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,6,0.546906187625
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,5,0.405660377358
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,4,0.4
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,3,0.531561461794
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,2,0.216718266254
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,1,0.494736842105
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,10,0.32
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,9,0.35124508519
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,8,0.350282485876
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,7,0.461192350956
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,6,0.574144486692
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,5,0.482573726542
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,4,0.455
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,3,0.489855072464
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,2,0.48275862069
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,1,0.424107142857
3,15scenes_bow_soft_max_1000_unbalanced,svddO,10,0.0
3,15scenes_bow_soft_max_1000_unbalanced,svddO,9,0.0
3,15scenes_bow_soft_max_1000_unbalanced,svddO,8,0.027397260274
3,15scenes_bow_soft_max_1000_unbalanced,svddO,7,0.0
3,15scenes_bow_soft_max_1000_unbalanced,svddO,6,0.0
3,15scenes_bow_soft_max_1000_unbalanced,svddO,5,0.0
3,15scenes_bow_soft_max_1000_unbalanced,svddO,4,0.0
3,15scenes_bow_soft_max_1000_unbalanced,svddO,3,0.0
3,15scenes_bow_soft_max_1000_unbalanced,svddO,2,0.0
3,15scenes_bow_soft_max_1000_unbalanced,svddO,1,0.0
3,15scenes_bow_soft_max_1000_unbalanced,svmO,10,0.104996379435
3,15scenes_bow_soft_max_1000_unbalanced,svmO,9,0.242907801418
3,15scenes_bow_soft_max_1000_unbalanced,svmO,8,0.214679677556
3,15scenes_bow_soft_max_1000_unbalanced,svmO,7,0.310479921645
3,15scenes_bow_soft_max_1000_unbalanced,svmO,6,0.135507246377
3,15scenes_bow_soft_max_1000_unbalanced,svmO,5,0.0782041998552
3,15scenes_bow_soft_max_1000_unbalanced,svmO,4,0.102398523985
3,15scenes_bow_soft_max_1000_unbalanced,svmO,3,0.135458167331
3,15scenes_bow_soft_max_1000_unbalanced,svmO,2,0.188269370022
3,15scenes_bow_soft_max_1000_unbalanced,svmO,1,0.0941687794277
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,10,0.1307627829
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,9,0.284382284382
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,8,0.233630172865
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,7,0.382978723404
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,6,0.514018691589
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,5,0.599388379205
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,4,0.565714285714
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,3,0.643939393939
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,2,0.356807511737
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,1,0.267813267813
3,15scenes_bow_soft_max_1000_unbalanced,pisvmO,7,0.362326869806
3,15scenes_bow_soft_max_1000_unbalanced,pisvmO,6,0.466386554622
3,15scenes_bow_soft_max_1000_unbalanced,pisvmO,9,0.0
3,15scenes_bow_soft_max_1000_unbalanced,pisvmO,4,0.0
3,15scenes_bow_soft_max_1000_unbalanced,pisvmO,8,0.269315673289
3,15scenes_bow_soft_max_1000_unbalanced,pisvmO,10,0.0718562874251
3,15scenes_bow_soft_max_1000_unbalanced,pisvmO,2,0.0
3,15scenes_bow_soft_max_1000_unbalanced,pisvmO,3,0.678260869565
