lenacs,dataset,classifier,experiment,result
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,10,0.681134813155
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,9,0.67756217586
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,8,0.676980524438
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,7,0.635954517239
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,6,0.702238425082
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,5,0.664437216106
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,4,0.660603844278
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,3,0.693222678924
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,2,0.560719202203
3,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,1,0.676117203759
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,10,0.80194608492
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,9,0.64313266148
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,8,0.608344091395
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,7,0.686212685514
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,6,0.721644185199
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,5,0.831280314112
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,4,0.830141530013
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,3,0.849801805194
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,2,0.681892687924
3,15scenes_bow_soft_max_1000_unbalanced,ssvmO,1,0.66244360404
3,15scenes_bow_soft_max_1000_unbalanced,svddO,10,0.5
3,15scenes_bow_soft_max_1000_unbalanced,svddO,9,0.5
3,15scenes_bow_soft_max_1000_unbalanced,svddO,8,0.50557336998
3,15scenes_bow_soft_max_1000_unbalanced,svddO,7,0.499238191976
3,15scenes_bow_soft_max_1000_unbalanced,svddO,6,0.5
3,15scenes_bow_soft_max_1000_unbalanced,svddO,5,0.5
3,15scenes_bow_soft_max_1000_unbalanced,svddO,4,0.5
3,15scenes_bow_soft_max_1000_unbalanced,svddO,3,0.5
3,15scenes_bow_soft_max_1000_unbalanced,svddO,2,0.5
3,15scenes_bow_soft_max_1000_unbalanced,svddO,1,0.5
3,15scenes_bow_soft_max_1000_unbalanced,svmO,10,0.450310559006
3,15scenes_bow_soft_max_1000_unbalanced,svmO,9,0.562483056341
3,15scenes_bow_soft_max_1000_unbalanced,svmO,8,0.379634642347
3,15scenes_bow_soft_max_1000_unbalanced,svmO,7,0.565818802551
3,15scenes_bow_soft_max_1000_unbalanced,svmO,6,0.287692307692
3,15scenes_bow_soft_max_1000_unbalanced,svmO,5,0.435483870968
3,15scenes_bow_soft_max_1000_unbalanced,svmO,4,0.5631335489
3,15scenes_bow_soft_max_1000_unbalanced,svmO,3,0.460591133005
3,15scenes_bow_soft_max_1000_unbalanced,svmO,2,0.456140350877
3,15scenes_bow_soft_max_1000_unbalanced,svmO,1,0.250965250965
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,10,0.546949139599
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,9,0.596565594059
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,8,0.448583406211
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,7,0.635347892331
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,6,0.718538096974
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,5,0.87427823543
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,4,0.873934996279
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,3,0.88623513539
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,2,0.646167883212
3,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,1,0.666056732486
3,15scenes_bow_soft_max_1000_unbalanced,pisvmO,7,0.639897579143
3,15scenes_bow_soft_max_1000_unbalanced,pisvmO,6,0.745803864382
3,15scenes_bow_soft_max_1000_unbalanced,pisvmO,9,0.5
3,15scenes_bow_soft_max_1000_unbalanced,pisvmO,4,0.5
3,15scenes_bow_soft_max_1000_unbalanced,pisvmO,8,0.482807923486
3,15scenes_bow_soft_max_1000_unbalanced,pisvmO,10,0.518633540373
3,15scenes_bow_soft_max_1000_unbalanced,pisvmO,2,0.5
3,15scenes_bow_soft_max_1000_unbalanced,pisvmO,3,0.782869484275
3,15scenes_bow_soft_max_1000_unbalanced,pisvmO,1,0.719917133872
3,15scenes_bow_soft_max_1000_unbalanced,pisvmO,5,0.5
3,15scenes_bow_soft_max_1000_unbalanced,onevsetO,7,0.417929292929
3,15scenes_bow_soft_max_1000_unbalanced,onevsetO,6,0.430769230769
3,15scenes_bow_soft_max_1000_unbalanced,onevsetO,9,0.34398573786
3,15scenes_bow_soft_max_1000_unbalanced,onevsetO,4,0.383064516129
3,15scenes_bow_soft_max_1000_unbalanced,onevsetO,3,0.371921182266
3,15scenes_bow_soft_max_1000_unbalanced,onevsetO,10,0.409937888199
3,15scenes_bow_soft_max_1000_unbalanced,onevsetO,8,0.373519898944
3,15scenes_bow_soft_max_1000_unbalanced,onevsetO,2,0.431578947368
3,15scenes_bow_soft_max_1000_unbalanced,onevsetO,1,0.457528957529
3,15scenes_bow_soft_max_1000_unbalanced,onevsetO,5,0.447580645161
6,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,10,0.613314968897
6,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,9,0.615850782871
6,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,8,0.62414729431
6,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,7,0.557281769184
6,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,6,0.494452910053
6,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,5,0.620422129043
6,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,4,0.626212509164
6,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,3,0.627048708431
6,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,2,0.616753357684
6,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,1,0.635223976642
6,15scenes_bow_soft_max_1000_unbalanced,ssvmO,10,0.509615927385
6,15scenes_bow_soft_max_1000_unbalanced,ssvmO,9,0.541694963214
6,15scenes_bow_soft_max_1000_unbalanced,ssvmO,8,0.680653401163
6,15scenes_bow_soft_max_1000_unbalanced,ssvmO,7,0.595795965994
6,15scenes_bow_soft_max_1000_unbalanced,ssvmO,6,0.583141798942
6,15scenes_bow_soft_max_1000_unbalanced,ssvmO,5,0.548728818715
6,15scenes_bow_soft_max_1000_unbalanced,ssvmO,4,0.717104745918
6,15scenes_bow_soft_max_1000_unbalanced,ssvmO,3,0.686696462389
6,15scenes_bow_soft_max_1000_unbalanced,ssvmO,2,0.669895184475
6,15scenes_bow_soft_max_1000_unbalanced,ssvmO,1,0.573752857335
6,15scenes_bow_soft_max_1000_unbalanced,svddO,10,0.5
6,15scenes_bow_soft_max_1000_unbalanced,svddO,9,0.5
6,15scenes_bow_soft_max_1000_unbalanced,svddO,8,0.5
6,15scenes_bow_soft_max_1000_unbalanced,svddO,7,0.5
6,15scenes_bow_soft_max_1000_unbalanced,svddO,6,0.5
6,15scenes_bow_soft_max_1000_unbalanced,svddO,5,0.5
6,15scenes_bow_soft_max_1000_unbalanced,svddO,4,0.5
6,15scenes_bow_soft_max_1000_unbalanced,svddO,3,0.5
6,15scenes_bow_soft_max_1000_unbalanced,svddO,2,0.5
6,15scenes_bow_soft_max_1000_unbalanced,svddO,1,0.5
6,15scenes_bow_soft_max_1000_unbalanced,svmO,10,0.510606026395
6,15scenes_bow_soft_max_1000_unbalanced,svmO,9,0.516454442558
6,15scenes_bow_soft_max_1000_unbalanced,svmO,8,0.607307832657
6,15scenes_bow_soft_max_1000_unbalanced,svmO,7,0.5
6,15scenes_bow_soft_max_1000_unbalanced,svmO,6,0.711524867725
6,15scenes_bow_soft_max_1000_unbalanced,svmO,5,0.414982222687
6,15scenes_bow_soft_max_1000_unbalanced,svmO,4,0.62983649055
6,15scenes_bow_soft_max_1000_unbalanced,svmO,3,0.629734868571
6,15scenes_bow_soft_max_1000_unbalanced,svmO,2,0.660867218947
6,15scenes_bow_soft_max_1000_unbalanced,svmO,1,0.585856912349
6,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,10,0.512522438105
6,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,9,0.562474061498
6,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,8,0.616513190375
6,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,7,0.625860976829
6,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,6,0.629732275132
6,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,5,0.512985590764
6,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,4,0.766495436822
6,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,3,0.676934323157
6,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,2,0.676129613213
6,15scenes_bow_soft_max_1000_unbalanced,svmdbcO,1,0.64495092107
6,15scenes_bow_soft_max_1000_unbalanced,pisvmO,6,0.61560952381
6,15scenes_bow_soft_max_1000_unbalanced,pisvmO,9,0.590072627806
6,15scenes_bow_soft_max_1000_unbalanced,pisvmO,5,0.672223344374
6,15scenes_bow_soft_max_1000_unbalanced,pisvmO,7,0.574081235762
6,15scenes_bow_soft_max_1000_unbalanced,pisvmO,3,0.629946216196
6,15scenes_bow_soft_max_1000_unbalanced,pisvmO,4,0.739216238326
6,15scenes_bow_soft_max_1000_unbalanced,pisvmO,10,0.592720457907
6,15scenes_bow_soft_max_1000_unbalanced,pisvmO,1,0.650972934555
6,15scenes_bow_soft_max_1000_unbalanced,pisvmO,8,0.663878335158
6,15scenes_bow_soft_max_1000_unbalanced,pisvmO,2,0.723360150281
6,15scenes_bow_soft_max_1000_unbalanced,onevsetO,6,0.277777777778
6,15scenes_bow_soft_max_1000_unbalanced,onevsetO,9,0.282894736842
6,15scenes_bow_soft_max_1000_unbalanced,onevsetO,5,0.333718244804
6,15scenes_bow_soft_max_1000_unbalanced,onevsetO,4,0.367213114754
6,15scenes_bow_soft_max_1000_unbalanced,onevsetO,7,0.378095238095
6,15scenes_bow_soft_max_1000_unbalanced,onevsetO,3,0.425081433225
6,15scenes_bow_soft_max_1000_unbalanced,onevsetO,10,0.29702970297
6,15scenes_bow_soft_max_1000_unbalanced,onevsetO,1,0.387387387387
6,15scenes_bow_soft_max_1000_unbalanced,onevsetO,8,0.384812286689
6,15scenes_bow_soft_max_1000_unbalanced,onevsetO,2,0.408145580589
9,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,10,0.595216931217
9,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,9,0.507392577871
9,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,8,0.612189051192
9,15scenes_bow_soft_max_1000_unbalanced,ocsvmO,7,0.540701796863
